# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# Research/ArnoldivsPower -f BigArnoldi-w50.Relaxed38.dat -t 10000000 -p -w 50 -v 2 -b 75 -i 0 -a 1 -I 10 -x 0.1 -r  seed =\n 2889032794
# filename = BigArnoldi-w50.Relaxed38.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = false, arnoldimethod = implicit, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, acycles = 200, incycles = 20, active = 1, inactive = 0, Iterations = 10, numValues = 2, relaxed = 0.1, tracks = 10000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32            33           34           35            36           37           38            39           40            41           42            43           44           45            46           47           48            49           50           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-   RAM 0 vEst-0-Real  -| |-   RAM 0 vEst-0-Imag  -| |-   RAM 1 vEst-0-Real  -| |-   RAM 1 vEst-0-Imag  -| |-   RAM 0 mean-0-Real  -| |-   RAM 0 mean-0-Imag  -| |-   RAM 1 mean-0-Real  -| |-   RAM 1 mean-0-Imag  -| |- RAM eValue SD-0-Real -| |- RAM eValue SD-0-Imag -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |- RAM eValue SD-1-Real -| |- RAM eValue SD-1-Imag -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       
   0.33333      0.0088178    0             0.33333      -0           0             0.33333      -0.044846    0             0.33333      0            0             0.33333      0.0088178     0.33333      -0            0.33333      -0.044846     0.33333      0             0.33333      0.0088178     0.33333      -0            0.33333      -0.044846     0.33333      0             3.0207E+07   0             3.0207E+07   0             3.0207E+07   0.99695      0             3.0207E+07   -0           0             3.0207E+07   0             3.0207E+07   0             3.0207E+07   0.97238      0             3.0207E+07   -0           0             3.0207E+07   0             
   1            0.014835     0             1            -0           0             1            -0.072587    0             1            0            0             1            0.014835      1            -0            1            -0.072587     1            0             1            0.014835      1            -0            1            -0.072587     1            0             
   1.6667       0.020989     0             1.6667       -0           0             1.6667       -0.10131     0             1.6667       0            0             1.6667       0.020989      1.6667       -0            1.6667       -0.10131      1.6667       0             1.6667       0.020989      1.6667       -0            1.6667       -0.10131      1.6667       0             
   2.3333       0.02697      0             2.3333       -0           0             2.3333       -0.12158     0             2.3333       0            0             2.3333       0.02697       2.3333       -0            2.3333       -0.12158      2.3333       0             2.3333       0.02697       2.3333       -0            2.3333       -0.12158      2.3333       0             
   3            0.031262     0             3            -0           0             3            -0.15369     0             3            0            0             3            0.031262      3            -0            3            -0.15369      3            0             3            0.031262      3            -0            3            -0.15369      3            0             
   3.6667       0.040721     0             3.6667       -0           0             3.6667       -0.15215     0             3.6667       0            0             3.6667       0.040721      3.6667       -0            3.6667       -0.15215      3.6667       0             3.6667       0.040721      3.6667       -0            3.6667       -0.15215      3.6667       0             
   4.3333       0.045392     0             4.3333       -0           0             4.3333       -0.17624     0             4.3333       0            0             4.3333       0.045392      4.3333       -0            4.3333       -0.17624      4.3333       0             4.3333       0.045392      4.3333       -0            4.3333       -0.17624      4.3333       0             
   5            0.049383     0             5            -0           0             5            -0.1996      0             5            0            0             5            0.049383      5            -0            5            -0.1996       5            0             5            0.049383      5            -0            5            -0.1996       5            0             
   5.6667       0.055894     0             5.6667       -0           0             5.6667       -0.20102     0             5.6667       0            0             5.6667       0.055894      5.6667       -0            5.6667       -0.20102      5.6667       0             5.6667       0.055894      5.6667       -0            5.6667       -0.20102      5.6667       0             
   6.3333       0.063944     0             6.3333       -0           0             6.3333       -0.19582     0             6.3333       0            0             6.3333       0.063944      6.3333       -0            6.3333       -0.19582      6.3333       0             6.3333       0.063944      6.3333       -0            6.3333       -0.19582      6.3333       0             
   7            0.070946     0             7            -0           0             7            -0.19077     0             7            0            0             7            0.070946      7            -0            7            -0.19077      7            0             7            0.070946      7            -0            7            -0.19077      7            0             
   7.6667       0.075987     0             7.6667       -0           0             7.6667       -0.19036     0             7.6667       0            0             7.6667       0.075987      7.6667       -0            7.6667       -0.19036      7.6667       0             7.6667       0.075987      7.6667       -0            7.6667       -0.19036      7.6667       0             
   8.3333       0.08089      0             8.3333       -0           0             8.3333       -0.19088     0             8.3333       0            0             8.3333       0.08089       8.3333       -0            8.3333       -0.19088      8.3333       0             8.3333       0.08089       8.3333       -0            8.3333       -0.19088      8.3333       0             
