# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# Research/ArnoldivsPower -f BigArnoldi-w50.Relaxed41.dat -t 10000000 -p -w 50 -v 2 -b 75 -i 0 -a 1 -I 10 -x 0.1 -r  seed =\n 473492211
# filename = BigArnoldi-w50.Relaxed41.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = false, arnoldimethod = implicit, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, acycles = 200, incycles = 20, active = 1, inactive = 0, Iterations = 10, numValues = 2, relaxed = 0.1, tracks = 10000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32            33           34           35            36           37           38            39           40            41           42            43           44           45            46           47           48            49           50           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-   RAM 0 vEst-0-Real  -| |-   RAM 0 vEst-0-Imag  -| |-   RAM 1 vEst-0-Real  -| |-   RAM 1 vEst-0-Imag  -| |-   RAM 0 mean-0-Real  -| |-   RAM 0 mean-0-Imag  -| |-   RAM 1 mean-0-Real  -| |-   RAM 1 mean-0-Imag  -| |- RAM eValue SD-0-Real -| |- RAM eValue SD-0-Imag -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |- RAM eValue SD-1-Real -| |- RAM eValue SD-1-Imag -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       
   0.33333      0.012023     0             0.33333      -0           0             0.33333      -0.042275    0             0.33333      0            0             0.33333      0.012023      0.33333      -0            0.33333      -0.042275     0.33333      0             0.33333      0.012023      0.33333      -0            0.33333      -0.042275     0.33333      0             2.9698E+07   0             2.9698E+07   0             2.9698E+07   0.99684      0             2.9698E+07   -0           0             2.9698E+07   0             2.9698E+07   0             2.9698E+07   0.96856      0             2.9698E+07   -0           0             2.9698E+07   0             
   1            0.020328     0             1            -0           0             1            -0.069758    0             1            0            0             1            0.020328      1            -0            1            -0.069758     1            0             1            0.020328      1            -0            1            -0.069758     1            0             
   1.6667       0.028007     0             1.6667       -0           0             1.6667       -0.094608    0             1.6667       0            0             1.6667       0.028007      1.6667       -0            1.6667       -0.094608     1.6667       0             1.6667       0.028007      1.6667       -0            1.6667       -0.094608     1.6667       0             
   2.3333       0.035083     0             2.3333       -0           0             2.3333       -0.11843     0             2.3333       0            0             2.3333       0.035083      2.3333       -0            2.3333       -0.11843      2.3333       0             2.3333       0.035083      2.3333       -0            2.3333       -0.11843      2.3333       0             
   3            0.040212     0             3            -0           0             3            -0.14876     0             3            0            0             3            0.040212      3            -0            3            -0.14876      3            0             3            0.040212      3            -0            3            -0.14876      3            0             
   3.6667       0.049491     0             3.6667       -0           0             3.6667       -0.14596     0             3.6667       0            0             3.6667       0.049491      3.6667       -0            3.6667       -0.14596      3.6667       0             3.6667       0.049491      3.6667       -0            3.6667       -0.14596      3.6667       0             
   4.3333       0.053698     0             4.3333       -0           0             4.3333       -0.17286     0             4.3333       0            0             4.3333       0.053698      4.3333       -0            4.3333       -0.17286      4.3333       0             4.3333       0.053698      4.3333       -0            4.3333       -0.17286      4.3333       0             
   5            0.058726     0             5            -0           0             5            -0.19527     0             5            0            0             5            0.058726      5            -0            5            -0.19527      5            0             5            0.058726      5            -0            5            -0.19527      5            0             
   5.6667       0.066326     0             5.6667       -0           0             5.6667       -0.20044     0             5.6667       0            0             5.6667       0.066326      5.6667       -0            5.6667       -0.20044      5.6667       0             5.6667       0.066326      5.6667       -0            5.6667       -0.20044      5.6667       0             
   6.3333       0.073349     0             6.3333       -0           0             6.3333       -0.19165     0             6.3333       0            0             6.3333       0.073349      6.3333       -0            6.3333       -0.19165      6.3333       0             6.3333       0.073349      6.3333       -0            6.3333       -0.19165      6.3333       0             
   7            0.079704     0             7            -0           0             7            -0.18594     0             7            0            0             7            0.079704      7            -0            7            -0.18594      7            0             7            0.079704      7            -0            7            -0.18594      7            0             
   7.6667       0.085731     0             7.6667       -0           0             7.6667       -0.18547     0             7.6667       0            0             7.6667       0.085731      7.6667       -0            7.6667       -0.18547      7.6667       0             7.6667       0.085731      7.6667       -0            7.6667       -0.18547      7.6667       0             
   8.3333       0.090698     0             8.3333       -0           0             8.3333       -0.18955     0             8.3333       0            0             8.3333       0.090698      8.3333       -0            8.3333       -0.18955      8.3333       0             8.3333       0.090698      8.3333       -0            8.3333       -0.18955      8.3333       0             
