# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# Research/ArnoldivsPower -f BigArnoldi-w50.Relaxed37.dat -t 10000000 -p -w 50 -v 2 -b 75 -i 0 -a 1 -I 10 -x 0.1 -r  seed =\n 2362488688
# filename = BigArnoldi-w50.Relaxed37.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = false, arnoldimethod = implicit, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, acycles = 200, incycles = 20, active = 1, inactive = 0, Iterations = 10, numValues = 2, relaxed = 0.1, tracks = 10000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32            33           34           35            36           37           38            39           40            41           42            43           44           45            46           47           48            49           50           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-   RAM 0 vEst-0-Real  -| |-   RAM 0 vEst-0-Imag  -| |-   RAM 1 vEst-0-Real  -| |-   RAM 1 vEst-0-Imag  -| |-   RAM 0 mean-0-Real  -| |-   RAM 0 mean-0-Imag  -| |-   RAM 1 mean-0-Real  -| |-   RAM 1 mean-0-Imag  -| |- RAM eValue SD-0-Real -| |- RAM eValue SD-0-Imag -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |- RAM eValue SD-1-Real -| |- RAM eValue SD-1-Imag -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       
   0.33333      -0.010744    0             0.33333      0            0             0.33333      0.039451     0             0.33333      -0           0             0.33333      -0.010744     0.33333      0             0.33333      0.039451      0.33333      -0            0.33333      -0.010744     0.33333      0             0.33333      0.039451      0.33333      -0            3.0302E+07   0             3.0302E+07   0             3.0302E+07   0.99767      0             3.0302E+07   -0           0             3.0302E+07   0             3.0302E+07   0             3.0302E+07   0.97059      0             3.0302E+07   -0           0             3.0302E+07   0             
   1            -0.016784    0             1            0            0             1            0.06746      0             1            -0           0             1            -0.016784     1            0             1            0.06746       1            -0            1            -0.016784     1            0             1            0.06746       1            -0            
   1.6667       -0.023303    0             1.6667       0            0             1.6667       0.090584     0             1.6667       -0           0             1.6667       -0.023303     1.6667       0             1.6667       0.090584      1.6667       -0            1.6667       -0.023303     1.6667       0             1.6667       0.090584      1.6667       -0            
   2.3333       -0.029807    0             2.3333       0            0             2.3333       0.1112       0             2.3333       -0           0             2.3333       -0.029807     2.3333       0             2.3333       0.1112        2.3333       -0            2.3333       -0.029807     2.3333       0             2.3333       0.1112        2.3333       -0            
   3            -0.034912    0             3            0            0             3            0.13946      0             3            -0           0             3            -0.034912     3            0             3            0.13946       3            -0            3            -0.034912     3            0             3            0.13946       3            -0            
   3.6667       -0.043845    0             3.6667       0            0             3.6667       0.14074      0             3.6667       -0           0             3.6667       -0.043845     3.6667       0             3.6667       0.14074       3.6667       -0            3.6667       -0.043845     3.6667       0             3.6667       0.14074       3.6667       -0            
   4.3333       -0.047905    0             4.3333       0            0             4.3333       0.16896      0             4.3333       -0           0             4.3333       -0.047905     4.3333       0             4.3333       0.16896       4.3333       -0            4.3333       -0.047905     4.3333       0             4.3333       0.16896       4.3333       -0            
   5            -0.052773    0             5            0            0             5            0.19066      0             5            -0           0             5            -0.052773     5            0             5            0.19066       5            -0            5            -0.052773     5            0             5            0.19066       5            -0            
   5.6667       -0.060755    0             5.6667       0            0             5.6667       0.19048      0             5.6667       -0           0             5.6667       -0.060755     5.6667       0             5.6667       0.19048       5.6667       -0            5.6667       -0.060755     5.6667       0             5.6667       0.19048       5.6667       -0            
   6.3333       -0.068511    0             6.3333       0            0             6.3333       0.18478      0             6.3333       -0           0             6.3333       -0.068511     6.3333       0             6.3333       0.18478       6.3333       -0            6.3333       -0.068511     6.3333       0             6.3333       0.18478       6.3333       -0            
   7            -0.074904    0             7            0            0             7            0.18077      0             7            -0           0             7            -0.074904     7            0             7            0.18077       7            -0            7            -0.074904     7            0             7            0.18077       7            -0            
   7.6667       -0.08027     0             7.6667       0            0             7.6667       0.18205      0             7.6667       -0           0             7.6667       -0.08027      7.6667       0             7.6667       0.18205       7.6667       -0            7.6667       -0.08027      7.6667       0             7.6667       0.18205       7.6667       -0            
   8.3333       -0.085104    0             8.3333       0            0             8.3333       0.18665      0             8.3333       -0           0             8.3333       -0.085104     8.3333       0             8.3333       0.18665       8.3333       -0            8.3333       -0.085104     8.3333       0             8.3333       0.18665       8.3333       -0            
