# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# Research/ArnoldivsPower -f BigArnoldi-w50.Relaxed31.dat -t 10000000 -p -w 50 -v 2 -b 75 -i 0 -a 1 -I 10 -x 0.1 -r  seed =\n 2423609103
# filename = BigArnoldi-w50.Relaxed31.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = false, arnoldimethod = implicit, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, acycles = 200, incycles = 20, active = 1, inactive = 0, Iterations = 10, numValues = 2, relaxed = 0.1, tracks = 10000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32            33           34           35            36           37           38            39           40            41           42            43           44           45            46           47           48            49           50           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-   RAM 0 vEst-0-Real  -| |-   RAM 0 vEst-0-Imag  -| |-   RAM 1 vEst-0-Real  -| |-   RAM 1 vEst-0-Imag  -| |-   RAM 0 mean-0-Real  -| |-   RAM 0 mean-0-Imag  -| |-   RAM 1 mean-0-Real  -| |-   RAM 1 mean-0-Imag  -| |- RAM eValue SD-0-Real -| |- RAM eValue SD-0-Imag -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |- RAM eValue SD-1-Real -| |- RAM eValue SD-1-Imag -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       
   0.33333      0.0090396    0             0.33333      -0           0             0.33333      -0.041169    0             0.33333      0            0             0.33333      0.0090396     0.33333      -0            0.33333      -0.041169     0.33333      0             0.33333      0.0090396     0.33333      -0            0.33333      -0.041169     0.33333      0             3.0296E+07   0             3.0296E+07   0             3.0296E+07   0.99711      0             3.0296E+07   -0           0             3.0296E+07   0             3.0296E+07   0             3.0296E+07   0.97157      0             3.0296E+07   -0           0             3.0296E+07   0             
   1            0.014489     0             1            -0           0             1            -0.070522    0             1            0            0             1            0.014489      1            -0            1            -0.070522     1            0             1            0.014489      1            -0            1            -0.070522     1            0             
   1.6667       0.019869     0             1.6667       -0           0             1.6667       -0.093557    0             1.6667       0            0             1.6667       0.019869      1.6667       -0            1.6667       -0.093557     1.6667       0             1.6667       0.019869      1.6667       -0            1.6667       -0.093557     1.6667       0             
   2.3333       0.025107     0             2.3333       -0           0             2.3333       -0.1172      0             2.3333       0            0             2.3333       0.025107      2.3333       -0            2.3333       -0.1172       2.3333       0             2.3333       0.025107      2.3333       -0            2.3333       -0.1172       2.3333       0             
   3            0.030703     0             3            -0           0             3            -0.14456     0             3            0            0             3            0.030703      3            -0            3            -0.14456      3            0             3            0.030703      3            -0            3            -0.14456      3            0             
   3.6667       0.040543     0             3.6667       -0           0             3.6667       -0.14443     0             3.6667       0            0             3.6667       0.040543      3.6667       -0            3.6667       -0.14443      3.6667       0             3.6667       0.040543      3.6667       -0            3.6667       -0.14443      3.6667       0             
   4.3333       0.045778     0             4.3333       -0           0             4.3333       -0.16896     0             4.3333       0            0             4.3333       0.045778      4.3333       -0            4.3333       -0.16896      4.3333       0             4.3333       0.045778      4.3333       -0            4.3333       -0.16896      4.3333       0             
   5            0.050463     0             5            -0           0             5            -0.18767     0             5            0            0             5            0.050463      5            -0            5            -0.18767      5            0             5            0.050463      5            -0            5            -0.18767      5            0             
   5.6667       0.057021     0             5.6667       -0           0             5.6667       -0.19232     0             5.6667       0            0             5.6667       0.057021      5.6667       -0            5.6667       -0.19232      5.6667       0             5.6667       0.057021      5.6667       -0            5.6667       -0.19232      5.6667       0             
   6.3333       0.065576     0             6.3333       -0           0             6.3333       -0.18314     0             6.3333       0            0             6.3333       0.065576      6.3333       -0            6.3333       -0.18314      6.3333       0             6.3333       0.065576      6.3333       -0            6.3333       -0.18314      6.3333       0             
   7            0.071472     0             7            -0           0             7            -0.18135     0             7            0            0             7            0.071472      7            -0            7            -0.18135      7            0             7            0.071472      7            -0            7            -0.18135      7            0             
   7.6667       0.077571     0             7.6667       -0           0             7.6667       -0.18278     0             7.6667       0            0             7.6667       0.077571      7.6667       -0            7.6667       -0.18278      7.6667       0             7.6667       0.077571      7.6667       -0            7.6667       -0.18278      7.6667       0             
   8.3333       0.082826     0             8.3333       -0           0             8.3333       -0.18465     0             8.3333       0            0             8.3333       0.082826      8.3333       -0            8.3333       -0.18465      8.3333       0             8.3333       0.082826      8.3333       -0            8.3333       -0.18465      8.3333       0             
