# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldivsPower --verbose 2 --numValues 2 --inactive 2 --incycles 20 --storevectors 0 --width 50 --tol 2.22045e-16\n --arnoldimethod explicit --power --relaxed 0.1 --residual --active 50 --acycles 200 --evectors 2 --evalues 2 --seed 0 --Iterations 10 --bins 75 -r --tracks 100000 -f RelaxedTracks/50mfp.t100000.dat  seed = 2571409780
# filename = RelaxedTracks/50mfp.t100000.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = true, arnoldimethod = explicit, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, acycles = 200, incycles = 20, active = 50, inactive = 2, Iterations = 10, numValues = 2, relaxed = 0.1, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18           19            20           21           22            23           24           25            26           27           28           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-     Residual-Real    -| |-     Residual-Imag    -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   0.33333      -8.505E-06   0.00189       0.33333      -0.00046131  0.00019502    0.33333      -0.026026    0.0026084     0.33333      0.00028164   -0.00012333   1E+06        0.0067122     1E+06        0             1E+06        0.99869      0             1E+06        0            0             1E+06        0.97443      0             1E+06        0            0             
   1            0.0015048    0.0033469     1            -0.00050861  0.00017303    1            -0.045201    0.0039366     1            0.00023727   -9.5634E-05   2E+06        0.0082297     2E+06        0             2E+06        0.99864      0             2E+06        0            0             2E+06        0.98103      0             2E+06        0            0             
   1.6667       0.0028913    0.0044053     1.6667       -0.00095762  0.00027023    1.6667       -0.061537    0.0053015     1.6667       0.00055415   -7.4157E-05   2.3352E+06   0.012621      2.3352E+06   0             2.3352E+06   0.9997       0             2.3352E+06   -0           0             2.3352E+06   0.98723      0             2.3352E+06   -0           0             
   2.3333       0.003311     0.005412      2.3333       -0.0012857   0.00032313    2.3333       -0.076019    0.0060815     2.3333       0.00079452   -8.947E-05    2.6701E+06   0.01209       2.6701E+06   0             2.6701E+06   0.99653      0.0022386     2.6701E+06   -0.0030695   0.0021704     2.6701E+06   0.9903       0.0021715     2.6701E+06   0.0030695    0.0021704     
   3            0.0042515    0.0062794     3            -0.001962    0.00040146    3            -0.090025    0.0065734     3            0.0013727    2.078E-05     3.0323E+06   0.016836      3.0323E+06   0             3.0323E+06   0.99467      0.0021131     3.0323E+06   -0.0042547   0.0017186     3.0323E+06   0.99051      0.0013631     3.0323E+06   0.0042547    0.0016618     
   3.6667       0.0051743    0.007473      3.6667       -0.0021204   0.00053244    3.6667       -0.10268     0.0072899     3.6667       0.0015137    -0.00011514   3.4186E+06   0.0092079     3.4186E+06   0             3.4186E+06   0.9975       0.0028748     3.4186E+06   -0.003191    0.0014969     3.4186E+06   0.98818      0.0021902     3.4186E+06   0.003191     0.0014333     
   4.3333       0.0066837    0.0086004     4.3333       -0.0020212   0.00041128    4.3333       -0.11374     0.0078929     4.3333       0.0012579    -4.1894E-05   3.8013E+06   0.016239      3.8013E+06   0             3.8013E+06   0.99716      0.0018137     3.8013E+06   -0.0015109   0.0012643     3.8013E+06   0.9897       0.0011633     3.8013E+06   0.0015109    -3.2553E-05   
   5            0.0096897    0.0097348     5            -0.0011044   0.00025347    5            -0.12107     0.0084329     5            0.0002447    -0.00022617   4.1554E+06   0.019719      4.1554E+06   0             4.1554E+06   0.99775      0.0015992     4.1554E+06   -0.0012591   0.0010726     4.1554E+06   0.98899      0.001149      4.1554E+06   0.0012591    0.00010717    
   5.6667       0.012913     0.010963      5.6667       -0.001044    0.00011468    5.6667       -0.12812     0.0084594     5.6667       0.00011221   -5.2203E-05   4.4502E+06   0.02269       4.4502E+06   0             4.4502E+06   0.99727      0.0013897     4.4502E+06   -0.0010792   0.00085368    4.4502E+06   0.98821      0.001217      4.4502E+06   0.0010792    0.00017276    
   6.3333       0.01525      0.011672      6.3333       -0.00077689  -6.018E-05    6.3333       -0.13212     0.0085313     6.3333       -0.00016997  0.00010891    4.7427E+06   0.009008      4.7427E+06   0             4.7427E+06   0.99733      0.001215      4.7427E+06   -0.0009443   0.00075365    4.7427E+06   0.98552      0.0027316     4.7427E+06   0.0009443    0.00017521    
   7            0.018265     0.012418      7            -0.00026153  -0.00020775   7            -0.13547     0.0086042     7            -0.00068315  0.00025104    5.1199E+06   0.0088989     5.1199E+06   0             5.1199E+06   0.99696      0.0011078     5.1199E+06   -0.0015149   0.00082277    5.1199E+06   0.98646      0.0025463     5.1199E+06   0.0015149    0.00033611    
   7.6667       0.020555     0.013253      7.6667       -0.00021601  -0.00021714   7.6667       -0.13486     0.0088455     7.6667       -0.00068177  0.00026114    5.4638E+06   0.017768      5.4638E+06   0             5.4638E+06   0.99617      0.0012471     5.4638E+06   -0.0022221   0.00099676    5.4638E+06   0.98672      0.0022178     5.4638E+06   0.0022221    0.0003863     
