# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldivsPower --verbose 2 --numValues 2 --inactive 2 --incycles 20 --storevectors 0 --width 50 --tol 2.22045e-16\n --arnoldimethod explicit --power --relaxed 0.1 --residual --active 50 --acycles 200 --evectors 2 --evalues 2 --seed 0 --Iterations 10 --bins 75 -r --tracks 500000 -f RelaxedTracks/50mfp.t500000.dat  seed = 722175417
# filename = RelaxedTracks/50mfp.t500000.dat, run = true, power = false, Arnoldi = true, storevectors = 0, raw = false, evectors = 2, evalues = 2, residual = true, arnoldimethod = explicit, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, acycles = 200, incycles = 20, active = 50, inactive = 2, Iterations = 10, numValues = 2, relaxed = 0.1, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18           19            20           21           22            23           24           25            26           27           28           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-     Residual-Real    -| |-     Residual-Imag    -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   0.33333      0.0091947    0.00095672    0.33333      2.0252E-20   -2.5735E-21   0.33333      -0.031116    0.0015242     0.33333      -0.00026347  -8.1302E-05   5E+06        0.0042905     5E+06        0             5E+06        0.99762      0             5E+06        0            0             5E+06        0.97404      0             5E+06        0            0             
   1            0.01593      0.0016067     1            1.7667E-19   -3.7688E-20   1            -0.051971    0.0023065     1            -0.00044717  -0.00013635   1E+07        0.0039109     1E+07        0             1E+07        0.99683      0             1E+07        0            0             1E+07        0.97626      0             1E+07        0            0             
   1.6667       0.022534     0.0021132     1.6667       1.9052E-19   -3.8957E-20   1.6667       -0.070359    0.0030193     1.6667       -0.00062997  -0.0001859    1.1573E+07   0.003747      1.1573E+07   0             1.1573E+07   0.99664      0             1.1573E+07   -0           0             1.1573E+07   0.97591      0             1.1573E+07   -0           0             
   2.3333       0.028849     0.0025845     2.3333       1.8738E-19   -4.5555E-20   2.3333       -0.087425    0.0037305     2.3333       -0.00080306  -0.00017721   1.305E+07    0.0016315     1.305E+07    0             1.305E+07    0.99723      0.00041778    1.305E+07    -0           0             1.305E+07    0.97558      0.00023469    1.305E+07    -0           0             
   3            0.034511     0.0029952     3            -1.1997E-19  3.119E-20     3            -0.10345     0.0042994     3            -0.00095312  -0.00025465   1.4598E+07   0.0022393     1.4598E+07   0             1.4598E+07   0.99677      0.00046436    1.4598E+07   -0           0             1.4598E+07   0.97642      0.00070352    1.4598E+07   -0           0             
   3.6667       0.039573     0.0033324     3.6667       -3.0173E-19  7.7665E-20    3.6667       -0.11858     0.0049579     3.6667       -0.001057    -0.00029775   1.6136E+07   0.0016673     1.6136E+07   0             1.6136E+07   0.99669      0.00035517    1.6136E+07   -0           0             1.6136E+07   0.97666      0.0005662     1.6136E+07   -0           0             
   4.3333       0.045756     0.0036737     4.3333       -3.266E-19   8.915E-20     4.3333       -0.13125     0.0054385     4.3333       -0.0011652   -0.00036437   1.7675E+07   0.002338      1.7675E+07   0             1.7675E+07   0.99661      0.000293      1.7675E+07   -0           0             1.7675E+07   0.97635      0.00053103    1.7675E+07   -0           0             
   5            0.052584     0.0040668     5            1.1757E-19   -2.5879E-20   5            -0.14188     0.0059136     5            -0.0012584   -0.00048792   1.9246E+07   0.0020328     1.9246E+07   0             1.9246E+07   0.99638      0.00032692    1.9246E+07   -0           0             1.9246E+07   0.97663      0.00051098    1.9246E+07   -0           0             
   5.6667       0.058498     0.0043867     5.6667       2.0487E-19   -4.8764E-20   5.6667       -0.15074     0.0063982     5.6667       -0.0013445   -0.00055681   2.092E+07    0.0068946     2.092E+07    0             2.092E+07    0.99637      0.00028029    2.092E+07    -0           0             2.092E+07    0.97709      0.00061458    2.092E+07    -0           0             
   6.3333       0.06475      0.004866      6.3333       4.7564E-19   -1.1906E-19   6.3333       -0.1569      0.0068064     6.3333       -0.0013859   -0.00061628   2.2462E+07   0.0023131     2.2462E+07   0             2.2462E+07   0.99596      0.00045488    2.2462E+07   -0           0             2.2462E+07   0.9772       0.00054619    2.2462E+07   -0           0             
   7            0.071187     0.0051128     7            2.737E-19    -6.5267E-20   7            -0.16345     0.0073018     7            -0.0014356   -0.00064239   2.401E+07    0.0031109     2.401E+07    0             2.401E+07    0.99615      0.00044358    2.401E+07    -0           0             2.401E+07    0.97691      0.00055368    2.401E+07    -0           0             
   7.6667       0.077997     0.0053498     7.6667       8.7556E-20   -1.2976E-20   7.6667       -0.1678      0.0077921     7.6667       -0.0014502   -0.00073715   2.5548E+07   0.0026751     2.5548E+07   0             2.5548E+07   0.99598      0.00043245    2.5548E+07   -0           0             2.5548E+07   0.9768       0.00050975    2.5548E+07   -0           0             
   8.3333       0.083887     0.0056009     8.3333       5.6194E-20   -5.4967E-21   8.3333       -0.1693      0.0080904     8.3333       -0.0014806   -0.00080208   2.7163E+07   0.0041082     2.7163E+07   0             2.7163E+07   0.99613      0.00042043    2.7163E+07   -0           0             2.7163E+07   0.97679      0.00046353    2.7163E+07   -0           0             
   9            0.089899     0.0059109     9            1.4183E-19   -2.8009E-20   9            -0.16871     0.0081079     9            -0.001479    -0.00079322   2.8778E+07   0.0026629     2.8778E+07   0             2.8778E+07   0.9963       0.0004185     2.8778E+07   -0           0             2.8778E+07   0.97687      0.00043273    2.8778E+07   -0           0             
   9.6667       0.095148     0.0060997     9.6667       1.4491E-19   -2.8192E-20   9.6667       -0.16615     0.0082557     9.6667       -0.0014442   -0.00080644   3.034E+07    0.003133      3.034E+07    0             3.034E+07    0.99649      0.00042363    3.034E+07    -0           0             3.034E+07    0.9768       0.00040585    3.034E+07    -0           0             
   10.333       0.10054      0.0062904     10.333       8.0078E-20   -1.3195E-20   10.333       -0.16027     0.0082961     10.333       -0.001388    -0.0007606    3.1904E+07   0.0033911     3.1904E+07   0             3.1904E+07   0.99652      0.00039445    3.1904E+07   -0           0             3.1904E+07   0.97702      0.00043241    3.1904E+07   -0           0             
   11           0.10621      0.0063227     11           5.5624E-19   -1.3491E-19   11           -0.15237     0.0084249     11           -0.0013203   -0.00079195   3.3625E+07   0.0047904     3.3625E+07   0             3.3625E+07   0.99673      0.00042233    3.3625E+07   -0           0             3.3625E+07   0.97718      0.00043255    3.3625E+07   -0           0             
   11.667       0.11137      0.0063991     11.667       3.8862E-19   -9.1307E-20   11.667       -0.14256     0.008812      11.667       -0.0011904   -0.00075212   3.5053E+07   0.0015473     3.5053E+07   0             3.5053E+07   0.9968       0.00040138    3.5053E+07   -0           0             3.5053E+07   0.97708      0.00041637    3.5053E+07   -0           0             
   12.333       0.11602      0.0063799     12.333       5.6444E-19   -1.3481E-19   12.333       -0.13174     0.0094561     12.333       -0.0010733   -0.00068755   3.6606E+07   0.0095717     3.6606E+07   0             3.6606E+07   0.99668      0.00039547    3.6606E+07   -0           0             3.6606E+07   0.97745      0.0005293     3.6606E+07   -0           0             
   13           0.12039      0.0063483     13           3.874E-19    -9.312E-20    13           -0.11839     0.0097294     13           -0.00092219  -0.00057135   3.8173E+07   0.003949      3.8173E+07   0             3.8173E+07   0.99677      0.00038431    3.8173E+07   -0           0             3.8173E+07   0.97736      0.00050765    3.8173E+07   -0           0             
   13.667       0.12457      0.0062525     13.667       4.8274E-19   -1.2199E-19   13.667       -0.10305     0.010145      13.667       -0.00077283  -0.00045901   3.973E+07    0.0048313     3.973E+07    0             3.973E+07    0.99674      0.00036547    3.973E+07    -0           0             3.973E+07    0.97741      0.0004838     3.973E+07    -0           0             
   14.333       0.12945      0.0062028     14.333       6.5647E-19   -1.6009E-19   14.333       -0.0878      0.01046       14.333       -0.00064273  -0.00037811   4.1456E+07   0.0083761     4.1456E+07   0             4.1456E+07   0.99676      0.00034762    4.1456E+07   -0           0             4.1456E+07   0.97749      0.00046656    4.1456E+07   -0           0             
   15           0.13307      0.0061664     15           7.9497E-19   -1.9845E-19   15           -0.068396    0.010724      15           -0.00049447  -0.00026647   4.2986E+07   0.0049377     4.2986E+07   0             4.2986E+07   0.99662      0.00035488    4.2986E+07   -0           0             4.2986E+07   0.97753      0.00044563    4.2986E+07   -0           0             
   15.667       0.13667      0.0061473     15.667       6.9889E-19   -1.7234E-19   15.667       -0.049688    0.010607      15.667       -0.00035634  -0.0001849    4.4544E+07   0.0073632     4.4544E+07   0             4.4544E+07   0.99661      0.00033892    4.4544E+07   -0           0             4.4544E+07   0.97767      0.00044555    4.4544E+07   -0           0             
   16.333       0.1394       0.0059983     16.333       5.9008E-19   -1.4478E-19   16.333       -0.030752    0.010787      16.333       -0.00021142  -9.8267E-05   4.6077E+07   0.0092742     4.6077E+07   0             4.6077E+07   0.99663      0.00032447    4.6077E+07   -0           0             4.6077E+07   0.97794      0.00050279    4.6077E+07   -0           0             
   17           0.14298      0.0059625     17           4.1704E-19   -1.0646E-19   17           -0.013       0.010658      17           -7.5463E-05  -3.0142E-05   4.7579E+07   0.008967      4.7579E+07   0             4.7579E+07   0.99652      0.00032726    4.7579E+07   -0           0             4.7579E+07   0.97822      0.00055562    4.7579E+07   -0           0             
   17.667       0.14579      0.0058482     17.667       4.9676E-19   -1.3058E-19   17.667       0.0057072    0.010558      17.667       9.2656E-05   3.3147E-05    4.9143E+07   0.0041191     4.9143E+07   0             4.9143E+07   0.99649      0.00031556    4.9143E+07   -0           0             4.9143E+07   0.97816      0.00053723    4.9143E+07   -0           0             
   18.333       0.14873      0.0056481     18.333       4.2003E-19   -1.1618E-19   18.333       0.024345     0.010302      18.333       0.00023774   7.7308E-05    5.0623E+07   0.0029133     5.0623E+07   0             5.0623E+07   0.99655      0.00030921    5.0623E+07   -0           0             5.0623E+07   0.97817      0.00051668    5.0623E+07   -0           0             
   19           0.15175      0.0054665     19           2.7527E-19   -7.5595E-20   19           0.042566     0.0098917     19           0.00034807   9.3028E-05    5.2302E+07   0.0047549     5.2302E+07   0             5.2302E+07   0.99659      0.00029948    5.2302E+07   -0           0             5.2302E+07   0.97818      0.00049767    5.2302E+07   -0           0             
   19.667       0.15388      0.0052153     19.667       -4.2797E-21  2.7685E-21    19.667       0.059488     0.0094706     19.667       0.00046702   9.705E-05     5.3922E+07   0.0098304     5.3922E+07   0             5.3922E+07   0.99663      0.00029239    5.3922E+07   -0           0             5.3922E+07   0.9782       0.00048052    5.3922E+07   -0           0             
   20.333       0.15577      0.0050388     20.333       2.083E-19    -6.5482E-20   20.333       0.075283     0.0086624     20.333       0.0005273    5.2691E-05    5.5544E+07   0.0039364     5.5544E+07   0             5.5544E+07   0.99672      0.00029496    5.5544E+07   -0           0             5.5544E+07   0.97816      0.00046605    5.5544E+07   -0           0             
   21           0.15695      0.0046363     21           4.0379E-19   -1.3737E-19   21           0.088127     0.0084031     21           0.00062711   7.4823E-06    5.6946E+07   0.0020399     5.6946E+07   0             5.6946E+07   0.99677      0.00028979    5.6946E+07   -0           0             5.6946E+07   0.97812      0.00045199    5.6946E+07   -0           0             
   21.667       0.15685      0.0044183     21.667       4.7882E-19   -1.6185E-19   21.667       0.10062      0.0079726     21.667       0.00069805   -3.6248E-05   5.8526E+07   0.006887      5.8526E+07   0             5.8526E+07   0.99675      0.00028135    5.8526E+07   -0           0             5.8526E+07   0.97816      0.00043888    5.8526E+07   -0           0             
   22.333       0.15812      0.0039999     22.333       1.8406E-19   -6.546E-20    22.333       0.1113       0.0078828     22.333       0.00075774   -0.00012362   6.0103E+07   0.0056835     6.0103E+07   0             6.0103E+07   0.99676      0.00027263    6.0103E+07   -0           0             6.0103E+07   0.9782       0.00042736    6.0103E+07   -0           0             
   23           0.15786      0.0036459     23           2.6505E-19   -9.3857E-20   23           0.12086      0.0078908     23           0.00078794   -0.00016921   6.1674E+07   0.0032011     6.1674E+07   0             6.1674E+07   0.99678      0.00026551    6.1674E+07   -0           0             6.1674E+07   0.97812      0.00042246    6.1674E+07   -0           0             
   23.667       0.15796      0.003239      23.667       -6.9912E-20  2.0183E-20    23.667       0.12792      0.0077882     23.667       0.00083234   -0.00021097   6.3196E+07   0.0071803     6.3196E+07   0             6.3196E+07   0.99668      0.00027774    6.3196E+07   -0           0             6.3196E+07   0.97818      0.00041419    6.3196E+07   -0           0             
   24.333       0.15637      0.0028432     24.333       -3.0889E-20  9.6121E-21    24.333       0.13348      0.0070742     24.333       0.00085556   -0.00027046   6.4716E+07   0.0029763     6.4716E+07   0             6.4716E+07   0.99668      0.0002698     6.4716E+07   -0           0             6.4716E+07   0.97813      0.00040512    6.4716E+07   -0           0             
   25           0.15564      0.002521      25           2.0778E-19   -6.3738E-20   25           0.13477      0.0071177     25           0.00085154   -0.00031486   6.6224E+07   0.0029202     6.6224E+07   0             6.6224E+07   0.99672      0.00026628    6.6224E+07   -0           0             6.6224E+07   0.97807      0.0003977     6.6224E+07   -0           0             
   25.667       0.155        0.0022198     25.667       -3.3808E-20  6.6554E-21    25.667       0.13603      0.0067487     25.667       0.00083693   -0.00030848   6.7836E+07   0.0071787     6.7836E+07   0             6.7836E+07   0.9968       0.00027014    6.7836E+07   -0           0             6.7836E+07   0.97803      0.00038937    6.7836E+07   -0           0             
   26.333       0.15345      0.0021031     26.333       9.5749E-20   -1.0535E-20   26.333       0.13441      0.0067572     26.333       0.00081622   -0.00030752   6.9469E+07   0.0039973     6.9469E+07   0             6.9469E+07   0.99676      0.00026562    6.9469E+07   -0           0             6.9469E+07   0.97806      0.0003806     6.9469E+07   -0           0             
   27           0.15216      0.0020821     27           2.305E-19    -3.5252E-21   27           0.13312      0.0064863     27           0.00078715   -0.0003013    7.1034E+07   0.0035731     7.1034E+07   0             7.1034E+07   0.99679      0.00026004    7.1034E+07   -0           0             7.1034E+07   0.97803      0.00037214    7.1034E+07   -0           0             
   27.667       0.15039      0.0022375     27.667       1.7037E-19   1.1888E-20    27.667       0.12776      0.0067034     27.667       0.00078207   -0.000283     7.2679E+07   0.0039507     7.2679E+07   0             7.2679E+07   0.99682      0.00025561    7.2679E+07   -0           0             7.2679E+07   0.97795      0.0003708     7.2679E+07   -0           0             
   28.333       0.14796      0.0025798     28.333       -1.9381E-19  -2.4244E-20   28.333       0.12128      0.0066298     28.333       0.00077928   -0.0002708    7.4226E+07   0.0081912     7.4226E+07   0             7.4226E+07   0.99688      0.00025636    7.4226E+07   5.6768E-21   1.2995E-21    7.4226E+07   0.97797      0.00036222    7.4226E+07   4.7096E-21   2.3446E-22    
   29           0.14621      0.0029474     29           2.7635E-19   4.3575E-20    29           0.11225      0.0072312     29           0.00070964   -0.00022432   7.5746E+07   0.0057509     7.5746E+07   0             7.5746E+07   0.99685      0.00025241    7.5746E+07   5.5416E-21   1.2752E-21    7.5746E+07   0.97802      0.00035655    7.5746E+07   4.5975E-21   2.1275E-22    
   29.667       0.14341      0.0033958     29.667       -1.1981E-19  -2.64E-20     29.667       0.10293      0.0075058     29.667       0.00065399   -0.00019029   7.7302E+07   0.0022157     7.7302E+07   0             7.7302E+07   0.99677      0.00025796    7.7302E+07   5.4128E-21   1.2279E-21    7.7302E+07   0.97801      0.00034839    7.7302E+07   4.4906E-21   2.1067E-22    
   30.333       0.14118      0.0038248     30.333       4.998E-20    1.2215E-20    30.333       0.092335     0.0079061     30.333       0.00052737   -0.00014142   7.9026E+07   0.013186      7.9026E+07   0             7.9026E+07   0.99682      0.00025717    7.9026E+07   5.2897E-21   1.1522E-21    7.9026E+07   0.9781       0.00035305    7.9026E+07   4.3885E-21   1.7186E-22    
   31           0.13759      0.0042228     31           2.9952E-19   8.1277E-20    31           0.08124      0.0079579     31           0.00045883   -0.00011073   8.0451E+07   0.0035996     8.0451E+07   0             8.0451E+07   0.99677      0.00025607    8.0451E+07   5.1722E-21   1.1283E-21    8.0451E+07   0.97808      0.00034574    8.0451E+07   4.291E-21    1.7317E-22    
