# This file was created by gnuplotFile.py version $Revision: 47 $ on Thu Apr 12 18:39:28 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# 
# Flux2             Flux2            Flux3             Flux3            Flux1             Flux1            FissionSource     FissionSource    
# x-coord           y-coord          x-coord           y-coord          x-coord           y-coord          x-coord           y-coord          
  7.95              0.0              7.95              0.0              7.95              2.8207655        7.95              1.4103827        
  8.05              0.0              8.05              0.0              8.05              2.8332999        8.05              1.4166499        
  8.15              0.0              8.15              0.0              8.15              2.8452237        8.15              1.4226118        
  8.25              0.0              8.25              0.0              8.25              2.8565364        8.25              1.4282682        
  8.35              0.0              8.35              0.0              8.35              2.867233         8.35              1.4336165        
  8.45              0.0              8.45              0.0              8.45              2.8773119        8.45              1.438656         
  8.55              0.0              8.55              0.0              8.55              2.8867726        8.55              1.4433863        
  8.65              0.0              8.65              0.0              8.65              2.895611         8.65              1.4478055        
  8.75              0.0              8.75              0.0              8.75              2.9038258        8.75              1.4519129        
  8.85              0.0              8.85              0.0              8.85              2.9114158        8.85              1.4557079        
  8.95              0.0              8.95              0.0              8.95              2.9183795        8.95              1.4591898        
  9.05              0.0              9.05              0.0              9.05              2.9247146        9.05              1.4623573        
  9.15              0.0              9.15              0.0              9.15              2.9304202        9.15              1.4652101        
  9.25              0.0              9.25              0.0              9.25              2.9354944        9.25              1.4677472        
  9.35              0.0              9.35              0.0              9.35              2.9399376        9.35              1.4699688        
  9.45              0.0              9.45              0.0              9.45              2.943747         9.45              1.4718735        
  9.55              0.0              9.55              0.0              9.55              2.946923         9.55              1.4734615        
  9.65              0.0              9.65              0.0              9.65              2.9494648        9.65              1.4747324        
  9.75              0.0              9.75              0.0              9.75              2.9513717        9.75              1.4756858        
  9.85              0.0              9.85              0.0              9.85              2.9526434        9.85              1.4763217        
  9.95              0.0              9.95              0.0              9.95              2.9532785        9.95              1.4766393        
  10.15             0.0              10.15             0.0              10.15             2.9526434        10.15             1.4763217        
  10.25             0.0              10.25             0.0              10.25             2.9513717        10.25             1.4756858        
  10.35             0.0              10.35             0.0              10.35             2.9494648        10.35             1.4747324        
  10.45             0.0              10.45             0.0              10.45             2.946923         10.45             1.4734615        
  10.55             0.0              10.55             0.0              10.55             2.943747         10.55             1.4718735        
  10.65             0.0              10.65             0.0              10.65             2.9399376        10.65             1.4699688        
  10.75             0.0              10.75             0.0              10.75             2.9354944        10.75             1.4677472        
  10.85             0.0              10.85             0.0              10.85             2.9304202        10.85             1.4652101        
