# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --relaxed 0 --eigenvalues 3 --tracks 500000 --inactive 10 --source Histogram\n --Iterations 30 --active 30 --seed 0 --run --bins 50 -f Bins/50mfp/50mfp.b50.dat , seed = 311202460
# Arguments: source = Histogram, method = explicit, Iterations = 30, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/50mfp/50mfp.b50.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 50, active = 30, inactive = 10, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4             5            6             7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34           35            36           37           38            39           40            41           42            43           44            45           46           
# |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   10.5         0.123275      10.5         0             10.5         0.187299      10.5         0             10.5         0.171719      10.5         0             1.65E+08     0.996676     0             1.65E+08     0            0             1.65E+08     0.996676      1.65E+08     0             1.65E+08     0.987418     0             1.65E+08     0            0             1.65E+08     0.987418      1.65E+08     0             1.65E+08     0.976036     0             1.65E+08     0            0             1.65E+08     0.976036      1.65E+08     0             1.65E+08     887.105       3.15E+08     15833         
   11.5         0.131478      11.5         0             11.5         0.189309      11.5         0             11.5         0.151903      11.5         0             1.8E+08      0.997151     0.000335562   1.8E+08      0            0             1.8E+08      0.997625      1.8E+08      0             1.8E+08      0.988331     0.000645367   1.8E+08      0            0             1.8E+08      0.989243      1.8E+08      0             1.8E+08      0.975996     2.86555E-05   1.8E+08      0            0             1.8E+08      0.975955      1.8E+08      0             1.8E+08      967.74        3.3E+08      17909.5       
   12.5         0.139398      12.5         0             12.5         0.189599      12.5         0             12.5         0.127378      12.5         0             1.95E+08     0.997084     0.000230254   1.95E+08     0            0             1.95E+08     0.99695       1.95E+08     0             1.95E+08     0.988218     0.000440033   1.95E+08     0            0             1.95E+08     0.987992      1.95E+08     0             1.95E+08     0.975992     1.93876E-05   1.95E+08     0            0             1.95E+08     0.975984      1.95E+08     0             1.95E+08     1048.45       3.45E+08     20033.7       
   13.5         0.147228      13.5         0             13.5         0.18706       13.5         0             13.5         0.0992223     13.5         0             2.1E+08      0.997313     0.000263442   2.1E+08      0            0             2.1E+08      0.998003      2.1E+08      0             2.1E+08      0.98856      0.000443558   2.1E+08      0            0             2.1E+08      0.989586      2.1E+08      0             2.1E+08      0.976069     6.86345E-05   2.1E+08      0            0             2.1E+08      0.976302      2.1E+08      0             2.1E+08      1128.74       3.6E+08      15927.9       
   14.5         0.154584      14.5         0             14.5         0.181694      14.5         0             14.5         0.0677961     14.5         0             2.25E+08     0.997295     0.000211433   2.25E+08     0            0             2.25E+08     0.997219      2.25E+08     0             2.25E+08     0.988744     0.000391288   2.25E+08     0            0             2.25E+08     0.989482      2.25E+08     0             2.25E+08     0.97605      5.74745E-05   2.25E+08     0            0             2.25E+08     0.975974      2.25E+08     0             2.25E+08     1209.3        3.75E+08     17534.4       
   15.5         0.161504      15.5         0             15.5         0.173175      15.5         0             15.5         0.0336399     15.5         0             2.4E+08      0.997047     0.000286444   2.4E+08      0            0             2.4E+08      0.99581       2.4E+08      0             2.4E+08      0.988945     0.000374063   2.4E+08      0            0             2.4E+08      0.989949      2.4E+08      0             2.4E+08      0.975876     0.000165737   2.4E+08      0            0             2.4E+08      0.975007      2.4E+08      0             2.4E+08      1289.61       3.9E+08      15078.4       
   16.5         0.166747      16.5         0             16.5         0.162485      16.5         0             16.5         -0.00127658   16.5         0             2.55E+08     0.997042     0.000245579   2.55E+08     0            0             2.55E+08     0.997008      2.55E+08     0             2.55E+08     0.988711     0.000387132   2.55E+08     0            0             2.55E+08     0.987305      2.55E+08     0             2.55E+08     0.975831     0.000148251   2.55E+08     0            0             2.55E+08     0.975556      2.55E+08     0             2.55E+08     1370.39       4.05E+08     16372.3       
   17.5         0.172102      17.5         0             17.5         0.148596      17.5         0             17.5         -0.037338     17.5         0             2.7E+08      0.99692      0.000242887   2.7E+08      0            0             2.7E+08      0.996073      2.7E+08      0             2.7E+08      0.988802     0.000349258   2.7E+08      0            0             2.7E+08      0.989438      2.7E+08      0             2.7E+08      0.975652     0.000211235   2.7E+08      0            0             2.7E+08      0.974405      2.7E+08      0             2.7E+08      1451.08       4.2E+08      15337.5       
   18.5         0.176373      18.5         0             18.5         0.133271      18.5         0             18.5         -0.0719936    18.5         0             2.85E+08     0.996882     0.000218892   2.85E+08     0            0             2.85E+08     0.996576      2.85E+08     0             2.85E+08     0.989014     0.000369508   2.85E+08     0            0             2.85E+08     0.990714      2.85E+08     0             2.85E+08     0.975606     0.000192703   2.85E+08     0            0             2.85E+08     0.975239      2.85E+08     0             2.85E+08     1532.21       4.35E+08     14112.5       
   19.5         0.180434      19.5         0             19.5         0.115434      19.5         0             19.5         -0.103485     19.5         0             3E+08        0.996882     0.000197003   3E+08        0            0             3E+08        0.996883      3E+08        0             3E+08        0.989019     0.000332587   3E+08        0            0             3E+08        0.989061      3E+08        0             3E+08        0.975656     0.00017982    3E+08        0            0             3E+08        0.976107      3E+08        0             3E+08        1613.02       4.5E+08      13051.6       
