# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --relaxed 0 --eigenvalues 3 --tracks 500000 --inactive 10 --source Histogram\n --Iterations 30 --active 30 --seed 0 --run --bins 30 -f Bins/50mfp/50mfp.b30.dat , seed = 401997259
# Arguments: source = Histogram, method = explicit, Iterations = 30, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/50mfp/50mfp.b30.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 30, active = 30, inactive = 10, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8             9            10            11           12           13            14           15           16            17           18            19           20            21           22           23            24           25           26            27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| |-      FOM-Arnoldi     -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.65E+08     1.33163      0             1.65E+08     0.966119     0             1.65E+08     1.33163       1.65E+08     0.966119      1.65E+08     1.33163      0             1.65E+08     -0.966119    0             1.65E+08     1.33163       1.65E+08     -0.966119     1.65E+08     1.14798      0             1.65E+08     0            0             1.65E+08     1.14798       1.65E+08     0             1.65E+08     875.365       17.5         0.206835      17.5         0.0430432     17.5         0.145378      17.5         -0.0137488    17.5         -0.143839     17.5         0.0195947     3.15E+08     0.452074      
   1.8E+08      1.4609       0.0914021     1.8E+08      0.483059     -0.341574     1.8E+08      1.59016       1.8E+08      0             1.8E+08      1.33328      0.0011666     1.8E+08      0.170134     0.803452      1.8E+08      1.33493       1.8E+08      1.30639       1.8E+08      1.24146      0.0660981     1.8E+08      -0.653193    -0.461877     1.8E+08      1.33493       1.8E+08      -1.30639      1.8E+08      955.075       19.1667      0.210313      19.1667      0.0510281     19.1667      0.149758      19.1667      -0.00432078   19.1667      -0.140077     19.1667      0.0344948     3.3E+08      0.455915      
   1.95E+08     1.46071      0.0489811     1.95E+08     0.695236     -0.283819     1.95E+08     1.46035       1.95E+08     1.11959       1.95E+08     1.37564      0.0183237     1.95E+08     -0.259774    -0.639732     1.95E+08     1.46035       1.95E+08     -1.11959      1.95E+08     1.29205      0.0177433     1.95E+08     -0.435462    -0.350834     1.95E+08     1.39323       1.95E+08     0             1.95E+08     1034.33       20.8333      0.187612      20.8333      0.0385105     20.8333      0.132282      20.8333      -0.0221885    20.8333      -0.127215     20.8333      0.00182113    3.45E+08     0.593984      
   2.1E+08      1.54901      0.0750169     2.1E+08      0.521427     -0.257679     2.1E+08      1.81391       2.1E+08      0             2.1E+08      1.38521      0.00573706    2.1E+08      0.172618     -0.608444     2.1E+08      1.41391       2.1E+08      1.46979       2.1E+08      1.32252      0.0272494     2.1E+08      -0.694044    -0.34533      2.1E+08      1.41391       2.1E+08      -1.46979      2.1E+08      1114.26       22.5         0.196934      22.5         0.0341099     22.5         0.137509      22.5         0.00673678    22.5         -0.135393     22.5         0.0331001     3.6E+08      1.44588       
   2.25E+08     1.63308      0.0871067     2.25E+08     0.417141     -0.222547     2.25E+08     1.96937       2.25E+08     0             2.25E+08     1.38172      0.00552077    2.25E+08     0.465182     -0.552635     2.25E+08     1.36775       2.25E+08     1.63544       2.25E+08     1.33156      0.0228283     2.25E+08     -0.882323    -0.323514     2.25E+08     1.36775       2.25E+08     -1.63544      2.25E+08     1194.11       24.1667      0.164004      24.1667      0.0318647     24.1667      0.115683      24.1667      -0.0060034    24.1667      -0.105871     24.1667      0.011344      3.75E+08     117.266       
   2.4E+08      1.54876      0.0497626     2.4E+08      0.347618     -0.172345     2.4E+08      1.12711       2.4E+08      0             2.4E+08      1.32491      0.0033513     2.4E+08      0.387651     0.46303       2.4E+08      1.04085       2.4E+08      0             2.4E+08      1.2759       0.0399776     2.4E+08      -0.735269    -0.298925     2.4E+08      0.997564      2.4E+08      0             2.4E+08      1273.74       25.8333      0.180947      25.8333      0.037957      25.8333      0.129888      25.8333      -0.0117188    25.8333      -0.127916     25.8333      0.0205697     3.9E+08      115.602       
   2.55E+08     1.52498      0.0479764     2.55E+08     0.423619     -0.16362      2.55E+08     1.38232       2.55E+08     0.879629      2.55E+08     1.33311      0.000308102   2.55E+08     0.206611     -0.430747     2.55E+08     1.38232       2.55E+08     -0.879629     2.55E+08     1.23608      0.0452625     2.55E+08     -0.630231    -0.273171     2.55E+08     0.997199      2.55E+08     0             2.55E+08     1353.16       27.5         0.178359      27.5         0.0391806     27.5         0.130381      27.5         -0.0173227    27.5         -0.109612     27.5         0.00365272    4.05E+08     21.0767       
   2.7E+08      1.57697      0.0567092     2.7E+08      0.370667     -0.148456     2.7E+08      1.94088       2.7E+08      0             2.7E+08      1.33285      0.000349009   2.7E+08      0.400552     -0.418292     2.7E+08      1.33102       2.7E+08      1.75814       2.7E+08      1.24795      0.0400624     2.7E+08      -0.771219    -0.272835     2.7E+08      1.33102       2.7E+08      -1.75814      2.7E+08      1432.98       29.1667      0.160134      29.1667      0.0280539     29.1667      0.116149      29.1667      0.00250619    29.1667      -0.116918     29.1667      0.028513      4.2E+08      89.3377       
   2.85E+08     1.63472      0.0366711     2.85E+08     0.413168     -0.121893     2.85E+08     2.09678       2.85E+08     0.753174      2.85E+08     1.41773      0.0255188     2.85E+08     0.27236      -0.383537     2.85E+08     2.09678       2.85E+08     -0.753174     2.85E+08     1.2483       0.0216617     2.85E+08     -0.440527    -0.393984     2.85E+08     1.25107       2.85E+08     2.20501       2.85E+08     1512.36       30.8333      0.160807      30.8333      0.0371422     30.8333      0.11991       30.8333      -0.0146889    30.8333      -0.109521     30.8333      0.0143424     4.35E+08     14.46         
   3E+08        1.64678      0.0349295     3E+08        0.371851     -0.116495     3E+08        1.75533       3E+08        0             3E+08        1.41262      0.0233487     3E+08        0.389404     -0.362594     3E+08        1.36662       3E+08        1.4428        3E+08        1.26013      0.0217404     3E+08        -0.540754    -0.367067     3E+08        1.36662       3E+08        -1.4428       3E+08        1591.91       32.5         0.126904      32.5         0.013826      32.5         0.094277      32.5         0.00193575    32.5         -0.102356     32.5         0.0128329     4.5E+08      6.17791       
