# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --source Linear --tracks 100000 --inactive 50 --Iterations 10 --eigenvalues\n 3 --active 500 --seed 0 --run --bins 135 -f Bins/20mfp-BetterStats/Linear/20mfp.b135.dat , seed = 1982717407
# Arguments: source = Linear, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats/Linear/20mfp.b135.dat, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 135, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        4.83824      0             1E+06        0            0             1E+06        3.81254      0             1E+06        0            0             1E+06        1.81039      0             1E+06        0.436341     0             5.1E+07      0             0            0.00340963    0            -0.0040841    0            -7.32225E-05  
   2E+06        4.83473      0             2E+06        0            0             2E+06        3.80594      0             2E+06        0            0             2E+06        1.37662      0             2E+06        1.67031      0             5.2E+07      3.82205       0.148148     0.00459028    0.148148     -0.00552248   0.148148     -0.000117006  
   3E+06        4.81906      0             3E+06        0            0             3E+06        3.82343      0             3E+06        0            0             3E+06        1.46609      0             3E+06        0            0             5.3E+07      8.13732       0.148148     0.0045568     0.148148     -0.00548373   0.148148     -9.94086E-05  
   4E+06        4.82144      0             4E+06        0            0             4E+06        3.81641      0             4E+06        0            0             4E+06        0.744617     0             4E+06        1.11834      0             5.4E+07      5.2572        0.296296     0.00556794    0.296296     -0.00666339   0.296296     -0.000136932  
   5E+06        4.83217      0             5E+06        0            0             5E+06        3.82143      0             5E+06        0            0             5E+06        1.33775      0             5E+06        0            0             5.5E+07      8.05298       0.296296     0.00556616    0.296296     -0.00664982   0.296296     -0.000149745  
   6E+06        4.83387      0             6E+06        0            0             6E+06        3.70119      0             6E+06        0            0             6E+06        1.15157      0             6E+06        2.22313      0             5.6E+07      9.84233       0.444444     0.00649729    0.444444     -0.00778848   0.444444     -0.000125417  
   7E+06        4.82878      0             7E+06        0            0             7E+06        3.6961       0             7E+06        0            0             7E+06        0.940497     0             7E+06        1.54159      0             5.7E+07      13.1366       0.444444     0.00650604    0.444444     -0.00779981   0.444444     -0.000158651  
   8E+06        4.83921      0             8E+06        0            0             8E+06        3.48422      0             8E+06        0            0             8E+06        1.50007      0             8E+06        1.36867      0             5.8E+07      16.8272       0.592593     0.0074019     0.592593     -0.00883599   0.592593     -0.000183222  
   9E+06        4.82479      0             9E+06        0            0             9E+06        3.82075      0             9E+06        0            0             9E+06        1.47747      0             9E+06        0.657872     0             5.9E+07      20.8679       0.592593     0.00741397    0.592593     -0.00884439   0.592593     -0.000158184  
   1E+07        4.81575      0             1E+07        0            0             1E+07        3.72261      0             1E+07        0            0             1E+07        1.52868      0             1E+07        1.20285      0             6E+07        24.8164       0.740741     0.00829471    0.740741     -0.00986539   0.740741     -0.000170543  
