# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --source Linear --tracks 100000 --inactive 50 --Iterations 10 --eigenvalues\n 3 --active 500 --seed 0 --run --bins 60 -f Bins/20mfp-BetterStats/Linear/20mfp.b60.dat , seed = 2044065133
# Arguments: source = Linear, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats/Linear/20mfp.b60.dat, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 60, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   2.2E+07      4.85464      0             2.2E+07      0            0             2.2E+07      4.39412      0             2.2E+07      0            0             2.2E+07      3.81375      0             2.2E+07      0            0             7.2E+07      103.6         3.66667      0.0445184     3.66667      -0.0447287    3.66667      -0.0302602    
   2.3E+07      4.83622      0             2.3E+07      0            0             2.3E+07      4.35496      0             2.3E+07      0            0             2.3E+07      3.81607      0             2.3E+07      0            0             7.3E+07      110.808       3.66667      0.044512      3.66667      -0.0447356    3.66667      -0.0302874    
   2.4E+07      4.83121      0             2.4E+07      0            0             2.4E+07      4.38146      0             2.4E+07      0            0             2.4E+07      3.78107      0             2.4E+07      0            0             7.4E+07      96.689        4            0.0473771     4            -0.0457692    4            -0.0283068    
   2.5E+07      4.81997      0             2.5E+07      0            0             2.5E+07      4.3845       0             2.5E+07      0            0             2.5E+07      3.79329      0             2.5E+07      0            0             7.5E+07      97.468        4            0.0473426     4            -0.0458235    4            -0.0283073    
   2.6E+07      4.82599      0             2.6E+07      0            0             2.6E+07      4.3745       0             2.6E+07      0            0             2.6E+07      3.83139      0             2.6E+07      0            0             7.6E+07      102.464       4.33333      0.0502278     4.33333      -0.0464992    4.33333      -0.0258619    
   2.7E+07      4.8391       0             2.7E+07      0            0             2.7E+07      4.38242      0             2.7E+07      0            0             2.7E+07      3.81928      0             2.7E+07      0            0             7.7E+07      106.45        4.33333      0.0502206     4.33333      -0.0464618    4.33333      -0.0257957    
   2.8E+07      4.83142      0             2.8E+07      0            0             2.8E+07      4.38736      0             2.8E+07      0            0             2.8E+07      3.8107       0             2.8E+07      0            0             7.8E+07      110.793       4.66667      0.0527487     4.66667      -0.0467514    4.66667      -0.0227933    
   2.9E+07      4.80798      0             2.9E+07      0            0             2.9E+07      4.37947      0             2.9E+07      0            0             2.9E+07      3.87313      0             2.9E+07      0            0             7.9E+07      113.189       4.66667      0.0527792     4.66667      -0.0466733    4.66667      -0.0228123    
   3E+07        4.82507      0             3E+07        0            0             3E+07        4.37         0             3E+07        0            0             3E+07        3.7792       0             3E+07        0            0             8E+07        114.551       5            0.0552418     5            -0.0464466    5            -0.0191685    
   3.1E+07      4.81111      0             3.1E+07      0            0             3.1E+07      4.36125      0             3.1E+07      0            0             3.1E+07      3.79022      0             3.1E+07      0            0             8.1E+07      109.186       5            0.055243      5            -0.046514     5            -0.0191185    
