# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --source Linear --tracks 100000 --inactive 50 --Iterations 10 --eigenvalues\n 3 --active 500 --seed 0 --run --bins 50 -f Bins/20mfp-BetterStats/Linear/20mfp.b50.dat , seed = 4201516827
# Arguments: source = Linear, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats/Linear/20mfp.b50.dat, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 50, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        4.8455       0             1E+06        0            0             1E+06        3.9595       0             1E+06        0.175233     0             1E+06        3.9595       0             1E+06        -0.175233    0             5.1E+07      0             0            -0.00721409   0            0.00893196    0            0.00894198    
   2E+06        4.82203      0             2E+06        0            0             2E+06        4.38402      0             2E+06        0            0             2E+06        3.80787      0             2E+06        0            0             5.2E+07      7.97017       0.4          -0.0129862    0.4          0.0159575     0.4          0.0160631     
   3E+06        4.83243      0             3E+06        0            0             3E+06        4.4019       0             3E+06        0            0             3E+06        3.8446       0             3E+06        0            0             5.3E+07      14.8891       0.4          -0.0129017    0.4          0.0158291     0.4          0.0159496     
   4E+06        4.81881      0             4E+06        0            0             4E+06        4.36881      0             4E+06        0            0             4E+06        3.77176      0             4E+06        0            0             5.4E+07      24.6209       0.8          -0.0178039    0.8          0.0218712     0.8          0.0215473     
   5E+06        4.83468      0             5E+06        0            0             5E+06        4.37487      0             5E+06        0            0             5E+06        3.83151      0             5E+06        0            0             5.5E+07      32.4715       0.8          -0.0178659    0.8          0.021791      0.8          0.0216425     
   6E+06        4.82307      0             6E+06        0            0             6E+06        4.38373      0             6E+06        0            0             6E+06        3.81201      0             6E+06        0            0             5.6E+07      40.7119       1.2          -0.0225701    1.2          0.0273637     1.2          0.0263627     
   7E+06        4.83067      0             7E+06        0            0             7E+06        4.38408      0             7E+06        0            0             7E+06        3.81217      0             7E+06        0            0             5.7E+07      39.5362       1.2          -0.022614     1.2          0.0273222     1.2          0.0263896     
   8E+06        4.83236      0             8E+06        0            0             8E+06        4.36699      0             8E+06        0            0             8E+06        3.81642      0             8E+06        0            0             5.8E+07      49.6487       1.6          -0.0272448    1.6          0.0323609     1.6          0.0304048     
   9E+06        4.83409      0             9E+06        0            0             9E+06        4.36282      0             9E+06        0            0             9E+06        3.84026      0             9E+06        0            0             5.9E+07      57.5996       1.6          -0.0272207    1.6          0.0324098     1.6          0.03041       
   1E+07        4.82761      0             1E+07        0            0             1E+07        4.37522      0             1E+07        0            0             1E+07        3.80394      0             1E+07        0            0             6E+07        69.3428       2            -0.0318472    2            0.0369325     2            0.0333329     
