# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --source Linear --tracks 100000 --inactive 50 --Iterations 10 --eigenvalues\n 3 --active 500 --seed 0 --run --bins 75 -f Bins/20mfp-BetterStats/Linear/20mfp.b75.dat , seed = 3538854555
# Arguments: source = Linear, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats/Linear/20mfp.b75.dat, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 75, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-   RAM eigenvector-0  -| |-   RAM eigenvector-1  -| |-   RAM eigenvector-2  -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1E+06        4.81759      0             1E+06        0            0             1E+06        3.83133      0             1E+06        0            0             1E+06        2.39343      0             1E+06        0.629064     0             5.1E+07      0             0            -0.00555756   0            0.00680021    0            -0.0065303    
   2E+06        4.83181      0             2E+06        0            0             2E+06        3.72707      0             2E+06        0.136639     0             2E+06        3.72707      0             2E+06        -0.136639    0             5.2E+07      69.8445       0.266667     -0.00868636   0.266667     0.0106617     0.266667     -0.010275     
   3E+06        4.82992      0             3E+06        0            0             3E+06        4.34003      0             3E+06        0            0             3E+06        3.81959      0             3E+06        0            0             5.3E+07      150.744       0.266667     -0.00865977   0.266667     0.0105737     0.266667     -0.0102375    
   4E+06        4.83559      0             4E+06        0            0             4E+06        4.3909       0             4E+06        0            0             4E+06        3.82027      0             4E+06        0            0             5.4E+07      258.967       0.533333     -0.0113761    0.533333     0.0138219     0.533333     -0.0132519    
   5E+06        4.82617      0             5E+06        0            0             5E+06        4.40254      0             5E+06        0            0             5E+06        3.88539      0             5E+06        0            0             5.5E+07      393.198       0.533333     -0.011318     0.533333     0.0138078     0.533333     -0.0132076    
   6E+06        4.83514      0             6E+06        0            0             6E+06        4.35239      0             6E+06        0            0             6E+06        3.85771      0             6E+06        0            0             5.6E+07      105.832       0.8          -0.013879     0.8          0.0168421     0.8          -0.0160137    
   7E+06        4.8177       0             7E+06        0            0             7E+06        4.37989      0             7E+06        0            0             7E+06        3.86455      0             7E+06        0            0             5.7E+07      101.202       0.8          -0.0138823    0.8          0.0168467     0.8          -0.0159876    
   8E+06        4.82647      0             8E+06        0            0             8E+06        4.37635      0             8E+06        0            0             8E+06        3.80596      0             8E+06        0            0             5.8E+07      116.389       1.06667      -0.0163801    1.06667      0.0196521     1.06667      -0.0184665    
   9E+06        4.80451      0             9E+06        0            0             9E+06        4.37558      0             9E+06        0            0             9E+06        3.79125      0             9E+06        0            0             5.9E+07      137.682       1.06667      -0.016404     1.06667      0.0196863     1.06667      -0.0184348    
   1E+07        4.83186      0             1E+07        0            0             1E+07        4.35329      0             1E+07        0            0             1E+07        3.78025      0             1E+07        0            0             6E+07        163.83        1.33333      -0.0188525    1.33333      0.02238       1.33333      -0.0206718    
   1.1E+07      4.83996      0             1.1E+07      0            0             1.1E+07      4.35683      0             1.1E+07      0            0             1.1E+07      3.71819      0             1.1E+07      0            0             6.1E+07      138.224       1.33333      -0.018828     1.33333      0.022377      1.33333      -0.0206608    
   1.2E+07      4.81476      0             1.2E+07      0            0             1.2E+07      4.40712      0             1.2E+07      0            0             1.2E+07      3.75235      0             1.2E+07      0            0             6.2E+07      159.613       1.6          -0.0212614    1.6          0.0249359     1.6          -0.0225204    
   1.3E+07      4.82618      0             1.3E+07      0            0             1.3E+07      4.37473      0             1.3E+07      0            0             1.3E+07      3.80808      0             1.3E+07      0            0             6.3E+07      155.181       1.6          -0.0212631    1.6          0.0249745     1.6          -0.0225491    
   1.4E+07      4.83532      0             1.4E+07      0            0             1.4E+07      4.39915      0             1.4E+07      0            0             1.4E+07      3.74749      0             1.4E+07      0            0             6.4E+07      161.859       1.86667      -0.0235916    1.86667      0.027372      1.86667      -0.0241048    
   1.5E+07      4.82578      0             1.5E+07      0            0             1.5E+07      4.35788      0             1.5E+07      0            0             1.5E+07      3.8015       0             1.5E+07      0            0             6.5E+07      135.078       1.86667      -0.0235961    1.86667      0.0274058     1.86667      -0.0241597    
   1.6E+07      4.83249      0             1.6E+07      0            0             1.6E+07      4.37275      0             1.6E+07      0            0             1.6E+07      3.83829      0             1.6E+07      0            0             6.6E+07      137.535       2.13333      -0.0259495    2.13333      0.0295418     2.13333      -0.0254       
   1.7E+07      4.81874      0             1.7E+07      0            0             1.7E+07      4.38931      0             1.7E+07      0            0             1.7E+07      3.8293       0             1.7E+07      0            0             6.7E+07      152.55        2.13333      -0.0259729    2.13333      0.0295558     2.13333      -0.0254064    
   1.8E+07      4.8104       0             1.8E+07      0            0             1.8E+07      4.38967      0             1.8E+07      0            0             1.8E+07      3.7645       0             1.8E+07      0            0             6.8E+07      161.26        2.4          -0.0282041    2.4          0.0316482     2.4          -0.026378     
   1.9E+07      4.82997      0             1.9E+07      0            0             1.9E+07      4.35702      0             1.9E+07      0            0             1.9E+07      3.74888      0             1.9E+07      0            0             6.9E+07      169.197       2.4          -0.0281662    2.4          0.0316744     2.4          -0.0262945    
   2E+07        4.83928      0             2E+07        0            0             2E+07        4.40491      0             2E+07        0            0             2E+07        3.76628      0             2E+07        0            0             7E+07        178.393       2.66667      -0.0304428    2.66667      0.0334444     2.66667      -0.0269279    
   2.1E+07      4.82823      0             2.1E+07      0            0             2.1E+07      4.35083      0             2.1E+07      0            0             2.1E+07      3.71066      0             2.1E+07      0            0             7.1E+07      193.913       2.66667      -0.0304505    2.66667      0.0334455     2.66667      -0.0269055    
   2.2E+07      4.83797      0             2.2E+07      0            0             2.2E+07      4.39681      0             2.2E+07      0            0             2.2E+07      3.79693      0             2.2E+07      0            0             7.2E+07      209.829       2.93333      -0.0325513    2.93333      0.0351248     2.93333      -0.0271112    
   2.3E+07      4.81753      0             2.3E+07      0            0             2.3E+07      4.40059      0             2.3E+07      0            0             2.3E+07      3.81722      0             2.3E+07      0            0             7.3E+07      223.222       2.93333      -0.0325799    2.93333      0.0350478     2.93333      -0.0271354    
   2.4E+07      4.81821      0             2.4E+07      0            0             2.4E+07      4.37756      0             2.4E+07      0            0             2.4E+07      3.81591      0             2.4E+07      0            0             7.4E+07      237.267       3.2          -0.0347334    3.2          0.0364885     3.2          -0.0269745    
   2.5E+07      4.8264       0             2.5E+07      0            0             2.5E+07      4.36256      0             2.5E+07      0            0             2.5E+07      3.78163      0             2.5E+07      0            0             7.5E+07      195.584       3.2          -0.0346667    3.2          0.0365406     3.2          -0.0268776    
   2.6E+07      4.83433      0             2.6E+07      0            0             2.6E+07      4.39689      0             2.6E+07      0            0             2.6E+07      3.76863      0             2.6E+07      0            0             7.6E+07      208.763       3.46667      -0.0368347    3.46667      0.037637      3.46667      -0.0264879    
   2.7E+07      4.82782      0             2.7E+07      0            0             2.7E+07      4.38323      0             2.7E+07      0            0             2.7E+07      3.8424       0             2.7E+07      0            0             7.7E+07      195.341       3.46667      -0.0367554    3.46667      0.0376633     3.46667      -0.0264177    
   2.8E+07      4.82811      0             2.8E+07      0            0             2.8E+07      4.36613      0             2.8E+07      0            0             2.8E+07      3.82938      0             2.8E+07      0            0             7.8E+07      198.272       3.73333      -0.0388879    3.73333      0.0386767     3.73333      -0.0256707    
   2.9E+07      4.81961      0             2.9E+07      0            0             2.9E+07      4.37109      0             2.9E+07      0            0             2.9E+07      3.82384      0             2.9E+07      0            0             7.9E+07      208.207       3.73333      -0.0388633    3.73333      0.0385759     3.73333      -0.0256823    
   3E+07        4.83788      0             3E+07        0            0             3E+07        4.39917      0             3E+07        0            0             3E+07        3.79753      0             3E+07        0            0             8E+07        215.877       4            -0.0408028    4            0.0394296     4            -0.0242912    
   3.1E+07      4.8298       0             3.1E+07      0            0             3.1E+07      4.3786       0             3.1E+07      0            0             3.1E+07      3.85326      0             3.1E+07      0            0             8.1E+07      211.869       4            -0.0407877    4            0.039284      4            -0.0244479    
   3.2E+07      4.82886      0             3.2E+07      0            0             3.2E+07      4.39455      0             3.2E+07      0            0             3.2E+07      3.82638      0             3.2E+07      0            0             8.2E+07      215.499       4.26667      -0.0427065    4.26667      0.0398575     4.26667      -0.0228383    
   3.3E+07      4.8263       0             3.3E+07      0            0             3.3E+07      4.40728      0             3.3E+07      0            0             3.3E+07      3.78552      0             3.3E+07      0            0             8.3E+07      226.223       4.26667      -0.0426634    4.26667      0.0398611     4.26667      -0.0228271    
   3.4E+07      4.84019      0             3.4E+07      0            0             3.4E+07      4.3954       0             3.4E+07      0            0             3.4E+07      3.82798      0             3.4E+07      0            0             8.4E+07      206.592       4.53333      -0.0445286    4.53333      0.0400014     4.53333      -0.0210137    
   3.5E+07      4.83462      0             3.5E+07      0            0             3.5E+07      4.38698      0             3.5E+07      0            0             3.5E+07      3.82821      0             3.5E+07      0            0             8.5E+07      215.651       4.53333      -0.0445855    4.53333      0.0400301     4.53333      -0.021027     
   3.6E+07      4.82016      0             3.6E+07      0            0             3.6E+07      4.3734       0             3.6E+07      0            0             3.6E+07      3.77457      0             3.6E+07      0            0             8.6E+07      225.443       4.8          -0.0463031    4.8          0.0400324     4.8          -0.0187915    
   3.7E+07      4.83095      0             3.7E+07      0            0             3.7E+07      4.3891       0             3.7E+07      0            0             3.7E+07      3.84756      0             3.7E+07      0            0             8.7E+07      220.131       4.8          -0.0462951    4.8          0.0400212     4.8          -0.0187804    
   3.8E+07      4.82727      0             3.8E+07      0            0             3.8E+07      4.38942      0             3.8E+07      0            0             3.8E+07      3.81965      0             3.8E+07      0            0             8.8E+07      221.781       5.06667      -0.0479648    5.06667      0.0397367     5.06667      -0.0164889    
   3.9E+07      4.8296       0             3.9E+07      0            0             3.9E+07      4.41148      0             3.9E+07      0            0             3.9E+07      3.83547      0             3.9E+07      0            0             8.9E+07      225.004       5.06667      -0.0480148    5.06667      0.0397283     5.06667      -0.0164141    
   4E+07        4.82551      0             4E+07        0            0             4E+07        4.36506      0             4E+07        0            0             4E+07        3.85004      0             4E+07        0            0             9E+07        229.612       5.33333      -0.0495987    5.33333      0.0392294     5.33333      -0.0138742    
   4.1E+07      4.83837      0             4.1E+07      0            0             4.1E+07      4.39237      0             4.1E+07      0            0             4.1E+07      3.82662      0             4.1E+07      0            0             9.1E+07      234.606       5.33333      -0.0495811    5.33333      0.0392531     5.33333      -0.0138429    
   4.2E+07      4.82658      0             4.2E+07      0            0             4.2E+07      4.37509      0             4.2E+07      0            0             4.2E+07      3.82836      0             4.2E+07      0            0             9.2E+07      242.955       5.6          -0.0512336    5.6          0.0384998     5.6          -0.0111467    
   4.3E+07      4.82525      0             4.3E+07      0            0             4.3E+07      4.37298      0             4.3E+07      0            0             4.3E+07      3.82873      0             4.3E+07      0            0             9.3E+07      249.144       5.6          -0.0512102    5.6          0.0385299     5.6          -0.0111215    
   4.4E+07      4.82186      0             4.4E+07      0            0             4.4E+07      4.37017      0             4.4E+07      0            0             4.4E+07      3.83681      0             4.4E+07      0            0             9.4E+07      255.314       5.86667      -0.0526525    5.86667      0.0374778     5.86667      -0.00816898   
   4.5E+07      4.82912      0             4.5E+07      0            0             4.5E+07      4.3577       0             4.5E+07      0            0             4.5E+07      3.82394      0             4.5E+07      0            0             9.5E+07      260.328       5.86667      -0.0526714    5.86667      0.0375474     5.86667      -0.00810408   
   4.6E+07      4.83577      0             4.6E+07      0            0             4.6E+07      4.41626      0             4.6E+07      0            0             4.6E+07      3.82064      0             4.6E+07      0            0             9.6E+07      236.964       6.13333      -0.0540179    6.13333      0.0363746     6.13333      -0.00511825   
   4.7E+07      4.8572       0             4.7E+07      0            0             4.7E+07      4.39235      0             4.7E+07      0            0             4.7E+07      3.8224       0             4.7E+07      0            0             9.7E+07      242.614       6.13333      -0.0540337    6.13333      0.0363319     6.13333      -0.00504823   
   4.8E+07      4.81857      0             4.8E+07      0            0             4.8E+07      4.38285      0             4.8E+07      0            0             4.8E+07      3.83878      0             4.8E+07      0            0             9.8E+07      247.926       6.4          -0.0553419    6.4          0.0349474     6.4          -0.00183979   
   4.9E+07      4.83084      0             4.9E+07      0            0             4.9E+07      4.37794      0             4.9E+07      0            0             4.9E+07      3.75767      0             4.9E+07      0            0             9.9E+07      241.551       6.4          -0.0553567    6.4          0.0349179     6.4          -0.00185258   
