# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldiResearch --verbose 2 --relaxed 0 --width 20 --tracks 100000 --inactive 50 --Iterations 10 --eigenvalues 3 --active\n 500 --seed 0 --run --bins 120 -f Bins/20mfp-BetterStats/20mfp.b120.dat , seed = 3279717302
# Arguments: source = Histogram, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats/20mfp.b120.dat, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 120, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.9E+07      4.81712      0             1.9E+07      0            0             1.9E+07      4.37805      0             1.9E+07      0            0             1.9E+07      3.78966      0             1.9E+07      0            0             6.9E+07      42.6972       3.08333      0.0659448     3.08333      0             3.08333      0.111828      3.08333      0             3.08333      0.124459      3.08333      0             
   2E+07        4.82962      0             2E+07        0            0             2E+07        4.40764      0             2E+07        0            0             2E+07        3.81532      0             2E+07        0            0             7E+07        46.4253       3.25         0.068438      3.25         0             3.25         0.11454       3.25         0             3.25         0.123233      3.25         0             
   2.1E+07      4.83496      0             2.1E+07      0            0             2.1E+07      4.35396      0             2.1E+07      0            0             2.1E+07      3.81773      0             2.1E+07      0            0             7.1E+07      46.4212       3.41667      0.0709572     3.41667      0             3.41667      0.117001      3.41667      0             3.41667      0.121547      3.41667      0             
   2.2E+07      4.85717      0             2.2E+07      0            0             2.2E+07      4.38677      0             2.2E+07      0            0             2.2E+07      3.82872      0             2.2E+07      0            0             7.2E+07      45.5489       3.58333      0.0735944     3.58333      0             3.58333      0.118996      3.58333      0             3.58333      0.119067      3.58333      0             
   2.3E+07      4.82541      0             2.3E+07      0            0             2.3E+07      4.40359      0             2.3E+07      0            0             2.3E+07      3.8239       0             2.3E+07      0            0             7.3E+07      48.6944       3.75         0.075944      3.75         0             3.75         0.120626      3.75         0             3.75         0.115967      3.75         0             
   2.4E+07      4.8608       0             2.4E+07      0            0             2.4E+07      4.3828       0             2.4E+07      0            0             2.4E+07      3.81228      0             2.4E+07      0            0             7.4E+07      49.1745       3.91667      0.078393      3.91667      0             3.91667      0.122169      3.91667      0             3.91667      0.112477      3.91667      0             
   2.5E+07      4.80412      0             2.5E+07      0            0             2.5E+07      4.39054      0             2.5E+07      0            0             2.5E+07      3.82469      0             2.5E+07      0            0             7.5E+07      50.7657       4.08333      0.0806977     4.08333      0             4.08333      0.123291      4.08333      0             4.08333      0.108022      4.08333      0             
   2.6E+07      4.83601      0             2.6E+07      0            0             2.6E+07      4.38324      0             2.6E+07      0            0             2.6E+07      3.8152       0             2.6E+07      0            0             7.6E+07      51.408        4.25         0.0830137     4.25         0             4.25         0.124263      4.25         0             4.25         0.103094      4.25         0             
   2.7E+07      4.83295      0             2.7E+07      0            0             2.7E+07      4.39117      0             2.7E+07      0            0             2.7E+07      3.79681      0             2.7E+07      0            0             7.7E+07      52.6122       4.41667      0.0851819     4.41667      0             4.41667      0.124732      4.41667      0             4.41667      0.0973338     4.41667      0             
   2.8E+07      4.80761      0             2.8E+07      0            0             2.8E+07      4.40173      0             2.8E+07      0            0             2.8E+07      3.8231       0             2.8E+07      0            0             7.8E+07      54.9639       4.58333      0.0873386     4.58333      0             4.58333      0.125056      4.58333      0             4.58333      0.091436      4.58333      0             
