# This file was created by gnuplotFile.py version $Revision: 160 $ on Thu Oct 25 13:11:14 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.personal.engin.umich.edu$ amcNoRestartConvergence.py -v --histories 10000 -f W-20.I53.H10000.B50.dat -M W-20.I53.H10000.B50.Movie -r
# 
# =============================================================================
# 
#   1            2            3              4            5              6            7              8            9              10           11             12           13             14           15             16           17             18           19             20           21             22           23             24           25             26           27             28           29             30           31             32           33             34           35             36           37             38           39             40           41             42           43             44           45             46           47             48           49             50           51             52           53             54           55             56           57             58           59             60           61             62           63             64           65             66           67             68           69             70           71             72           73             74           75             76           77             78           79             80           81             82           83             84           85             86           87             88           89             90           91             92           93             94           95             96           97             98           99             100          101            102          103            104          105            106          107         
# |--------------Eigenvalue--------------||---------Iter-38---------||---------Iter-42---------||---------Iter-50---------||---------Iter-40---------||---------Iter-47---------||---------Iter-9----------||---------Iter-8----------||---------Iter-7----------||---------Iter-6----------||---------Iter-5----------||---------Iter-4----------||---------Iter-3----------||---------Iter-2----------||---------Iter-1----------||---------Iter-0----------||---------Iter-31---------||---------Iter-51---------||---------Iter-43---------||---------Iter-30---------||---------Iter-44---------||---------Iter-33---------||---------Iter-45---------||---------Iter-39---------||---------Iter-32---------||---------Iter-46---------||---------Iter-19---------||---------Iter-18---------||---------Iter-17---------||---------Iter-16---------||---------Iter-15---------||---------Iter-14---------||---------Iter-13---------||---------Iter-12---------||---------Iter-11---------||---------Iter-10---------||---------Iter-37---------||---------Iter-34---------||---------Iter-36---------||---------Iter-35---------||---------Iter-41---------||---------Iter-26---------||---------Iter-27---------||---------Iter-24---------||---------Iter-25---------||---------Iter-22---------||---------Iter-23---------||---------Iter-20---------||---------Iter-21---------||---------Iter-48---------||---------Iter-49---------||---------Iter-28---------||---------Iter-29---------|
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0            0.95868      0             0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00052311    0            0.000416      0            0.00059562    0            0.00065085    0            0.00086444    0            0.00054392    0            0.0016416     0            0.0019976     0            0.0037614     0            0.02          0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044169    0            0.00044174    0            0.00044174    0            0.00044256    0            0.00043745    0            0.00043655    0            0.00052085    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163    0            0.00044163   
   1            0.97551      0.0084128     0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.00086653   0.4          -0.00089577   0.4          -0.00077371   0.4          -0.00026576   0.4          -0.00044936   0.4          0.00020745    0.4          0.00099853    0.4          0.00031237    0.4          0.0092548     0.4          0.02          0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010255    0.4          -0.0010253    0.4          -0.001026     0.4          -0.0010271    0.4          -0.0010154    0.4          -0.00093781   0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257    0.4          -0.0010257   
   2            0.98498      0.010876      0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0010268    0.8          -0.0010421    0.8          -0.00076717   0.8          -0.00061934   0.8          -0.00041886   0.8          0.00045276    0.8          -0.00019772   0.8          0.0026708     0.8          0.013423      0.8          0.02          0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012504    0.8          -0.0012503    0.8          -0.0012498    0.8          -0.0012507    0.8          -0.0012521    0.8          -0.0012139    0.8          -0.0012102    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505    0.8          -0.0012505   
   3            0.98711      0.011214      1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00077639    1.2          0.0012599     1.2          0.001267      1.2          0.0013077     1.2          0.002295      1.2          0.0024635     1.2          0.0015942     1.2          0.0077107     1.2          0.016468      1.2          0.02          1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.0006694     1.2          0.00066956    1.2          0.00066994    1.2          0.00066964    1.2          0.00067024    1.2          0.00067455    1.2          0.00081142    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939    1.2          0.00066939   
   4            0.98914      0.01122       1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0018661     1.6          0.0020848     1.6          0.0021472     1.6          0.0021245     1.6          0.0032823     1.6          0.0025091     1.6          0.0039645     1.6          0.0098986     1.6          0.017417      1.6          0.02          1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016416     1.6          0.0016416     1.6          0.0016418     1.6          0.0016429     1.6          0.0016403     1.6          0.0016829     1.6          0.0016555     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415     1.6          0.0016415    
   5            0.98962      0.010968      2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0016376     2            0.0019545     2            0.0018247     2            0.0025918     2            0.0025565     2            0.0028872     2            0.0048874     2            0.011764      2            0.016511      2            0.02          2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013878     2            0.0013884     2            0.0013876     2            0.001396      2            0.0013945     2            0.0014183     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879     2            0.0013879    
   6            0.99006      0.010655      2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0044802     2.4          0.0046452     2.4          0.0051348     2.4          0.0055236     2.4          0.0055055     2.4          0.0058038     2.4          0.0096878     2.4          0.014705      2.4          0.020202      2.4          0.02          2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041983     2.4          0.0041984     2.4          0.0041978     2.4          0.0042005     2.4          0.0042023     2.4          0.0042032     2.4          0.0042625     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984     2.4          0.0041984    
   7            0.99031      0.010325      2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0050362     2.8          0.0052379     2.8          0.0058876     2.8          0.0060962     2.8          0.0057763     2.8          0.0072037     2.8          0.010601      2.8          0.016574      2.8          0.019525      2.8          0.02          2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048316     2.8          0.0048317     2.8          0.0048321     2.8          0.0048363     2.8          0.0048337     2.8          0.0049224     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318     2.8          0.0048318    
   8            0.99053      0.010005      3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0078171     3.2          0.0080971     3.2          0.0088436     3.2          0.0086971     3.2          0.0086371     3.2          0.010353      3.2          0.013737      3.2          0.018736      3.2          0.020549      3.2          0.02          3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076291     3.2          0.0076292     3.2          0.0076288     3.2          0.0076264     3.2          0.0076634     3.2          0.0077171     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292     3.2          0.0076292    
   9            0.99048      0.0096889     3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010368      3.6          0.010973      3.6          0.011325      3.6          0.011387      3.6          0.011441      3.6          0.013249      3.6          0.017073      3.6          0.019709      3.6          0.021635      3.6          0.02          3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010276      3.6          0.010273      3.6          0.010321      3.6          0.010374      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278      3.6          0.010278     
