# This file was created by gnuplotFile.py version $Revision: 160 $ on Thu Oct 25 13:45:04 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.personal.engin.umich.edu$ amcNoRestartConvergence.py -v --histories 100000 -f W-20.I53.H100000.B50.dat -M W-20.I53.H100000.B50.Movie -r
# 
# =============================================================================
# 
#   1            2            3              4            5              6            7              8            9              10           11             12           13             14           15             16           17             18           19             20           21             22           23             24           25             26           27             28           29             30           31             32           33             34           35             36           37             38           39             40           41             42           43             44           45             46           47             48           49             50           51             52           53             54           55             56           57             58           59             60           61             62           63             64           65             66           67             68           69             70           71             72           73             74           75             76           77             78           79             80           81             82           83             84           85             86           87             88           89             90           91             92           93             94           95             96           97             98           99             100          101            102          103            104          105            106          107         
# |--------------Eigenvalue--------------||---------Iter-38---------||---------Iter-42---------||---------Iter-50---------||---------Iter-40---------||---------Iter-47---------||---------Iter-9----------||---------Iter-8----------||---------Iter-7----------||---------Iter-6----------||---------Iter-5----------||---------Iter-4----------||---------Iter-3----------||---------Iter-2----------||---------Iter-1----------||---------Iter-0----------||---------Iter-31---------||---------Iter-51---------||---------Iter-43---------||---------Iter-30---------||---------Iter-44---------||---------Iter-33---------||---------Iter-45---------||---------Iter-39---------||---------Iter-32---------||---------Iter-46---------||---------Iter-19---------||---------Iter-18---------||---------Iter-17---------||---------Iter-16---------||---------Iter-15---------||---------Iter-14---------||---------Iter-13---------||---------Iter-12---------||---------Iter-11---------||---------Iter-10---------||---------Iter-37---------||---------Iter-34---------||---------Iter-36---------||---------Iter-35---------||---------Iter-41---------||---------Iter-26---------||---------Iter-27---------||---------Iter-24---------||---------Iter-25---------||---------Iter-22---------||---------Iter-23---------||---------Iter-20---------||---------Iter-21---------||---------Iter-48---------||---------Iter-49---------||---------Iter-28---------||---------Iter-29---------|
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   10           0.98662      0.0081107     4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016178      4            0.016577      4            0.016858      4            0.016852      4            0.0171        4            0.018382      4            0.020278      4            0.021435      4            0.020502      4            0.02          4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016153      4            0.016161      4            0.016159      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152      4            0.016152     
   11           0.98662      0.0078359     4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018274      4.4          0.018718      4.4          0.018921      4.4          0.018974      4.4          0.019372      4.4          0.020602      4.4          0.022195      4.4          0.022547      4.4          0.021879      4.4          0.02          4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018235      4.4          0.018239      4.4          0.018233      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234      4.4          0.018234     
   12           0.98662      0.0075852     4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01942       4.8          0.019824      4.8          0.020024      4.8          0.02015       4.8          0.020623      4.8          0.021847      4.8          0.022864      4.8          0.023092      4.8          0.021915      4.8          0.02          4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.019363      4.8          0.019359      4.8          0.019358      4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936       4.8          0.01936      
   13           0.98662      0.0073558     5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020836      5.2          0.021134      5.2          0.0214        5.2          0.021569      5.2          0.022143      5.2          0.023099      5.2          0.02378       5.2          0.023458      5.2          0.022285      5.2          0.02          5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020753      5.2          0.020754      5.2          0.020747      5.2          0.020749      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752      5.2          0.020752     
   14           0.98662      0.0071451     5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022246      5.6          0.022543      5.6          0.022787      5.6          0.023079      5.6          0.023549      5.6          0.024329      5.6          0.024466      5.6          0.023871      5.6          0.022408      5.6          0.02          5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022187      5.6          0.022185      5.6          0.022178      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186      5.6          0.022186     
   15           0.98662      0.0069509     6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023104      6            0.023336      6            0.02367       6            0.023932      6            0.024466      6            0.024808      6            0.02479       6            0.023601      6            0.022075      6            0.02          6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023064      6            0.023059      6            0.023064      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067      6            0.023067     
   16           0.98662      0.0067711     6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023426      6.4          0.023658      6.4          0.024024      6.4          0.024298      6.4          0.024715      6.4          0.024936      6.4          0.02433       6.4          0.023342      6.4          0.020978      6.4          0.02          6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023424      6.4          0.02342       6.4          0.023421      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428      6.4          0.023428     
   17           0.98662      0.0066043     6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024375      6.8          0.024619      6.8          0.024994      6.8          0.025255      6.8          0.025574      6.8          0.025553      6.8          0.024724      6.8          0.023055      6.8          0.021423      6.8          0.02          6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024403      6.8          0.024401      6.8          0.024395      6.8          0.024391      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404      6.8          0.024404     
   18           0.98662      0.0064489     7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025276      7.2          0.025494      7.2          0.025883      7.2          0.026102      7.2          0.026235      7.2          0.026165      7.2          0.0249        7.2          0.023127      7.2          0.021408      7.2          0.02          7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025305      7.2          0.0253        7.2          0.025286      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307      7.2          0.025307     
   19           0.98662      0.0063038     7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.026373      7.6          0.026612      7.6          0.026948      7.6          0.027071      7.6          0.027145      7.6          0.02674       7.6          0.025414      7.6          0.023308      7.6          0.02174       7.6          0.02          7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.026409      7.6          0.026409      7.6          0.026409      7.6          0.02641       7.6          0.026401      7.6          0.026391      7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641       7.6          0.02641      
