# This file was created by gnuplotFile.py version $Revision: 160 $ on Thu Oct 25 13:03:00 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.personal.engin.umich.edu$ amcNoRestartConvergence.py -v -f W-20.I53.H1000.B50.dat -M W-20.I53.H1000.B50.Movie -r
# 
# =============================================================================
# 
#    1            2              3            4              5            6              7            8              9            10             11           12             13           14             15           16             17           18             19           20             21           22             23           24             25           26             27           28             29           30             31           32             33           34             35           36             37           38             39           40             41           42             43           44            45           46           47             48           49             50           51             52           53             54           55             56           57             58           59             60           61             62           63             64           65             66           67             68           69             70           71             72           73             74           75             76           77             78           79             80           81             82           83             84           85             86           87             88           89             90           91             92           93             94           95             96           97             98           99             100          101            102          103            104          105         
# |---------Iter-38---------||---------Iter-42---------||---------Iter-50---------||---------Iter-40---------||---------Iter-47---------||---------Iter-9----------||---------Iter-8----------||---------Iter-7----------||---------Iter-6----------||---------Iter-5----------||---------Iter-4----------||---------Iter-3----------||---------Iter-2----------||---------Iter-1----------||---------Iter-0----------||---------Iter-31---------||---------Iter-43---------||---------Iter-30---------||---------Iter-44---------||---------Iter-33---------||---------Iter-45---------||---------Iter-39---------||--------------Eigenvalue--------------||---------Iter-32---------||---------Iter-46---------||---------Iter-19---------||---------Iter-18---------||---------Iter-17---------||---------Iter-16---------||---------Iter-15---------||---------Iter-14---------||---------Iter-13---------||---------Iter-12---------||---------Iter-11---------||---------Iter-10---------||---------Iter-37---------||---------Iter-34---------||---------Iter-36---------||---------Iter-35---------||---------Iter-41---------||---------Iter-26---------||---------Iter-27---------||---------Iter-24---------||---------Iter-25---------||---------Iter-22---------||---------Iter-23---------||---------Iter-20---------||---------Iter-21---------||---------Iter-48---------||---------Iter-49---------||---------Iter-28---------||---------Iter-29---------|
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.022943      4            0.022999      4            0.022891      4            0.023251      4            0.023234      4            0.023752      4            0.022828      4            0.023118      4            0.019082      4            0.02          4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      10           0.96202      0.0015255     4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023555      4            0.023554      4            0.023542      4            0.023577      4            0.023286      4            0.023105      4            0.023039      4            0.022992      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557      4            0.023557     
   4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.025704      4.4          0.025315      4.4          0.025382      4.4          0.025824      4.4          0.026397      4.4          0.026134      4.4          0.02501       4.4          0.023721      4.4          0.025137      4.4          0.02          4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      11           0.96197      0.0015346     4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026201      4.4          0.0262        4.4          0.026187      4.4          0.026191      4.4          0.025988      4.4          0.0258        4.4          0.025736      4.4          0.025669      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203      4.4          0.026203     
   4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031046      4.8          0.030854      4.8          0.030868      4.8          0.030887      4.8          0.03141       4.8          0.030085      4.8          0.02847       4.8          0.025988      4.8          0.018076      4.8          0.02          4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      12           0.96199      0.0015333     4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031739      4.8          0.031738      4.8          0.031716      4.8          0.031732      4.8          0.031579      4.8          0.031353      4.8          0.031232      4.8          0.031228      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742      4.8          0.031742     
   5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036229      5.2          0.036045      5.2          0.035795      5.2          0.035684      5.2          0.035358      5.2          0.035827      5.2          0.033428      5.2          0.03121       5.2          0.030318      5.2          0.02          5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      13           0.96189      0.0015184     5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036726      5.2          0.036723      5.2          0.036711      5.2          0.036733      5.2          0.036667      5.2          0.036487      5.2          0.036385      5.2          0.036318      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728      5.2          0.036728     
   5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032065      5.6          0.031905      5.6          0.031596      5.6          0.030734      5.6          0.030603      5.6          0.030262      5.6          0.029348      5.6          0.025444      5.6          0.021427      5.6          0.02          5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      14           0.96176      0.0014941     5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032582      5.6          0.032579      5.6          0.032567      5.6          0.032596      5.6          0.032459      5.6          0.032365      5.6          0.032211      5.6          0.032122      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584      5.6          0.032584     
   6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037025      6            0.036932      6            0.036694      6            0.035816      6            0.034844      6            0.034687      6            0.033562      6            0.026841      6            0.020366      6            0.02          6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      15           0.96178      0.0014698     6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037502      6            0.037499      6            0.037491      6            0.037495      6            0.037407      6            0.037273      6            0.037213      6            0.037088      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505      6            0.037505     
   6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.042778      6.4          0.042679      6.4          0.042374      6.4          0.041683      6.4          0.040245      6.4          0.040127      6.4          0.040617      6.4          0.032804      6.4          0.025442      6.4          0.02          6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      16           0.96177      0.0014452     6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043181      6.4          0.043179      6.4          0.043176      6.4          0.043165      6.4          0.043185      6.4          0.043075      6.4          0.04295       6.4          0.042908      6.4          0.042828      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182      6.4          0.043182     
   6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041435      6.8          0.041225      6.8          0.040799      6.8          0.039885      6.8          0.037843      6.8          0.037887      6.8          0.037389      6.8          0.035136      6.8          0.029329      6.8          0.02          6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      17           0.96177      0.0014208     6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041804      6.8          0.041802      6.8          0.041793      6.8          0.041798      6.8          0.041699      6.8          0.0416        6.8          0.041546      6.8          0.041511      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807      6.8          0.041807     
   7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041349      7.2          0.041155      7.2          0.040738      7.2          0.039075      7.2          0.039054      7.2          0.035986      7.2          0.033492      7.2          0.032564      7.2          0.024411      7.2          0.02          7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      18           0.96176      0.0013969     7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.04162       7.2          0.041617      7.2          0.041607      7.2          0.041593      7.2          0.041484      7.2          0.041416      7.2          0.041375      7.2          0.041327      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623      7.2          0.041623     
   7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.037806      7.6          0.037774      7.6          0.036774      7.6          0.036723      7.6          0.035051      7.6          0.033598      7.6          0.02963       7.6          0.026789      7.6          0.025244      7.6          0.02          7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       19           0.96176      0.0013736     7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.037929      7.6          0.037928      7.6          0.037926      7.6          0.03792       7.6          0.037888      7.6          0.037838      7.6          0.037816      7.6          0.037844      7.6          0.037801      7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793       7.6          0.03793      
