# This file was created by gnuFile.py version  $Revision: 632 $ on Tue Jul 28 01:19:16 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 193-97.adsl.umnet.umich.edu$ ProcessVectors.py 20
# This data was taken from the files: ArnoldiBasic-w20.dat, PowerBasic-w20.dat, OUTSN-w20.dat
# =============================================================================
# 
#  1            2             3            4             5            6             7            8             9            10           
# |-          SN          -| |-      Arnoldi-2       -| |-      Arnoldi-1       -| |-      Arnoldi-0       -| |-        Power         -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   0.1          0.1046        0.13333      0.31697       0.13333      0.2179        0.13333      0.11247       0.13333      0.11148      
   0.3          0.14055       0.4          0.43766       0.4          0.30303       0.4          0.15761       0.4          0.15635      
   0.5          0.17147       0.66667      0.54689       0.66667      0.38069       0.66667      0.19877       0.66667      0.1971       
   0.7          0.20189       0.93333      0.64481       0.93333      0.45451       0.93333      0.23729       0.93333      0.23636      
   0.9          0.23136       1.2          0.73381       1.2          0.5238        1.2          0.27597       1.2          0.27555      
   1.1          0.2604        1.4667       0.80813       1.4667       0.58781       1.4667       0.31445       1.4667       0.31354      
   1.3          0.28901       1.7333       0.87272       1.7333       0.64941       1.7333       0.35088       1.7333       0.35069      
   1.5          0.31725       2            0.9258        2            0.70849       2            0.38792       2            0.38746      
   1.7          0.34512       2.2667       0.96128       2.2667       0.76076       2.2667       0.42365       2.2667       0.42261      
   1.9          0.37265       2.5333       0.98972       2.5333       0.81213       2.5333       0.45925       2.5333       0.45882      
   2.1          0.39984       2.8          1             2.8          0.8538        2.8          0.49318       2.8          0.49389      
   2.3          0.42663       3.0667       0.9965        3.0667       0.89178       3.0667       0.52646       3.0667       0.52676      
   2.5          0.45306       3.3333       0.9798        3.3333       0.92238       3.3333       0.55949       3.3333       0.55957      
   2.7          0.47905       3.6          0.9506        3.6          0.95004       3.6          0.59426       3.6          0.5921       
   2.9          0.50464       3.8667       0.90601       3.8667       0.97061       3.8667       0.62476       3.8667       0.62393      
   3.1          0.52979       4.1333       0.85003       4.1333       0.98852       4.1333       0.65387       4.1333       0.65364      
   3.3          0.55445       4.4          0.78285       4.4          0.99757       4.4          0.68394       4.4          0.68242      
   3.5          0.57864       4.6667       0.70466       4.6667       1             4.6667       0.71097       4.6667       0.71163      
   3.7          0.60236       4.9333       0.61682       4.9333       0.99641       4.9333       0.73955       4.9333       0.7397       
   3.9          0.62552       5.2          0.51982       5.2          0.98719       5.2          0.76479       5.2          0.76412      
   4.1          0.64817       5.4667       0.41559       5.4667       0.97091       5.4667       0.79249       5.4667       0.78945      
