# This file was created by gnuFile.py version  $Revision: 632 $ on Tue Jul 28 01:19:21 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 193-97.adsl.umnet.umich.edu$ ProcessVectors.py 2
# This data was taken from the files: ArnoldiBasic-w2.dat, PowerBasic-w2.dat, OUTSN-w2.dat
# =============================================================================
# 
#  1            2             3            4             5            6             7            8             9            10           
# |-          SN          -| |-      Arnoldi-2       -| |-      Arnoldi-1       -| |-      Arnoldi-0       -| |-        Power         -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.15         0.98778       1.5067       0.32541       1.5067       0.92864       1.5067       0.85995       1.5067       0.8614       
   1.17         0.9843        1.5333       0.42671       1.5333       0.95007       1.5333       0.84247       1.5333       0.84677      
   1.19         0.98041       1.56         0.51811       1.56         0.96547       1.56         0.82793       1.56         0.8319       
   1.21         0.97604       1.5867       0.6036        1.5867       0.97591       1.5867       0.81132       1.5867       0.81464      
   1.23         0.97127       1.6133       0.67934       1.6133       0.99082       1.6133       0.7975        1.6133       0.79857      
   1.25         0.96609       1.64         0.76085       1.64         0.99214       1.64         0.78026       1.64         0.78102      
   1.27         0.96042       1.6667       0.83035       1.6667       1             1.6667       0.76287       1.6667       0.7614       
   1.29         0.95435       1.6933       0.87648       1.6933       0.98843       1.6933       0.73888       1.6933       0.74131      
   1.31         0.94787       1.72         0.93041       1.72         0.98306       1.72         0.72123       1.72         0.72266      
   1.33         0.94095       1.7467       0.95893       1.7467       0.97247       1.7467       0.70027       1.7467       0.70087      
   1.35         0.93363       1.7733       0.97831       1.7733       0.95594       1.7733       0.67814       1.7733       0.6799       
   1.37         0.92586       1.8          0.99506       1.8          0.93763       1.8          0.65625       1.8          0.65653      
   1.39         0.91768       1.8267       0.99724       1.8267       0.91184       1.8267       0.63297       1.8267       0.6323       
   1.41         0.90906       1.8533       0.98495       1.8533       0.88051       1.8533       0.60672       1.8533       0.60818      
   1.43         0.90004       1.88         0.96767       1.88         0.84057       1.88         0.58168       1.88         0.58309      
   1.45         0.89057       1.9067       0.93788       1.9067       0.80857       1.9067       0.55559       1.9067       0.55586      
   1.47         0.88069       1.9333       0.87799       1.9333       0.76567       1.9333       0.52649       1.9333       0.52619      
   1.49         0.87041       1.96         0.8233        1.96         0.70956       1.96         0.49204       1.96         0.49347      
   1.51         0.85969       1.9867       0.73141       1.9867       0.64498       1.9867       0.45723       1.9867       0.4574       
   1.53         0.8486                                                                                                                   
   1.55         0.83702                                                                                                                  
   1.57         0.82508                                                                                                                  
   1.59         0.8127                                                                                                                   
   1.61         0.79991                                                                                                                  
   1.63         0.78668                                                                                                                  
   1.65         0.77304                                                                                                                  
   1.67         0.75895                                                                                                                  
   1.69         0.74443                                                                                                                  
   1.71         0.72949                                                                                                                  
   1.73         0.71407                                                                                                                  
   1.75         0.69821                                                                                                                  
   1.77         0.6819                                                                                                                   
   1.79         0.66506                                                                                                                  
   1.81         0.64766                                                                                                                  
   1.83         0.62973                                                                                                                  
   1.85         0.61115                                                                                                                  
   1.87         0.59189                                                                                                                  
   1.89         0.57178                                                                                                                  
   1.91         0.55065                                                                                                                  
   1.93         0.52831                                                                                                                  
   1.95         0.50439                                                                                                                  
   1.97         0.47833                                                                                                                  
   1.99         0.44947                                                                                                                  
