# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ../ArnoldivsPower --verbose 2 --inactive 0 --incycles 20 --storevectors 2 --width 20 --tol 2.22045e-16 --power\n --residual --tracks 500000 --active 20 --acycles 200 --evectors 2 --evalues 2 --seed 0 --Iterations 15 --bins 50 -r --numValues 2 -f Desired/20mfp.n2.dat  seed = 3649294250
# filename = Desired/20mfp.n2.dat, run = true, power = false, Arnoldi = true, storevectors = 2, raw = false, evectors = 2, evalues = 2, residual = true, arnoldimethod = implicit, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 50, acycles = 200, incycles = 20, active = 20, inactive = 0, Iterations = 15, numValues = 2, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14            15           16            17           18            19           20            21           22            23           24            25           26           27            28           29           30            31           32           33            34           35           36           
# |-       RAM eigenvector-0-Real      -| |-       RAM eigenvector-0-Imag      -| |-       RAM eigenvector-1-Real      -| |-       RAM eigenvector-1-Imag      -| |-       R-0-Real       -| |-       R-0-Imag       -| |-       R-1-Real       -| |-       R-1-Imag       -| |-     Residual-Real    -| |-     Residual-Imag    -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         
   9.4          0.19391      1.8626E-09    9.4          -0           0             9.4          0.032591     4.6566E-10    9.4          -0           0             9.4          0.19391       9.4          -0            9.4          -0.19391      9.4          0             
   9.8          0.19155      0             9.8          -0           1.8626E-09    9.8          0.010042     0             9.8          -0           8.2318E-11    9.8          0.19155       9.8          -0            9.8          -0.19155      9.8          0             
   10.2         0.18915      0             10.2         -0           0             10.2         -0.013074    1.1642E-10    10.2         0            0             10.2         0.18915       10.2         -0            10.2         -0.18915      10.2         0             
   10.6         0.18969      0             10.6         -0           0             10.6         -0.035184    0             10.6         0            0             10.6         0.18969       10.6         -0            10.6         -0.18969      10.6         0             
   11           0.18816      1.8626E-09    11           -0           0             11           -0.057519    0             11           0            0             11           0.18816       11           -0            11           -0.18816      11           0             
   11.4         0.18585      0             11.4         -0           0             11.4         -0.079042    0             11.4         0            0             11.4         0.18585       11.4         -0            11.4         -0.18585      11.4         0             
   11.8         0.18457      0             11.8         -0           0             11.8         -0.099632    0             11.8         0            0             11.8         0.18457       11.8         -0            11.8         -0.18457      11.8         0             
   12.2         0.17985      1.8626E-09    12.2         -0           0             12.2         -0.11836     1.3171E-09    12.2         0            0             12.2         0.17985       12.2         -0            12.2         -0.17985      12.2         0             
   12.6         0.17615      0             12.6         -0           0             12.6         -0.13448     1.3171E-09    12.6         0            0             12.6         0.17615       12.6         -0            12.6         -0.17615      12.6         0             
   13           0.17066      1.3171E-09    13           -0           0             13           -0.15341     0             13           0            0             13           0.17066       13           -0            13           -0.17066      13           0             
   13.4         0.1632       0             13.4         -0           1.3171E-09    13.4         -0.16624     0             13.4         0            1.8626E-09    13.4         0.1632        13.4         -0            13.4         -0.1632       13.4         0             
   13.8         0.15767      0             13.8         -0           1.3171E-09    13.8         -0.17721     1.8626E-09    13.8         0            0             13.8         0.15767       13.8         -0            13.8         -0.15767      13.8         0             
   14.2         0.14984      1.8626E-09    14.2         -0           0             14.2         -0.18234     0             14.2         0            0             14.2         0.14984       14.2         -0            14.2         -0.14984      14.2         0             
   14.6         0.14226      1.3171E-09    14.6         -0           0             14.6         -0.18894     1.8626E-09    14.6         0            0             14.6         0.14226       14.6         -0            14.6         -0.14226      14.6         0             
   15           0.1335       0             15           -0           0             15           -0.19176     0             15           0            1.8626E-09    15           0.1335        15           -0            15           -0.1335       15           0             
   15.4         0.12636      0             15.4         -0           0             15.4         -0.19152     0             15.4         0            0             15.4         0.12636       15.4         -0            15.4         -0.12636      15.4         0             
   15.8         0.11874      0             15.8         -0           0             15.8         -0.19049     0             15.8         0            0             15.8         0.11874       15.8         -0            15.8         -0.11874      15.8         0             
   16.2         0.11253      0             16.2         -0           0             16.2         -0.18707     1.8626E-09    16.2         0            0             16.2         0.11253       16.2         -0            16.2         -0.11253      16.2         0             
   16.6         0.10672      0             16.6         -0           0             16.6         -0.17964     0             16.6         0            0             16.6         0.10672       16.6         -0            16.6         -0.10672      16.6         0             
   17           0.095095     0             17           -0           0             17           -0.16788     0             17           0            1.3171E-09    17           0.095095      17           -0            17           -0.095095     17           0             
   17.4         0.085999     0             17.4         -0           0             17.4         -0.15627     0             17.4         0            0             17.4         0.085999      17.4         -0            17.4         -0.085999     17.4         0             
   17.8         0.074475     0             17.8         -0           0             17.8         -0.14226     1.3171E-09    17.8         0            0             17.8         0.074475      17.8         -0            17.8         -0.074475     17.8         0             
   18.2         0.064187     6.5854E-10    18.2         -0           0             18.2         -0.12645     0             18.2         0            0             18.2         0.064187      18.2         -0            18.2         -0.064187     18.2         0             
   18.6         0.052773     0             18.6         -0           0             18.6         -0.10671     0             18.6         0            0             18.6         0.052773      18.6         -0            18.6         -0.052773     18.6         0             
   19           0.044536     0             19           -0           4.6566E-10    19           -0.088904    0             19           0            0             19           0.044536      19           -0            19           -0.044536     19           0             
   19.4         0.032252     0             19.4         -0           0             19.4         -0.06923     0             19.4         0            6.5854E-10    19.4         0.032252      19.4         -0            19.4         -0.032252     19.4         0             
   19.8         0.021475     0             19.8         -0           0             19.8         -0.045636    0             19.8         0            4.6566E-10    19.8         0.021475      19.8         -0            19.8         -0.021475     19.8         0             
