# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 185 --seed 0 --bins 75 --run --relaxed 0.005 -f Relaxed/50mfp/ManyMoreInactive/50mfp.r0.005.dat , seed =\n 2049380283
# Arguments: rWidth = 0, source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0.005, run = true, filename = Relaxed/50mfp/ManyMoreInactive/50mfp.r0.005.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 185, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46            47           48           
# |-        Entropy       -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   5.14174E+06  4.02652       9.42433E+07  0.998406     0             9.42433E+07  0            0             9.42433E+07  0.998406      9.42433E+07  0             9.42433E+07  0.988667     0             9.42433E+07  0            0             9.42433E+07  0.988667      9.42433E+07  0             9.42433E+07  0.977071     0             9.42433E+07  0            0             9.42433E+07  0.977071      9.42433E+07  0             9.42433E+07  298.631       9.54999E+08  4358.31       7            0.0764816     7            0             7            -0.130018     7            0             7            -0.159736     7            0             
   5.38376E+06  4.05271       1.02188E+08  1.00054      0             1.02188E+08  0            0             1.02188E+08  1.00054       1.02188E+08  0             1.02188E+08  0.99018      0             1.02188E+08  0            0             1.02188E+08  0.99018       1.02188E+08  0             1.02188E+08  0.977244     0             1.02188E+08  0            0             1.02188E+08  0.977244      1.02188E+08  0             1.02188E+08  323.861       9.62424E+08  5005.16       7.66667      0.0822366     7.66667      0             7.66667      -0.137308     7.66667      0             7.66667      -0.161412     7.66667      0             
   5.55456E+06  4.07922       1.09856E+08  0.998046     0             1.09856E+08  0            0             1.09856E+08  0.998046      1.09856E+08  0             1.09856E+08  0.989502     0             1.09856E+08  0            0             1.09856E+08  0.989502      1.09856E+08  0             1.09856E+08  0.977769     0             1.09856E+08  0            0             1.09856E+08  0.977769      1.09856E+08  0             1.09856E+08  348.09        9.71313E+08  5681.93       8.33333      0.0879955     8.33333      0             8.33333      -0.143581     8.33333      0             8.33333      -0.161013     8.33333      0             
   5.65156E+06  4.10601       1.19732E+08  0.996342     0             1.19732E+08  0            0             1.19732E+08  0.996342      1.19732E+08  0             1.19732E+08  0.990712     0             1.19732E+08  0            0             1.19732E+08  0.990712      1.19732E+08  0             1.19732E+08  0.975719     0             1.19732E+08  0            0             1.19732E+08  0.975719      1.19732E+08  0             1.19732E+08  379.301       9.80041E+08  4938.47       9            0.0933404     9            0             9            -0.148936     9            0             9            -0.157753     9            0             
   5.7032E+06   4.1256        1.29329E+08  0.996612     0             1.29329E+08  0            0             1.29329E+08  0.996612      1.29329E+08  0             1.29329E+08  0.990333     0             1.29329E+08  0            0             1.29329E+08  0.990333      1.29329E+08  0             1.29329E+08  0.976718     0             1.29329E+08  0            0             1.29329E+08  0.976718      1.29329E+08  0             1.29329E+08  409.756       9.88019E+08  5440.66       9.66667      0.0985838     9.66667      0             9.66667      -0.152931     9.66667      0             9.66667      -0.152333     9.66667      0             
   5.73688E+06  4.13254       1.38635E+08  0.996377     0             1.38635E+08  0            0             1.38635E+08  0.996377      1.38635E+08  0             1.38635E+08  0.989245     0             1.38635E+08  0            0             1.38635E+08  0.989245      1.38635E+08  0             1.38635E+08  0.976439     0             1.38635E+08  0            0             1.38635E+08  0.976439      1.38635E+08  0             1.38635E+08  439.12        9.95724E+08  6027.85       10.3333      0.103668      10.3333      0             10.3333      -0.156099     10.3333      0             10.3333      -0.144639     10.3333      0             
   5.77306E+06  4.14063       1.47096E+08  0.998384     0             1.47096E+08  0            0             1.47096E+08  0.998384      1.47096E+08  0             1.47096E+08  0.988982     0             1.47096E+08  0            0             1.47096E+08  0.988982      1.47096E+08  0             1.47096E+08  0.977563     0             1.47096E+08  0            0             1.47096E+08  0.977563      1.47096E+08  0             1.47096E+08  465.899       1.00352E+09  6650.48       11           0.10868       11           0             11           -0.158028     11           0             11           -0.134827     11           0             
   5.80865E+06  4.14754       1.56383E+08  0.996397     0             1.56383E+08  0            0             1.56383E+08  0.996397      1.56383E+08  0             1.56383E+08  0.990817     0             1.56383E+08  0            0             1.56383E+08  0.990817      1.56383E+08  0             1.56383E+08  0.977185     0             1.56383E+08  0            0             1.56383E+08  0.977185      1.56383E+08  0             1.56383E+08  495.324       1.012E+09    7348.58       11.6667      0.113342      11.6667      0             11.6667      -0.159138     11.6667      0             11.6667      -0.122996     11.6667      0             
   5.82488E+06  4.1463        1.65727E+08  0.997997     0             1.65727E+08  0            0             1.65727E+08  0.997997      1.65727E+08  0             1.65727E+08  0.992389     0             1.65727E+08  0            0             1.65727E+08  0.992389      1.65727E+08  0             1.65727E+08  0.97672      0             1.65727E+08  0            0             1.65727E+08  0.97672       1.65727E+08  0             1.65727E+08  524.889       1.02107E+09  8000.2        12.3333      0.117945      12.3333      0             12.3333      -0.159322     12.3333      0             12.3333      -0.109613     12.3333      0             
   5.8339E+06   4.12607       1.73894E+08  0.996904     0             1.73894E+08  0            0             1.73894E+08  0.996904      1.73894E+08  0             1.73894E+08  0.990531     0             1.73894E+08  0            0             1.73894E+08  0.990531      1.73894E+08  0             1.73894E+08  0.976975     0             1.73894E+08  0            0             1.73894E+08  0.976975      1.73894E+08  0             1.73894E+08  550.913       1.03044E+09  8781.48       13           0.122359      13           0             13           -0.158179     13           0             13           -0.0943865    13           0             
