# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 50 --eigenvalues 3 --tracks 500000 --inactive 100 --source Histogram --Iterations\n 25 --active 560 --seed 0 --bins 75 --run --relaxed 0.05 -f Relaxed/50mfp/ManyMoreInactive/50mfp.r0.05.dat , seed = 2264960871
# Arguments: rWidth = 0, source = Histogram, method = explicit, Iterations = 25, eigenvalues = 3, relaxed = 0.05, run = true, filename = Relaxed/50mfp/ManyMoreInactive/50mfp.r0.05.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 50, bins = 75, active = 560, inactive = 100, tracks = 500000, ignore_rest = false, version = false, help = false, 

#  1            2             3            4            5             6            7            8             9            10            11           12            13           14           15            16           17           18            19           20            21           22            23           24           25            26           27           28            29           30            31           32            33           34            35           36            37           38            39           40            41           42            43           44            45           46            47           48           
# |-        Entropy       -| |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-   raw value-00-Real  -| |-   raw value-00-Imag  -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-   raw value-01-Real  -| |-   raw value-01-Imag  -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-   raw value-02-Real  -| |-   raw value-02-Imag  -| |-     Arnoldi-Time     -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.49158E+06  3.92397       2.73495E+07  1.00036      0             2.73495E+07  0            0             2.73495E+07  1.00036       2.73495E+07  0             2.73495E+07  0.993111     0             2.73495E+07  0            0             2.73495E+07  0.993111      2.73495E+07  0             2.73495E+07  0.981407     0             2.73495E+07  0            0             2.73495E+07  0.981407      2.73495E+07  0             2.73495E+07  86.1249       3.0469E+08   2603.9        7            -0.0683015    7            -0.000400557  7            0.112708      7            -0.000530979  7            0.149026      7            -0.00012592   
   1.51862E+06  3.97721       3.09724E+07  0.998187     0             3.09724E+07  0            0             3.09724E+07  0.998187      3.09724E+07  0             3.09724E+07  0.991237     0             3.09724E+07  0            0             3.09724E+07  0.991237      3.09724E+07  0             3.09724E+07  0.97796      0             3.09724E+07  0            0             3.09724E+07  0.97796       3.09724E+07  0             3.09724E+07  97.5842       3.07335E+08  3075.73       7.66667      -0.073462     7.66667      -0.00043425   7.66667      0.118693      7.66667      -0.000556926  7.66667      0.151071      7.66667      -6.91412E-05  
   1.53885E+06  4.02621       3.34876E+07  0.991389     0             3.34876E+07  0.00189417   0             3.34876E+07  0.991389      3.34876E+07  0.00189417    3.34876E+07  0.991389     0             3.34876E+07  -0.00189417  0             3.34876E+07  0.991389      3.34876E+07  -0.00189417   3.34876E+07  0.970449     0             3.34876E+07  0            0             3.34876E+07  0.970449      3.34876E+07  0             3.34876E+07  105.589       3.10287E+08  3539.41       8.33333      -0.0786962    8.33333      -0.000442157  8.33333      0.124024      8.33333      -0.000547624  8.33333      0.150797      8.33333      2.27956E-05   
   1.55509E+06  4.03475       3.6443E+07   0.9939       0             3.6443E+07   0.000550763  0             3.6443E+07   0.9939        3.6443E+07   0.000550763   3.6443E+07   0.9939       0             3.6443E+07   -0.000550763 0             3.6443E+07   0.9939        3.6443E+07   -0.000550763  3.6443E+07   0.974498     0             3.6443E+07   0            0             3.6443E+07   0.974498      3.6443E+07   0             3.6443E+07   114.936       3.12961E+08  3695.98       9            -0.0838118    9            -0.00043494   9            0.12839       9            -0.00057074   9            0.148151      9            -2.74069E-05  
   1.5706E+06   4.04266       3.83639E+07  0.996982     0             3.83639E+07  0            0             3.83639E+07  0.996982      3.83639E+07  0             3.83639E+07  0.987118     0             3.83639E+07  0            0             3.83639E+07  0.987118      3.83639E+07  0             3.83639E+07  0.968533     0             3.83639E+07  0            0             3.83639E+07  0.968533      3.83639E+07  0             3.83639E+07  120.997       3.15317E+08  4101.32       9.66667      -0.0884638    9.66667      -0.000429237  9.66667      0.131842      9.66667      -0.000564834  9.66667      0.143497      9.66667      -3.90031E-05  
   1.59221E+06  4.02741       4.16951E+07  0.996626     0             4.16951E+07  0            0             4.16951E+07  0.996626      4.16951E+07  0             4.16951E+07  0.98737      0             4.16951E+07  0            0             4.16951E+07  0.98737       4.16951E+07  0             4.16951E+07  0.975806     0             4.16951E+07  0            0             4.16951E+07  0.975806      4.16951E+07  0             4.16951E+07  131.491       3.18355E+08  4295.7        10.3333      -0.0929965    10.3333      -0.000443741  10.3333      0.13446       10.3333      -0.000565863  10.3333      0.136666      10.3333      6.90312E-06   
   1.63602E+06  4.01739       4.44387E+07  0.999749     0             4.44387E+07  0            0             4.44387E+07  0.999749      4.44387E+07  0             4.44387E+07  0.990042     0             4.44387E+07  0            0             4.44387E+07  0.990042      4.44387E+07  0             4.44387E+07  0.979343     0             4.44387E+07  0            0             4.44387E+07  0.979343      4.44387E+07  0             4.44387E+07  140.194       3.20933E+08  3942.64       11           -0.097753     11           -0.000445478  11           0.136274      11           -0.000632848  11           0.127758      11           0.000151813   
   1.73504E+06  3.98465       4.69428E+07  0.997817     0             4.69428E+07  0            0             4.69428E+07  0.997817      4.69428E+07  0             4.69428E+07  0.985379     0             4.69428E+07  0            0             4.69428E+07  0.985379      4.69428E+07  0             4.69428E+07  0.975312     0             4.69428E+07  0            0             4.69428E+07  0.975312      4.69428E+07  0             4.69428E+07  148.104       3.22896E+08  4369.46       11.6667      -0.102114     11.6667      -0.000453911  11.6667      0.137321      11.6667      -0.000636996  11.6667      0.116995      11.6667      0.000217371   
   1.82065E+06  3.96933       4.92467E+07  0.997909     0             4.92467E+07  0            0             4.92467E+07  0.997909      4.92467E+07  0             4.92467E+07  0.992402     0             4.92467E+07  0            0             4.92467E+07  0.992402      4.92467E+07  0             4.92467E+07  0.973727     0             4.92467E+07  0            0             4.92467E+07  0.973727      4.92467E+07  0             4.92467E+07  155.411       3.26375E+08  4616.94       12.3333      -0.10657      12.3333      -0.000424074  12.3333      0.13765       12.3333      -0.000648542  12.3333      0.104461      12.3333      0.000284943   
   1.903E+06    4.00549       5.18381E+07  0.995724     0             5.18381E+07  0            0             5.18381E+07  0.995724      5.18381E+07  0             5.18381E+07  0.989882     0             5.18381E+07  0            0             5.18381E+07  0.989882      5.18381E+07  0             5.18381E+07  0.974495     0             5.18381E+07  0            0             5.18381E+07  0.974495      5.18381E+07  0             5.18381E+07  163.571       3.28574E+08  5078.8        13           -0.11059      13           -0.000388848  13           0.136761      13           -0.00066116   13           0.0904033     13           0.000283351   
