# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 100000 --inactive 50 --source Histogram\n --Iterations 10 --active 500 --seed 0 --run --bins 120 -f Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b120.dat , seed =\n 33843582
# Arguments: source = Histogram, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b120.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 120, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.8E+07      4.83175      0             1.8E+07      0            0             1.8E+07      4.37971      0             1.8E+07      0            0             1.8E+07      3.81865      0             1.8E+07      0            0             6.8E+07      428.151       2.91667      0.0637506     2.91667      0             2.91667      0.109022      2.91667      0             2.91667      -0.125246     2.91667      0             
   1.9E+07      4.81967      0             1.9E+07      0            0             1.9E+07      4.38718      0             1.9E+07      0            0             1.9E+07      3.79728      0             1.9E+07      0            0             6.9E+07      451.355       3.08333      0.066363      3.08333      0             3.08333      0.111845      3.08333      0             3.08333      -0.124747     3.08333      0             
   2E+07        4.84153      0             2E+07        0            0             2E+07        4.40564      0             2E+07        0            0             2E+07        3.83167      0             2E+07        0            0             7E+07        491.751       3.25         0.0688383     3.25         0             3.25         0.114402      3.25         0             3.25         -0.123564     3.25         0             
   2.1E+07      4.83717      0             2.1E+07      0            0             2.1E+07      4.38557      0             2.1E+07      0            0             2.1E+07      3.81763      0             2.1E+07      0            0             7.1E+07      452.347       3.41667      0.0714852     3.41667      0             3.41667      0.116693      3.41667      0             3.41667      -0.121695     3.41667      0             
   2.2E+07      4.83541      0             2.2E+07      0            0             2.2E+07      4.38315      0             2.2E+07      0            0             2.2E+07      3.80754      0             2.2E+07      0            0             7.2E+07      448.854       3.58333      0.0738895     3.58333      0             3.58333      0.1188        3.58333      0             3.58333      -0.119334     3.58333      0             
   2.3E+07      4.82413      0             2.3E+07      0            0             2.3E+07      4.35603      0             2.3E+07      0            0             2.3E+07      3.81697      0             2.3E+07      0            0             7.3E+07      466.58        3.75         0.0762231     3.75         0             3.75         0.120492      3.75         0             3.75         -0.116086     3.75         0             
   2.4E+07      4.82166      0             2.4E+07      0            0             2.4E+07      4.39263      0             2.4E+07      0            0             2.4E+07      3.82999      0             2.4E+07      0            0             7.4E+07      487.713       3.91667      0.0785694     3.91667      0             3.91667      0.121986      3.91667      0             3.91667      -0.112339     3.91667      0             
   2.5E+07      4.84957      0             2.5E+07      0            0             2.5E+07      4.39733      0             2.5E+07      0            0             2.5E+07      3.82871      0             2.5E+07      0            0             7.5E+07      491.23        4.08333      0.0810308     4.08333      0             4.08333      0.122937      4.08333      0             4.08333      -0.107953     4.08333      0             
   2.6E+07      4.81211      0             2.6E+07      0            0             2.6E+07      4.38434      0             2.6E+07      0            0             2.6E+07      3.80795      0             2.6E+07      0            0             7.6E+07      495.756       4.25         0.0832372     4.25         0             4.25         0.123961      4.25         0             4.25         -0.102915     4.25         0             
   2.7E+07      4.80127      0             2.7E+07      0            0             2.7E+07      4.39868      0             2.7E+07      0            0             2.7E+07      3.82233      0             2.7E+07      0            0             7.7E+07      513.379       4.41667      0.0854756     4.41667      0             4.41667      0.12447       4.41667      0             4.41667      -0.0975039    4.41667      0             
   2.8E+07      4.83712      0             2.8E+07      0            0             2.8E+07      4.39562      0             2.8E+07      0            0             2.8E+07      3.82463      0             2.8E+07      0            0             7.8E+07      533.675       4.58333      0.0877916     4.58333      0             4.58333      0.124769      4.58333      0             4.58333      -0.0915182    4.58333      0             
   2.9E+07      4.83953      0             2.9E+07      0            0             2.9E+07      4.38566      0             2.9E+07      0            0             2.9E+07      3.81398      0             2.9E+07      0            0             7.9E+07      539.497       4.75         0.0899241     4.75         0             4.75         0.124702      4.75         0             4.75         -0.0849705    4.75         0             
   3E+07        4.80883      0             3E+07        0            0             3E+07        4.38234      0             3E+07        0            0             3E+07        3.80534      0             3E+07        0            0             8E+07        569.071       4.91667      0.091962      4.91667      0             4.91667      0.124532      4.91667      0             4.91667      -0.0779744    4.91667      0             
   3.1E+07      4.82839      0             3.1E+07      0            0             3.1E+07      4.36376      0             3.1E+07      0            0             3.1E+07      3.80274      0             3.1E+07      0            0             8.1E+07      577.353       5.08333      0.0937797     5.08333      0             5.08333      0.123795      5.08333      0             5.08333      -0.0706705    5.08333      0             
   3.2E+07      4.83046      0             3.2E+07      0            0             3.2E+07      4.39441      0             3.2E+07      0            0             3.2E+07      3.83139      0             3.2E+07      0            0             8.2E+07      519.667       5.25         0.095823      5.25         0             5.25         0.122868      5.25         0             5.25         -0.0628085    5.25         0             
   3.3E+07      4.82757      0             3.3E+07      0            0             3.3E+07      4.40778      0             3.3E+07      0            0             3.3E+07      3.82198      0             3.3E+07      0            0             8.3E+07      543.897       5.41667      0.0976289     5.41667      0             5.41667      0.121617      5.41667      0             5.41667      -0.0547348    5.41667      0             
   3.4E+07      4.82123      0             3.4E+07      0            0             3.4E+07      4.38835      0             3.4E+07      0            0             3.4E+07      3.81813      0             3.4E+07      0            0             8.4E+07      569.887       5.58333      0.0994718     5.58333      0             5.58333      0.120209      5.58333      0             5.58333      -0.0462225    5.58333      0             
   3.5E+07      4.82554      0             3.5E+07      0            0             3.5E+07      4.39563      0             3.5E+07      0            0             3.5E+07      3.80336      0             3.5E+07      0            0             8.5E+07      596.139       5.75         0.101472      5.75         0             5.75         0.118447      5.75         0             5.75         -0.0376428    5.75         0             
   3.6E+07      4.82082      0             3.6E+07      0            0             3.6E+07      4.35881      0             3.6E+07      0            0             3.6E+07      3.80279      0             3.6E+07      0            0             8.6E+07      565.03        5.91667      0.103012      5.91667      0             5.91667      0.116498      5.91667      0             5.91667      -0.0286662    5.91667      0             
   3.7E+07      4.83854      0             3.7E+07      0            0             3.7E+07      4.38808      0             3.7E+07      0            0             3.7E+07      3.82686      0             3.7E+07      0            0             8.7E+07      573.662       6.08333      0.104793      6.08333      0             6.08333      0.114145      6.08333      0             6.08333      -0.0196448    6.08333      0             
   3.8E+07      4.82397      0             3.8E+07      0            0             3.8E+07      4.3743       0             3.8E+07      0            0             3.8E+07      3.79827      0             3.8E+07      0            0             8.8E+07      504.828       6.25         0.106474      6.25         0             6.25         0.111538      6.25         0             6.25         -0.0104095    6.25         0             
   3.9E+07      4.83173      0             3.9E+07      0            0             3.9E+07      4.39841      0             3.9E+07      0            0             3.9E+07      3.82564      0             3.9E+07      0            0             8.9E+07      524.513       6.41667      0.108075      6.41667      0             6.41667      0.10867       6.41667      0             6.41667      -0.00121688   6.41667      0             
   4E+07        4.81831      0             4E+07        0            0             4E+07        4.369        0             4E+07        0            0             4E+07        3.79664      0             4E+07        0            0             9E+07        545.529       6.58333      0.109614      6.58333      0             6.58333      0.105447      6.58333      0             6.58333      0.00793679    6.58333      0             
   4.1E+07      4.82134      0             4.1E+07      0            0             4.1E+07      4.39869      0             4.1E+07      0            0             4.1E+07      3.80733      0             4.1E+07      0            0             9.1E+07      566.784       6.75         0.111071      6.75         0             6.75         0.101959      6.75         0             6.75         0.0171036     6.75         0             
   4.2E+07      4.84512      0             4.2E+07      0            0             4.2E+07      4.36612      0             4.2E+07      0            0             4.2E+07      3.82722      0             4.2E+07      0            0             9.2E+07      535.399       6.91667      0.11237       6.91667      0             6.91667      0.0983123     6.91667      0             6.91667      0.0261284     6.91667      0             
   4.3E+07      4.84222      0             4.3E+07      0            0             4.3E+07      4.38379      0             4.3E+07      0            0             4.3E+07      3.83505      0             4.3E+07      0            0             9.3E+07      545.432       7.08333      0.113562      7.08333      0             7.08333      0.094352      7.08333      0             7.08333      0.0350518     7.08333      0             
   4.4E+07      4.82879      0             4.4E+07      0            0             4.4E+07      4.3842       0             4.4E+07      0            0             4.4E+07      3.8252       0             4.4E+07      0            0             9.4E+07      516.274       7.25         0.114767      7.25         0             7.25         0.0901394     7.25         0             7.25         0.0439014     7.25         0             
   4.5E+07      4.83325      0             4.5E+07      0            0             4.5E+07      4.36236      0             4.5E+07      0            0             4.5E+07      3.82215      0             4.5E+07      0            0             9.5E+07      534.081       7.41667      0.115937      7.41667      0             7.41667      0.0858663     7.41667      0             7.41667      0.0524293     7.41667      0             
   4.6E+07      4.80359      0             4.6E+07      0            0             4.6E+07      4.37169      0             4.6E+07      0            0             4.6E+07      3.80183      0             4.6E+07      0            0             9.6E+07      549.369       7.58333      0.116906      7.58333      0             7.58333      0.0813547     7.58333      0             7.58333      0.0605043     7.58333      0             
   4.7E+07      4.80923      0             4.7E+07      0            0             4.7E+07      4.38231      0             4.7E+07      0            0             4.7E+07      3.82019      0             4.7E+07      0            0             9.7E+07      559.157       7.75         0.117997      7.75         0             7.75         0.0765864     7.75         0             7.75         0.0685528     7.75         0             
   4.8E+07      4.82765      0             4.8E+07      0            0             4.8E+07      4.37768      0             4.8E+07      0            0             4.8E+07      3.83968      0             4.8E+07      0            0             9.8E+07      571.686       7.91667      0.119102      7.91667      0             7.91667      0.0717345     7.91667      0             7.91667      0.0761677     7.91667      0             
