# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 100000 --inactive 50 --source Histogram\n --Iterations 10 --active 500 --seed 0 --run --bins 90 -f Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b90.dat , seed = 4055130847
# Arguments: source = Histogram, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Histogram/20mfp.b90.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 90, active = 500, inactive = 50, tracks = 100000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.9E+07      4.83265      0             1.9E+07      0            0             1.9E+07      4.39488      0             1.9E+07      0            0             1.9E+07      3.78825      0             1.9E+07      0            0             6.9E+07      183.634       4.11111      0.0932179     4.11111      0             4.11111      0.142502      4.11111      0             4.11111      0.123908      4.11111      0             
   2E+07        4.80089      0             2E+07        0            0             2E+07        4.37153      0             2E+07        0            0             2E+07        3.81571      0             2E+07        0            0             7E+07        174.794       4.33333      0.0968013     4.33333      0             4.33333      0.143672      4.33333      0             4.33333      0.116191      4.33333      0             
   2.1E+07      4.8331       0             2.1E+07      0            0             2.1E+07      4.39368      0             2.1E+07      0            0             2.1E+07      3.82023      0             2.1E+07      0            0             7.1E+07      188.282       4.55556      0.100226      4.55556      0             4.55556      0.144288      4.55556      0             4.55556      0.107214      4.55556      0             
   2.2E+07      4.84488      0             2.2E+07      0            0             2.2E+07      4.38094      0             2.2E+07      0            0             2.2E+07      3.83125      0             2.2E+07      0            0             7.2E+07      186.32        4.77778      0.103524      4.77778      0             4.77778      0.144201      4.77778      0             4.77778      0.0971992     4.77778      0             
   2.3E+07      4.82084      0             2.3E+07      0            0             2.3E+07      4.39199      0             2.3E+07      0            0             2.3E+07      3.79198      0             2.3E+07      0            0             7.3E+07      200.457       5            0.106757      5            0             5            0.143551      5            0             5            0.0861673     5            0             
   2.4E+07      4.81178      0             2.4E+07      0            0             2.4E+07      4.35716      0             2.4E+07      0            0             2.4E+07      3.81322      0             2.4E+07      0            0             7.4E+07      206.634       5.22222      0.109755      5.22222      0             5.22222      0.142335      5.22222      0             5.22222      0.0744034     5.22222      0             
   2.5E+07      4.84122      0             2.5E+07      0            0             2.5E+07      4.37292      0             2.5E+07      0            0             2.5E+07      3.83056      0             2.5E+07      0            0             7.5E+07      221.148       5.44444      0.112779      5.44444      0             5.44444      0.140536      5.44444      0             5.44444      0.0618562     5.44444      0             
   2.6E+07      4.8345       0             2.6E+07      0            0             2.6E+07      4.39924      0             2.6E+07      0            0             2.6E+07      3.84252      0             2.6E+07      0            0             7.6E+07      235.486       5.66667      0.115659      5.66667      0             5.66667      0.138184      5.66667      0             5.66667      0.0488535     5.66667      0             
   2.7E+07      4.82957      0             2.7E+07      0            0             2.7E+07      4.38017      0             2.7E+07      0            0             2.7E+07      3.82101      0             2.7E+07      0            0             7.7E+07      249.636       5.88889      0.118425      5.88889      0             5.88889      0.135007      5.88889      0             5.88889      0.0353958     5.88889      0             
   2.8E+07      4.80694      0             2.8E+07      0            0             2.8E+07      4.3834       0             2.8E+07      0            0             2.8E+07      3.80716      0             2.8E+07      0            0             7.8E+07      260.612       6.11111      0.12095       6.11111      0             6.11111      0.131116      6.11111      0             6.11111      0.021416      6.11111      0             
