# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./Research/PowerResearch --verbose 2 --width 20 --multimedia --inactive 3250 --active 1250 --seed 0 --bins 300 --run --tracks\n 1000000 -f Symmetric.Power-2.dat , seed = 1306049843
# Arguments: source = Bank, run = true, filename = Symmetric.Power-2.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 1250, inactive = 3250, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5             6            7             8            9             10           11            12           13           
# |-            Power values           -| |-   Power raw values   -| |-        Entropy       -| |-      Power-Time      -| |-       FOM-Power      -| |-     Power vector     -| 
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   4E+07        0.424784     0             4E+07        0.424784      4E+07        3.55866       4E+07        108.301       3.29E+09     15388.5       1.185        0             
   4.1E+07      0.423752     0             4.1E+07      0.423752      4.1E+07      3.56046       4.1E+07      111.071       3.291E+09    14665.1       1.215        0             
   4.2E+07      0.424005     0             4.2E+07      0.424005      4.2E+07      3.56243       4.2E+07      113.805       3.292E+09    15383.1       1.245        0             
   4.3E+07      0.424234     0             4.3E+07      0.424234      4.3E+07      3.56368       4.3E+07      116.544       3.293E+09    16064.1       1.275        0             
   4.4E+07      0.42502      0             4.4E+07      0.42502       4.4E+07      3.56468       4.4E+07      119.255       3.294E+09    16706.8       1.305        0             
   4.5E+07      0.424551     0             4.5E+07      0.424551      4.5E+07      3.56612       4.5E+07      121.961       3.295E+09    16718.4       1.335        0             
   4.6E+07      0.424426     0             4.6E+07      0.424426      4.6E+07      3.56501       4.6E+07      124.685       3.296E+09    17408.1       1.365        0             
   4.7E+07      0.424588     0             4.7E+07      0.424588      4.7E+07      3.56594       4.7E+07      127.382       3.297E+09    17523.9       1.395        0             
   4.8E+07      0.424343     0             4.8E+07      0.424343      4.8E+07      3.56713       4.8E+07      130.111       3.298E+09    17772.6       1.425        0             
   4.9E+07      0.424867     0             4.9E+07      0.424867      4.9E+07      3.56943       4.9E+07      132.817       3.299E+09    18362         1.455        0             
