# This file was created by gnuFile.py version  $Revision: 632 $ on Wed Aug 19 00:57:54 2009.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# 192-236.adsl.umnet.umich.edu$ ProcessVectors.py
# This data was taken from the file: Symmetric.Power-2.dat, and Symmetric.Arnoldi.dat
# =============================================================================
# 
#  1            2             3            4             5            6             7            8             9            10            11           12            13           14            15           16           
# |-    Sym-Arnoldi-1     -| |-    Sym-Arnoldi-0     -| |-      Asym-Power      -| |-    Asym-Arnoldi-1    -| |-    Asym-Arnoldi-0    -| |-    Sym2-Arnoldi-0    -| |-    Sym2-Arnoldi-1    -| |-      Sym-Power       -| 
#  x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.095        0             1.095        0             1.0962       0             1.0962       0             1.0962       0             1.095        -0            1.095        0             1.095        0            
   1.125        0             1.125        0             1.1262       0             1.1262       0             1.1262       0             1.125        -0            1.125        0             1.125        0            
   1.155        0             1.155        0             1.1563       0             1.1563       0             1.1563       0             1.155        -0            1.155        0             1.155        0            
   1.185        0             1.185        0             1.1863       0             1.1863       0             1.1863       0             1.185        -0            1.185        0             1.185        0            
   1.215        0             1.215        0             1.2164       0             1.2164       0             1.2164       0             1.215        -0            1.215        0             1.215        0            
   1.245        0             1.245        0             1.2464       0             1.2464       0             1.2464       0             1.245        -0            1.245        0             1.245        0            
   1.275        0             1.275        0             1.2764       0             1.2764       0             1.2764       0             1.275        -0            1.275        0             1.275        0            
   1.305        0             1.305        0             1.3064       0             1.3064       0             1.3064       0             1.305        -0            1.305        0             1.305        0            
   1.335        0             1.335        0             1.3365       0             1.3365       0             1.3365       0             1.335        -0            1.335        0             1.335        0            
   1.365        0             1.365        0             1.3665       0             1.3665       0             1.3665       0             1.365        -0            1.365        0             1.365        0            
   1.395        0             1.395        0             1.3965       0             1.3965       0             1.3965       0             1.395        -0            1.395        0             1.395        0            
   1.425        0             1.425        0             1.4266       0             1.4266       0             1.4266       0             1.425        -0            1.425        0             1.425        0            
   1.455        0             1.455        0             1.4566       0             1.4566       0             1.4566       0             1.455        -0            1.455        0             1.455        0            
   1.485        0             1.485        0             1.4867       0             1.4867       0             1.4867       0             1.485        -0            1.485        0             1.485        0            
   1.515        0             1.515        0             1.5167       0             1.5167       0             1.5167       0             1.515        -0            1.515        0             1.515        0            
   1.545        0             1.545        0             1.5467       0             1.5467       0             1.5467       0             1.545        -0            1.545        0             1.545        0            
   1.575        0             1.575        0             1.5768       0             1.5768       0             1.5768       0             1.575        -0            1.575        0             1.575        0            
   1.605        0             1.605        0             1.6068       0             1.6068       0             1.6068       0             1.605        -0            1.605        0             1.605        0            
   1.635        0             1.635        0             1.6368       0             1.6368       0             1.6368       0             1.635        -0            1.635        0             1.635        0            
   1.665        0             1.665        0             1.6668       0             1.6668       0             1.6668       0             1.665        -0            1.665        0             1.665        0            
   1.695        0             1.695        0             1.6969       0             1.6969       0             1.6969       0             1.695        -0            1.695        0             1.695        0            
   1.725        0             1.725        0             1.7269       0             1.7269       0             1.7269       0             1.725        -0            1.725        0             1.725        0            
   1.755        0             1.755        0             1.757        0             1.757        0             1.757        0             1.755        -0            1.755        0             1.755        0            
   1.785        0             1.785        0             1.787        0             1.787        0             1.787        0             1.785        -0            1.785        0             1.785        0            
   1.815        0             1.815        0             1.817        0             1.817        0             1.817        0             1.815        -0            1.815        0             1.815        0            
   1.845        0             1.845        0             1.8471       0             1.8471       0             1.8471       0             1.845        -0            1.845        0             1.845        0            
   1.875        0             1.875        0             1.8771       0             1.8771       0             1.8771       0             1.875        -0            1.875        0             1.875        0            
   1.905        0             1.905        0             1.9071       0             1.9071       0             1.9071       0             1.905        -0            1.905        0             1.905        0            
   1.935        0             1.935        0             1.9371       0             1.9371       0             1.9371       0             1.935        -0            1.935        0             1.935        0            
   1.965        0             1.965        0             1.9672       0             1.9672       0             1.9672       0             1.965        -0            1.965        0             1.965        0            
   1.995        0             1.995        0             1.9972       0             1.9972       0             1.9972       0             1.995        -0            1.995        0             1.995        0            
   2.025        0             2.025        0             2.0272       0             2.0272       0             2.0272       0             2.025        -0            2.025        0             2.025        0            
   2.055        0             2.055        0             2.0573       0             2.0573       0             2.0573       0             2.055        -0            2.055        0             2.055        0            
   2.085        0             2.085        0             2.0873       0             2.0873       0             2.0873       0             2.085        -0            2.085        0             2.085        0            
   2.115        0             2.115        0             2.1174       0             2.1174       0             2.1174       0             2.115        -0            2.115        0             2.115        0            
   2.145        0             2.145        0             2.1474       0             2.1474       0             2.1474       0             2.145        -0            2.145        0             2.145        0            
   2.175        0             2.175        0             2.1774       0             2.1774       0             2.1774       0             2.175        -0            2.175        0             2.175        0            
