# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./Research/PowerResearch --verbose 2 --width 20 --multimedia --inactive 1250 --active 1250 --seed 0 --bins 300 --run --tracks\n 1000000 -f Asymmetric.Power.dat , seed = 520985258
# Arguments: source = Bank, run = true, filename = Asymmetric.Power.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 1250, inactive = 1250, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5             6            7             8            9             10           11            12           13           
# |-            Power values           -| |-   Power raw values   -| |-        Entropy       -| |-      Power-Time      -| |-       FOM-Power      -| |-     Power vector     -| 
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   3.9E+07      0.424677     0             3.9E+07      0.424677      3.9E+07      3.56044       3.9E+07      104.02        1.289E+09    35485.5       1.15628      0             
   4E+07        0.423351     0             4E+07        0.423351      4E+07        3.56221       4E+07        106.69        1.29E+09     37236.6       1.18632      0             
   4.1E+07      0.424845     0             4.1E+07      0.424845      4.1E+07      3.56246       4.1E+07      109.364       1.291E+09    38313.2       1.21635      0             
   4.2E+07      0.425608     0             4.2E+07      0.425608      4.2E+07      3.56491       4.2E+07      112.031       1.292E+09    37216.5       1.24638      0             
   4.3E+07      0.423788     0             4.3E+07      0.423788      4.3E+07      3.56632       4.3E+07      114.71        1.293E+09    38461.9       1.27642      0             
   4.4E+07      0.424731     0             4.4E+07      0.424731      4.4E+07      3.56643       4.4E+07      117.385       1.294E+09    40211.4       1.30645      0             
   4.5E+07      0.424911     0             4.5E+07      0.424911      4.5E+07      3.56849       4.5E+07      120.05        1.295E+09    42022.3       1.33648      0             
   4.6E+07      0.424726     0             4.6E+07      0.424726      4.6E+07      3.57034       4.6E+07      122.731       1.296E+09    41467.9       1.36652      0             
   4.7E+07      0.424243     0             4.7E+07      0.424243      4.7E+07      3.57117       4.7E+07      125.427       1.297E+09    43186         1.39655      0             
   4.8E+07      0.424658     0             4.8E+07      0.424658      4.8E+07      3.5731        4.8E+07      128.088       1.298E+09    44608.7       1.42658      0             
   4.9E+07      0.42337      0             4.9E+07      0.42337       4.9E+07      3.57345       4.9E+07      130.76        1.299E+09    46079.3       1.45662      0             
   5E+07        0.423604     0             5E+07        0.423604      5E+07        3.57402       5E+07        133.432       1.3E+09      45361.6       1.48665      0             
   5.1E+07      0.424966     0             5.1E+07      0.424966      5.1E+07      3.57495       5.1E+07      136.098       1.301E+09    46326.7       1.51668      0             
   5.2E+07      0.425101     0             5.2E+07      0.425101      5.2E+07      3.57668       5.2E+07      138.77        1.302E+09    48079.2       1.54672      0             
   5.3E+07      0.424554     0             5.3E+07      0.424554      5.3E+07      3.57656       5.3E+07      141.423       1.303E+09    49206.1       1.57675      0             
   5.4E+07      0.423486     0             5.4E+07      0.423486      5.4E+07      3.5783        5.4E+07      144.093       1.304E+09    48354.1       1.60678      0             
   5.5E+07      0.424941     0             5.5E+07      0.424941      5.5E+07      3.57942       5.5E+07      146.776       1.305E+09    50066         1.63682      0             
   5.6E+07      0.424816     0             5.6E+07      0.424816      5.6E+07      3.57885       5.6E+07      149.444       1.306E+09    51859.7       1.66685      0             
   5.7E+07      0.423121     0             5.7E+07      0.423121      5.7E+07      3.57925       5.7E+07      152.131       1.307E+09    53446.1       1.69688      0             
   5.8E+07      0.424293     0             5.8E+07      0.424293      5.8E+07      3.58121       5.8E+07      154.799       1.308E+09    52944.9       1.72692      0             
   5.9E+07      0.424399     0             5.9E+07      0.424399      5.9E+07      3.58134       5.9E+07      157.471       1.309E+09    54249.8       1.75695      0             
   6E+07        0.424469     0             6E+07        0.424469      6E+07        3.58228       6E+07        160.155       1.31E+09     56007.7       1.78698      0             
   6.1E+07      0.423722     0             6.1E+07      0.423722      6.1E+07      3.58456       6.1E+07      162.967       1.311E+09    55233.5       1.81702      0             
   6.2E+07      0.424114     0             6.2E+07      0.424114      6.2E+07      3.58632       6.2E+07      165.631       1.312E+09    54206.7       1.84705      0             
   6.3E+07      0.425229     0             6.3E+07      0.425229      6.3E+07      3.58813       6.3E+07      168.333       1.313E+09    55503.8       1.87708      0             
   6.4E+07      0.424577     0             6.4E+07      0.424577      6.4E+07      3.58978       6.4E+07      171.028       1.314E+09    57180.7       1.90712      0             
   6.5E+07      0.424672     0             6.5E+07      0.424672      6.5E+07      3.59112       6.5E+07      173.694       1.315E+09    57777.3       1.93715      0             
   6.6E+07      0.423834     0             6.6E+07      0.423834      6.6E+07      3.59294       6.6E+07      176.357       1.316E+09    59459         1.96718      0             
   6.7E+07      0.423663     0             6.7E+07      0.423663      6.7E+07      3.59445       6.7E+07      179.04        1.317E+09    60915.5       1.99722      0             
   6.8E+07      0.4248       0             6.8E+07      0.4248        6.8E+07      3.59487       6.8E+07      181.705       1.318E+09    61816.2       2.02725      0             
   6.9E+07      0.423376     0             6.9E+07      0.423376      6.9E+07      3.59693       6.9E+07      184.374       1.319E+09    61301.1       2.05728      0             
   7E+07        0.424508     0             7E+07        0.424508      7E+07        3.59792       7E+07        187.036       1.32E+09     61545.8       2.08732      0             
   7.1E+07      0.424808     0             7.1E+07      0.424808      7.1E+07      3.60051       7.1E+07      189.728       1.321E+09    63151.1       2.11735      0             
   7.2E+07      0.423138     0             7.2E+07      0.423138      7.2E+07      3.60241       7.2E+07      192.411       1.322E+09    64808.3       2.14738      0             
   7.3E+07      0.423212     0             7.3E+07      0.423212      7.3E+07      3.60351       7.3E+07      195.091       1.323E+09    65047.6       2.17742      0             
   7.4E+07      0.424202     0             7.4E+07      0.424202      7.4E+07      3.60516       7.4E+07      197.746       1.324E+09    65073.1       2.20745      0             
   7.5E+07      0.424268     0             7.5E+07      0.424268      7.5E+07      3.60735       7.5E+07      200.422       1.325E+09    66657.8       2.23748      0             
   7.6E+07      0.424309     0             7.6E+07      0.424309      7.6E+07      3.6088        7.6E+07      203.088       1.326E+09    67715.2       2.26752      0             
   7.7E+07      0.424412     0             7.7E+07      0.424412      7.7E+07      3.61229       7.7E+07      205.77        1.327E+09    66463.8       2.29755      0             
   7.8E+07      0.423795     0             7.8E+07      0.423795      7.8E+07      3.61375       7.8E+07      208.444       1.328E+09    65900.1       2.32758      0             
   7.9E+07      0.424536     0             7.9E+07      0.424536      7.9E+07      3.61429       7.9E+07      211.139       1.329E+09    66268.9       2.35762      0             
   8E+07        0.424145     0             8E+07        0.424145      8E+07        3.61657       8E+07        213.829       1.33E+09     66660.1       2.38765      0             
   8.1E+07      0.424269     0             8.1E+07      0.424269      8.1E+07      3.61786       8.1E+07      216.524       1.331E+09    66384.5       2.41768      0             
   8.2E+07      0.425167     0             8.2E+07      0.425167      8.2E+07      3.61965       8.2E+07      219.208       1.332E+09    67799.4       2.44772      0             
   8.3E+07      0.42438      0             8.3E+07      0.42438       8.3E+07      3.62144       8.3E+07      221.875       1.333E+09    68936.2       2.47775      0             
   8.4E+07      0.42431      0             8.4E+07      0.42431       8.4E+07      3.6227        8.4E+07      224.543       1.334E+09    70050.8       2.50778      0             
   8.5E+07      0.42445      0             8.5E+07      0.42445       8.5E+07      3.62417       8.5E+07      227.215       1.335E+09    71576.8       2.53782      0             
   8.6E+07      0.423668     0             8.6E+07      0.423668      8.6E+07      3.62478       8.6E+07      229.882       1.336E+09    72699.4       2.56785      0             
   8.7E+07      0.425734     0             8.7E+07      0.425734      8.7E+07      3.62609       8.7E+07      232.561       1.337E+09    73476         2.59788      0             
   8.8E+07      0.42442      0             8.8E+07      0.42442       8.8E+07      3.62702       8.8E+07      235.227       1.338E+09    73088.2       2.62792      0             
   8.9E+07      0.424382     0             8.9E+07      0.424382      8.9E+07      3.62744       8.9E+07      237.903       1.339E+09    74645.8       2.65795      0             
   9E+07        0.424127     0             9E+07        0.424127      9E+07        3.6296        9E+07        240.582       1.34E+09     76273.5       2.68798      0             
   9.1E+07      0.424743     0             9.1E+07      0.424743      9.1E+07      3.63205       9.1E+07      243.255       1.341E+09    77506.2       2.71802      0             
   9.2E+07      0.42341      0             9.2E+07      0.42341       9.2E+07      3.63269       9.2E+07      245.934       1.342E+09    79147.3       2.74805      0             
   9.3E+07      0.424986     0             9.3E+07      0.424986      9.3E+07      3.63572       9.3E+07      248.614       1.343E+09    80813         2.77808      0             
   9.4E+07      0.424089     0             9.4E+07      0.424089      9.4E+07      3.63562       9.4E+07      251.293       1.344E+09    81520.7       2.80812      0             
   9.5E+07      0.423661     0             9.5E+07      0.423661      9.5E+07      3.63672       9.5E+07      253.968       1.345E+09    83127.1       2.83815      0             
