# This file was created by gnuplotFile.py version $Revision: 160 $ on Thu Oct 25 13:57:45 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.personal.engin.umich.edu$ amcNoRestartConvergence.py -v -w 50 --histories 5000 -f W-50.I53.H5000.B50.dat -M W-50.I53.H5000.B50.Movie -r
# 
# =============================================================================
# 
#   1            2            3              4            5              6            7              8            9              10           11             12           13             14           15             16           17             18           19             20           21             22           23             24           25             26           27             28           29             30           31             32           33             34           35             36           37             38           39             40           41             42           43             44           45             46           47             48           49             50           51             52           53             54           55             56           57             58           59             60           61             62           63             64           65             66           67             68           69             70           71             72           73             74           75             76           77             78           79             80           81             82           83             84           85             86           87             88           89             90           91             92           93             94           95             96           97             98           99             100          101            102          103            104          105            106          107         
# |--------------Eigenvalue--------------||---------Iter-38---------||---------Iter-42---------||---------Iter-50---------||---------Iter-40---------||---------Iter-47---------||---------Iter-9----------||---------Iter-8----------||---------Iter-7----------||---------Iter-6----------||---------Iter-5----------||---------Iter-4----------||---------Iter-3----------||---------Iter-2----------||---------Iter-1----------||---------Iter-0----------||---------Iter-31---------||---------Iter-51---------||---------Iter-43---------||---------Iter-30---------||---------Iter-44---------||---------Iter-33---------||---------Iter-45---------||---------Iter-39---------||---------Iter-32---------||---------Iter-46---------||---------Iter-19---------||---------Iter-18---------||---------Iter-17---------||---------Iter-16---------||---------Iter-15---------||---------Iter-14---------||---------Iter-13---------||---------Iter-12---------||---------Iter-11---------||---------Iter-10---------||---------Iter-37---------||---------Iter-34---------||---------Iter-36---------||---------Iter-35---------||---------Iter-41---------||---------Iter-26---------||---------Iter-27---------||---------Iter-24---------||---------Iter-25---------||---------Iter-22---------||---------Iter-23---------||---------Iter-20---------||---------Iter-21---------||---------Iter-48---------||---------Iter-49---------||---------Iter-28---------||---------Iter-29---------|
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   10           1.0022       0.0062215     10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.017047      10           0.017612      10           0.020018      10           0.022702      10           0.026338      10           0.026441      10           0.024662      10           0.022578      10           0.021019      10           0.02          10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016651      10           0.016645      10           0.016652      10           0.016727      10           0.016796      10           0.016906      10           0.016869      10           0.017243      10           0.017649      10           0.017528      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016663      10           0.016662      10           0.016663      10           0.016657      10           0.016661      10           0.016663      10           0.016663      10           0.016663      10           0.016663     
   11           1.002        0.0061585     11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.015428      11           0.016726      11           0.016466      11           0.019776      11           0.019552      11           0.019381      11           0.019222      11           0.018169      11           0.018179      11           0.02          11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016634      11           0.016627      11           0.016641      11           0.016715      11           0.016787      11           0.016811      11           0.017001      11           0.017301      11           0.017348      11           0.017064      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016646      11           0.016645      11           0.016639      11           0.016644      11           0.016646      11           0.016646      11           0.016646      11           0.016646     
   12           1.0017       0.0060602     12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016663      12           0.014445      12           0.015497      12           0.014887      12           0.01459       12           0.013693      12           0.01479       12           0.016546      12           0.018553      12           0.02          12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016179      12           0.016173      12           0.016186      12           0.016256      12           0.016297      12           0.016308      12           0.016504      12           0.016796      12           0.016632      12           0.016265      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016192      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016188      12           0.016191      12           0.016191      12           0.016191      12           0.016191      12           0.016191     
   13           1.0015       0.0059435     13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016457      13           0.01532       13           0.013307      13           0.011794      13           0.0095774     13           0.010204      13           0.011394      13           0.015719      13           0.018819      13           0.02          13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016718      13           0.016706      13           0.016746      13           0.016839      13           0.016878      13           0.016938      13           0.01701       13           0.017108      13           0.017229      13           0.017023      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016727      13           0.016728      13           0.016727      13           0.016727      13           0.016728      13           0.016727      13           0.016727      13           0.016727      13           0.016727     
   14           1.0015       0.0058258     14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.022357      14           0.020548      14           0.018341      14           0.012079      14           0.010164      14           0.0080035     14           0.011611      14           0.013568      14           0.018411      14           0.02          14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.0216        14           0.021595      14           0.021631      14           0.021733      14           0.021789      14           0.021847      14           0.021898      14           0.021651      14           0.022155      14           0.022169      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.021599      14           0.0216        14           0.0216        14           0.021602      14           0.021601      14           0.021599      14           0.021599      14           0.021599      14           0.021599     
   15           1.0015       0.0057108     15           0.022703      15           0.022703      15           0.022703      15           0.022703      15           0.022703      15           0.025251      15           0.021493      15           0.018905      15           0.013618      15           0.0084087     15           0.010285      15           0.0108        15           0.012938      15           0.014212      15           0.02          15           0.022703      15           0.022703      15           0.022703      15           0.022703      15           0.022703      15           0.022703      15           0.022703      15           0.022703      15           0.022703      15           0.022703      15           0.02271       15           0.022726      15           0.022733      15           0.022821      15           0.02292       15           0.022929      15           0.022969      15           0.022917      15           0.022868      15           0.023612      15           0.022703      15           0.022703      15           0.022703      15           0.022703      15           0.022703      15           0.022704      15           0.022704      15           0.022703      15           0.022703      15           0.022704      15           0.022704      15           0.022707      15           0.022705      15           0.022703      15           0.022703      15           0.022703      15           0.022703     
   16           1.0015       0.0056011     16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.036331      16           0.030971      16           0.026623      16           0.020446      16           0.017825      16           0.017169      16           0.020166      16           0.018906      16           0.021053      16           0.02          16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033393      16           0.033401      16           0.033432      16           0.03348       16           0.033557      16           0.033581      16           0.033652      16           0.033634      16           0.033758      16           0.033552      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033374      16           0.033376      16           0.033375      16           0.03338       16           0.033376      16           0.033374      16           0.033374      16           0.033374      16           0.033374     
   17           1.0016       0.0054975     17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.035716      17           0.031973      17           0.024479      17           0.017923      17           0.017581      17           0.019694      17           0.020516      17           0.022778      17           0.019866      17           0.02          17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.03665       17           0.036661      17           0.036705      17           0.036801      17           0.03679       17           0.03685       17           0.037007      17           0.036827      17           0.037025      17           0.036504      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036632      17           0.036634      17           0.036633      17           0.036641      17           0.036635      17           0.036632      17           0.036632      17           0.036632      17           0.036632     
   18           1.0016       0.0053986     18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.042464      18           0.032582      18           0.028878      18           0.023245      18           0.022212      18           0.023178      18           0.025745      18           0.02695       18           0.027773      18           0.02          18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.04359       18           0.043604      18           0.043666      18           0.043695      18           0.043708      18           0.043731      18           0.043904      18           0.044002      18           0.043877      18           0.043454      18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.043574      18           0.043575      18           0.043574      18           0.043576      18           0.043575      18           0.043585      18           0.043579      18           0.043574      18           0.043574      18           0.043574      18           0.043574     
   19           1.0016       0.0053035     19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.040132      19           0.029195      19           0.023694      19           0.022407      19           0.018492      19           0.018581      19           0.020408      19           0.021503      19           0.018119      19           0.02          19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042722      19           0.042741      19           0.042777      19           0.042808      19           0.042842      19           0.042887      19           0.043087      19           0.043178      19           0.043334      19           0.042495      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042709      19           0.042711      19           0.04271       19           0.042719      19           0.042713      19           0.042709      19           0.042709      19           0.042709      19           0.042709     
