# This file was created by gnuplotFile.py version $Revision: 160 $ on Thu Oct 25 14:36:35 2007.  
# This file is written with the intent of being used to plot the data with
# Gnuplot.  It contains no information regarding how the plot should be
# formatted.
# =============================================================================
#
# hamrollup.personal.engin.umich.edu$ amcNoRestartConvergence.py -v -w 50 --histories 100000 -f W-50.I53.H100000.B50.dat -M W-50.I53.H100000.B50.Movie -r
# 
# =============================================================================
# 
#   1            2            3              4            5              6            7              8            9              10           11             12           13             14           15             16           17             18           19             20           21             22           23             24           25             26           27             28           29             30           31             32           33             34           35             36           37             38           39             40           41             42           43             44           45             46           47             48           49             50           51             52           53             54           55             56           57             58           59             60           61             62           63             64           65             66           67             68           69             70           71             72           73             74           75             76           77             78           79             80           81             82           83             84           85             86           87             88           89             90           91             92           93             94           95             96           97             98           99             100          101            102          103            104          105            106          107         
# |--------------Eigenvalue--------------||---------Iter-38---------||---------Iter-42---------||---------Iter-50---------||---------Iter-40---------||---------Iter-47---------||---------Iter-9----------||---------Iter-8----------||---------Iter-7----------||---------Iter-6----------||---------Iter-5----------||---------Iter-4----------||---------Iter-3----------||---------Iter-2----------||---------Iter-1----------||---------Iter-0----------||---------Iter-31---------||---------Iter-51---------||---------Iter-43---------||---------Iter-30---------||---------Iter-44---------||---------Iter-33---------||---------Iter-45---------||---------Iter-39---------||---------Iter-32---------||---------Iter-46---------||---------Iter-19---------||---------Iter-18---------||---------Iter-17---------||---------Iter-16---------||---------Iter-15---------||---------Iter-14---------||---------Iter-13---------||---------Iter-12---------||---------Iter-11---------||---------Iter-10---------||---------Iter-37---------||---------Iter-34---------||---------Iter-36---------||---------Iter-35---------||---------Iter-41---------||---------Iter-26---------||---------Iter-27---------||---------Iter-24---------||---------Iter-25---------||---------Iter-22---------||---------Iter-23---------||---------Iter-20---------||---------Iter-21---------||---------Iter-48---------||---------Iter-49---------||---------Iter-28---------||---------Iter-29---------|
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord      
   0            0.98224      0             0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            0.00024831    0            0.00059589    0            0.00089043    0            0.00085776    0            0.00094903    0            0.00090353    0            0.0015912     0            0.0025998     0            0.0046946     0            0.02          0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010484    0            -0.00095929   0            -0.00083642   0            -0.0007646    0            -0.0006454    0            -0.00045527   0            -0.00034927   0            -0.00029051   0            -0.0001752    0            9.7657E-05    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010782    0            -0.0010779    0            -0.0010779    0            -0.0010712    0            -0.0010769    0            -0.0010674    0            -0.0010709    0            -0.0010906    0            -0.0010829    0            -0.0010782    0            -0.0010782    0            -0.0010781    0            -0.0010782   
   1            0.99158      0.0046716     1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085379   1            0.0017137     1            0.0021665     1            0.0024631     1            0.0027704     1            0.0025005     1            0.0029217     1            0.0037706     1            0.0044351     1            0.015198      1            0.02          1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00081051   1            -0.00060985   1            -0.00038108   1            -0.00025522   1            -4.2842E-05   1            0.00030458    1            0.00050699    1            0.00063272    1            0.00086553    1            0.0011337     1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085379   1            -0.00085286   1            -0.0008534    1            -0.00084573   1            -0.00085136   1            -0.00084432   1            -0.00083648   1            -0.00088934   1            -0.00083537   1            -0.00085379   1            -0.00085379   1            -0.00085362   1            -0.00085379  
   2            0.99495      0.0053765     2            0.00019621    2            0.00019621    2            0.00019621    2            0.00019621    2            0.00019621    2            0.0039417     2            0.0045594     2            0.0049206     2            0.0051618     2            0.0053019     2            0.0058114     2            0.0051879     2            0.011831      2            0.018373      2            0.02          2            0.00019621    2            0.00019621    2            0.00019621    2            0.0001962     2            0.00019621    2            0.00019621    2            0.00019621    2            0.00019621    2            0.00019621    2            0.00019621    2            0.00022451    2            0.0005894     2            0.00092429    2            0.0010813     2            0.0013605     2            0.0018175     2            0.0021191     2            0.0023705     2            0.0025863     2            0.0030442     2            0.00019621    2            0.00019621    2            0.00019621    2            0.00019621    2            0.00019621    2            0.00019787    2            0.00019655    2            0.00020659    2            0.00019909    2            0.00021779    2            0.00020813    2            0.00021042    2            0.00020983    2            0.00019621    2            0.00019621    2            0.00019627    2            0.00019623   
   3            0.99613      0.0054493     3            0.00044753    3            0.00044753    3            0.00044753    3            0.00044753    3            0.00044753    3            0.005473      3            0.0063672     3            0.0068019     3            0.0069904     3            0.00815       3            0.0070102     3            0.010529      3            0.016158      3            0.019284      3            0.02          3            0.00044754    3            0.00044753    3            0.00044753    3            0.00044753    3            0.00044753    3            0.00044753    3            0.00044753    3            0.00044753    3            0.00044753    3            0.00044753    3            0.00057937    3            0.0009633     3            0.0015297     3            0.0017286     3            0.0020451     3            0.0026265     3            0.0030926     3            0.0033964     3            0.0037159     3            0.0043731     3            0.00044753    3            0.00044753    3            0.00044753    3            0.00044753    3            0.00044753    3            0.00044898    3            0.00044763    3            0.00045552    3            0.00045243    3            0.0004698     3            0.00046272    3            0.00042933    3            0.00048399    3            0.00044753    3            0.00044753    3            0.00044748    3            0.00044754   
   4            0.99671      0.0053446     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0087327     4            0.0097865     4            0.0099599     4            0.011192      4            0.010548      4            0.012006      4            0.01594       4            0.019143      4            0.019895      4            0.02          4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0029647     4            0.0035451     4            0.0041375     4            0.0044157     4            0.0047129     4            0.0054164     4            0.0059567     4            0.0063018     4            0.0067907     4            0.0075083     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028167     4            0.0028182     4            0.0028165     4            0.002825      4            0.0028192     4            0.0028392     4            0.0028293     4            0.002839      4            0.0028467     4            0.0028167     4            0.0028167     4            0.0028166     4            0.0028167    
   5            0.99702      0.0051833     5            0.0060914     5            0.0060914     5            0.0060914     5            0.0060914     5            0.0060914     5            0.012721      5            0.013164      5            0.014525      5            0.014362      5            0.014857      5            0.017416      5            0.020707      5            0.021502      5            0.021129      5            0.02          5            0.0060914     5            0.0060914     5            0.0060914     5            0.0060913     5            0.0060914     5            0.0060914     5            0.0060914     5            0.0060914     5            0.0060914     5            0.0060914     5            0.0062974     5            0.0069327     5            0.0076247     5            0.0078615     5            0.0082447     5            0.008958      5            0.0094812     5            0.0099366     5            0.010484      5            0.011234      5            0.0060914     5            0.0060914     5            0.0060914     5            0.0060914     5            0.0060914     5            0.0060912     5            0.0060912     5            0.0060968     5            0.0060922     5            0.0061079     5            0.0061043     5            0.0061157     5            0.006113      5            0.0060914     5            0.0060914     5            0.0060911     5            0.0060914    
   6            0.9972       0.0050077     6            0.0088929     6            0.0088929     6            0.0088929     6            0.0088929     6            0.0088929     6            0.015596      6            0.017263      6            0.01766       6            0.017877      6            0.019495      6            0.022137      6            0.023483      6            0.023662      6            0.021576      6            0.02          6            0.0088929     6            0.0088929     6            0.0088929     6            0.0088929     6            0.0088929     6            0.0088929     6            0.0088929     6            0.0088929     6            0.0088929     6            0.0088929     6            0.0092158     6            0.0099631     6            0.010733      6            0.011006      6            0.011428      6            0.012145      6            0.012693      6            0.013197      6            0.01379       6            0.014919      6            0.0088929     6            0.0088929     6            0.0088929     6            0.0088929     6            0.0088929     6            0.008892      6            0.0088926     6            0.0088962     6            0.0088902     6            0.008901      6            0.0088999     6            0.0089127     6            0.0088973     6            0.0088929     6            0.0088929     6            0.0088928     6            0.0088929    
   7            0.99727      0.0048314     7            0.011796      7            0.011796      7            0.011796      7            0.011796      7            0.011796      7            0.019389      7            0.02032       7            0.020608      7            0.021579      7            0.023921      7            0.025171      7            0.025742      7            0.024395      7            0.022883      7            0.02          7            0.011796      7            0.011796      7            0.011796      7            0.011796      7            0.011796      7            0.011796      7            0.011796      7            0.011796      7            0.011796      7            0.011796      7            0.012197      7            0.013068      7            0.013823      7            0.014186      7            0.01456       7            0.015324      7            0.015925      7            0.016301      7            0.01725       7            0.017721      7            0.011796      7            0.011796      7            0.011796      7            0.011796      7            0.011796      7            0.011794      7            0.011796      7            0.011794      7            0.011793      7            0.011794      7            0.011797      7            0.011825      7            0.011791      7            0.011796      7            0.011796      7            0.011796      7            0.011796     
   8            0.99736      0.0046661     8            0.012924      8            0.012924      8            0.012924      8            0.012924      8            0.012924      8            0.020811      8            0.021301      8            0.021898      8            0.023959      8            0.025459      8            0.026512      8            0.025294      8            0.024066      8            0.021463      8            0.02          8            0.012924      8            0.012924      8            0.012924      8            0.012924      8            0.012924      8            0.012924      8            0.012924      8            0.012924      8            0.012924      8            0.012924      8            0.013405      8            0.014256      8            0.015237      8            0.01551       8            0.015931      8            0.016705      8            0.017171      8            0.017842      8            0.018208      8            0.019267      8            0.012924      8            0.012924      8            0.012924      8            0.012924      8            0.012924      8            0.012923      8            0.012924      8            0.012917      8            0.01292       8            0.012912      8            0.012914      8            0.012972      8            0.012913      8            0.012924      8            0.012924      8            0.012924      8            0.012924     
   9            0.99752      0.0045188     9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.021943      9            0.022463      9            0.023905      9            0.025524      9            0.027081      9            0.026738      9            0.025898      9            0.023124      9            0.02163       9            0.02          9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.015266      9            0.01626       9            0.017125      9            0.017415      9            0.017801      9            0.018345      9            0.01902       9            0.019293      9            0.019818      9            0.020948      9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.014854      9            0.014843      9            0.014852      9            0.014831      9            0.014837      9            0.014955      9            0.014837      9            0.014854      9            0.014854      9            0.014854      9            0.014854     
