# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../ArnoldiResearch --verbose 2 --width 20 --relaxed 0 --eigenvalues 3 --tracks 1000000 --inactive 50 --source Histogram\n --Iterations 10 --active 500 --seed 0 --run --bins 120 -f Bins/20mfp-BetterStats-nyx/Histogram/1E6Tracks/20mfp.b120.dat\n , seed = 2883408776
# Arguments: source = Histogram, method = explicit, Iterations = 10, eigenvalues = 3, relaxed = 0, run = true, filename = Bins/20mfp-BetterStats-nyx/Histogram/1E6Tracks/20mfp.b120.dat, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 120, active = 500, inactive = 50, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5            6             7            8            9             10           11           12            13           14           15            16           17           18            19           20            21           22            23           24            25           26            27           28            29           30            31           32           
# |-       RAM eigenvalue-0-Real       -| |-       RAM eigenvalue-0-Imag       -| |-       RAM eigenvalue-1-Real       -| |-       RAM eigenvalue-1-Imag       -| |-       RAM eigenvalue-2-Real       -| |-       RAM eigenvalue-2-Imag       -| |-      FOM-Arnoldi     -| |-RAM eigenvector-0-Real-| |-RAM eigenvector-0-Imag-| |-RAM eigenvector-1-Real-| |-RAM eigenvector-1-Imag-| |-RAM eigenvector-2-Real-| |-RAM eigenvector-2-Imag-| 
#  x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   1.8E+08      4.82785      0             1.8E+08      0            0             1.8E+08      4.37476      0             1.8E+08      0            0             1.8E+08      3.81931      0             1.8E+08      0            0             6.8E+08      304.295       2.91667      -0.0632848    2.91667      0             2.91667      0.109131      2.91667      0             2.91667      0.125385      2.91667      0             
   1.9E+08      4.82007      0             1.9E+08      0            0             1.9E+08      4.37485      0             1.9E+08      0            0             1.9E+08      3.81276      0             1.9E+08      0            0             6.9E+08      328.37        3.08333      -0.06588      3.08333      0             3.08333      0.111985      3.08333      0             3.08333      0.124864      3.08333      0             
   2E+08        4.82983      0             2E+08        0            0             2E+08        4.38514      0             2E+08        0            0             2E+08        3.81545      0             2E+08        0            0             7E+08        343.27        3.25         -0.0684447    3.25         0             3.25         0.114543      3.25         0             3.25         0.123744      3.25         0             
   2.1E+08      4.83234      0             2.1E+08      0            0             2.1E+08      4.38351      0             2.1E+08      0            0             2.1E+08      3.81088      0             2.1E+08      0            0             7.1E+08      292.964       3.41667      -0.0709778    3.41667      0             3.41667      0.116896      3.41667      0             3.41667      0.121953      3.41667      0             
   2.2E+08      4.82669      0             2.2E+08      0            0             2.2E+08      4.37724      0             2.2E+08      0            0             2.2E+08      3.8123       0             2.2E+08      0            0             7.2E+08      316.998       3.58333      -0.0734494    3.58333      0             3.58333      0.118934      3.58333      0             3.58333      0.119445      3.58333      0             
   2.3E+08      4.82253      0             2.3E+08      0            0             2.3E+08      4.37834      0             2.3E+08      0            0             2.3E+08      3.81671      0             2.3E+08      0            0             7.3E+08      341.272       3.75         -0.0759392    3.75         0             3.75         0.120701      3.75         0             3.75         0.116316      3.75         0             
   2.4E+08      4.82971      0             2.4E+08      0            0             2.4E+08      4.37697      0             2.4E+08      0            0             2.4E+08      3.81346      0             2.4E+08      0            0             7.4E+08      345.646       3.91667      -0.0783053    3.91667      0             3.91667      0.122167      3.91667      0             3.91667      0.112592      3.91667      0             
   2.5E+08      4.82829      0             2.5E+08      0            0             2.5E+08      4.38228      0             2.5E+08      0            0             2.5E+08      3.81617      0             2.5E+08      0            0             7.5E+08      369.987       4.08333      -0.0806495    4.08333      0             4.08333      0.123317      4.08333      0             4.08333      0.108193      4.08333      0             
   2.6E+08      4.82655      0             2.6E+08      0            0             2.6E+08      4.37821      0             2.6E+08      0            0             2.6E+08      3.81829      0             2.6E+08      0            0             7.6E+08      368.503       4.25         -0.0829948    4.25         0             4.25         0.124201      4.25         0             4.25         0.103288      4.25         0             
   2.7E+08      4.82223      0             2.7E+08      0            0             2.7E+08      4.38742      0             2.7E+08      0            0             2.7E+08      3.82431      0             2.7E+08      0            0             7.7E+08      363.27        4.41667      -0.0852439    4.41667      0             4.41667      0.124814      4.41667      0             4.41667      0.0978235     4.41667      0             
   2.8E+08      4.81867      0             2.8E+08      0            0             2.8E+08      4.38132      0             2.8E+08      0            0             2.8E+08      3.82149      0             2.8E+08      0            0             7.8E+08      365.72        4.58333      -0.0874536    4.58333      0             4.58333      0.125102      4.58333      0             4.58333      0.0917814     4.58333      0             
   2.9E+08      4.83312      0             2.9E+08      0            0             2.9E+08      4.37646      0             2.9E+08      0            0             2.9E+08      3.81936      0             2.9E+08      0            0             7.9E+08      359.922       4.75         -0.0896059    4.75         0             4.75         0.125115      4.75         0             4.75         0.0852661     4.75         0             
   3E+08        4.83455      0             3E+08        0            0             3E+08        4.38245      0             3E+08        0            0             3E+08        3.82548      0             3E+08        0            0             8E+08        351.993       4.91667      -0.0917012    4.91667      0             4.91667      0.124787      4.91667      0             4.91667      0.0782614     4.91667      0             
   3.1E+08      4.82915      0             3.1E+08      0            0             3.1E+08      4.38715      0             3.1E+08      0            0             3.1E+08      3.81998      0             3.1E+08      0            0             8.1E+08      370.039       5.08333      -0.0937879    5.08333      0             5.08333      0.124187      5.08333      0             5.08333      0.0708296     5.08333      0             
   3.2E+08      4.82836      0             3.2E+08      0            0             3.2E+08      4.37955      0             3.2E+08      0            0             3.2E+08      3.81438      0             3.2E+08      0            0             8.2E+08      388.431       5.25         -0.0957457    5.25         0             5.25         0.123219      5.25         0             5.25         0.0630308     5.25         0             
   3.3E+08      4.83366      0             3.3E+08      0            0             3.3E+08      4.38114      0             3.3E+08      0            0             3.3E+08      3.81953      0             3.3E+08      0            0             8.3E+08      405.112       5.41667      -0.0976433    5.41667      0             5.41667      0.12205       5.41667      0             5.41667      0.054877      5.41667      0             
   3.4E+08      4.82687      0             3.4E+08      0            0             3.4E+08      4.37775      0             3.4E+08      0            0             3.4E+08      3.82348      0             3.4E+08      0            0             8.4E+08      422.284       5.58333      -0.0994854    5.58333      0             5.58333      0.120544      5.58333      0             5.58333      0.0464178     5.58333      0             
   3.5E+08      4.82956      0             3.5E+08      0            0             3.5E+08      4.38595      0             3.5E+08      0            0             3.5E+08      3.82039      0             3.5E+08      0            0             8.5E+08      442.186       5.75         -0.101273     5.75         0             5.75         0.118729      5.75         0             5.75         0.037726      5.75         0             
   3.6E+08      4.81874      0             3.6E+08      0            0             3.6E+08      4.38796      0             3.6E+08      0            0             3.6E+08      3.81062      0             3.6E+08      0            0             8.6E+08      462.199       5.91667      -0.103055     5.91667      0             5.91667      0.116684      5.91667      0             5.91667      0.0288366     5.91667      0             
   3.7E+08      4.82971      0             3.7E+08      0            0             3.7E+08      4.38577      0             3.7E+08      0            0             3.7E+08      3.81506      0             3.7E+08      0            0             8.7E+08      457.135       6.08333      -0.10476      6.08333      0             6.08333      0.114334      6.08333      0             6.08333      0.0197832     6.08333      0             
   3.8E+08      4.82659      0             3.8E+08      0            0             3.8E+08      4.38222      0             3.8E+08      0            0             3.8E+08      3.8075       0             3.8E+08      0            0             8.8E+08      469.326       6.25         -0.106387     6.25         0             6.25         0.111684      6.25         0             6.25         0.0106065     6.25         0             
