# This file is written with the intent of being used to plot the data with 
# Gnuplot.  It contains no information regarding how the plot should be 
# formatted.
# =========================================================================
# ./../PowerResearch --verbose 2 --width 20 --multimedia --inactive 1250 --active 1250 --seed 0 --bins 300 --run --tracks 1000000\n -f Multimedia/Tracks/PowerEntropy.t1000000.dat , seed = 2017739346
# Arguments: source = Bank, run = true, filename = Multimedia/Tracks/PowerEntropy.t1000000.dat, multimedia = true, terminal = dumb, tol = 2.22045e-16, verbose = 2, seed = 0, width = 20, bins = 300, active = 1250, inactive = 1250, tracks = 1000000, ignore_rest = false, version = false, help = false, 

#  1            2            3             4            5             6            7             8            9             10           11            12           13           
# |-            Power values           -| |-   Power raw values   -| |-        Entropy       -| |-      Power-Time      -| |-       FOM-Power      -| |-     Power vector     -| 
#  x-coord      y-coord      error         x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       x-coord      y-coord       
   4E+07        0.423419     0             4E+07        0.423419      4E+07        3.55083       4E+07        104.434       1.29E+09     31502.4       1.185        0             
   4.1E+07      0.425126     0             4.1E+07      0.425126      4.1E+07      3.55216       4.1E+07      107.061       1.291E+09    33054.3       1.215        0             
   4.2E+07      0.42444      0             4.2E+07      0.42444       4.2E+07      3.55307       4.2E+07      109.687       1.292E+09    34640         1.245        0             
   4.3E+07      0.424326     0             4.3E+07      0.424326      4.3E+07      3.55402       4.3E+07      112.31        1.293E+09    35944.8       1.275        0             
   4.4E+07      0.423808     0             4.4E+07      0.423808      4.4E+07      3.55456       4.4E+07      114.933       1.294E+09    37028.6       1.305        0             
   4.5E+07      0.424311     0             4.5E+07      0.424311      4.5E+07      3.55707       4.5E+07      117.565       1.295E+09    38700.8       1.335        0             
   4.6E+07      0.423339     0             4.6E+07      0.423339      4.6E+07      3.55854       4.6E+07      120.196       1.296E+09    39115.9       1.365        0             
   4.7E+07      0.425271     0             4.7E+07      0.425271      4.7E+07      3.55929       4.7E+07      122.791       1.297E+09    40780.1       1.395        0             
   4.8E+07      0.424569     0             4.8E+07      0.424569      4.8E+07      3.5601        4.8E+07      125.377       1.298E+09    40153.1       1.425        0             
   4.9E+07      0.424189     0             4.9E+07      0.424189      4.9E+07      3.56133       4.9E+07      127.956       1.299E+09    41397.2       1.455        0             
   5E+07        0.424579     0             5E+07        0.424579      5E+07        3.56232       5E+07        130.534       1.3E+09      42624.4       1.485        0             
   5.1E+07      0.423727     0             5.1E+07      0.423727      5.1E+07      3.56387       5.1E+07      133.117       1.301E+09    44164.7       1.515        0             
   5.2E+07      0.424403     0             5.2E+07      0.424403      5.2E+07      3.56505       5.2E+07      135.7         1.302E+09    45860.3       1.545        0             
   5.3E+07      0.424832     0             5.3E+07      0.424832      5.3E+07      3.56645       5.3E+07      138.285       1.303E+09    46613.7       1.575        0             
   5.4E+07      0.424068     0             5.4E+07      0.424068      5.4E+07      3.56718       5.4E+07      140.872       1.304E+09    46100.1       1.605        0             
   5.5E+07      0.423959     0             5.5E+07      0.423959      5.5E+07      3.56946       5.5E+07      143.461       1.305E+09    47704.2       1.635        0             
   5.6E+07      0.424516     0             5.6E+07      0.424516      5.6E+07      3.56941       5.6E+07      146.064       1.306E+09    49184.3       1.665        0             
   5.7E+07      0.424209     0             5.7E+07      0.424209      5.7E+07      3.5713        5.7E+07      148.665       1.307E+09    48786.6       1.695        0             
   5.8E+07      0.423903     0             5.8E+07      0.423903      5.8E+07      3.57339       5.8E+07      151.269       1.308E+09    48741.8       1.725        0             
   5.9E+07      0.424593     0             5.9E+07      0.424593      5.9E+07      3.57394       5.9E+07      153.872       1.309E+09    50229.2       1.755        0             
   6E+07        0.424818     0             6E+07        0.424818      6E+07        3.57492       6E+07        156.478       1.31E+09     51895         1.785        0             
   6.1E+07      0.423944     0             6.1E+07      0.423944      6.1E+07      3.5765        6.1E+07      159.071       1.311E+09    53185.6       1.815        0             
   6.2E+07      0.424328     0             6.2E+07      0.424328      6.2E+07      3.57819       6.2E+07      161.682       1.312E+09    53726.2       1.845        0             
   6.3E+07      0.423533     0             6.3E+07      0.423533      6.3E+07      3.57883       6.3E+07      164.293       1.313E+09    55426.2       1.875        0             
   6.4E+07      0.424857     0             6.4E+07      0.424857      6.4E+07      3.58138       6.4E+07      166.901       1.314E+09    56401.3       1.905        0             
   6.5E+07      0.423907     0             6.5E+07      0.423907      6.5E+07      3.58255       6.5E+07      169.51        1.315E+09    57867.5       1.935        0             
   6.6E+07      0.423881     0             6.6E+07      0.423881      6.6E+07      3.58322       6.6E+07      172.123       1.316E+09    58126.9       1.965        0             
   6.7E+07      0.423101     0             6.7E+07      0.423101      6.7E+07      3.58218       6.7E+07      174.72        1.317E+09    59194.1       1.995        0             
   6.8E+07      0.423799     0             6.8E+07      0.423799      6.8E+07      3.5827        6.8E+07      177.28        1.318E+09    60788.6       2.025        0             
   6.9E+07      0.425494     0             6.9E+07      0.425494      6.9E+07      3.58273       6.9E+07      179.842       1.319E+09    61812.9       2.055        0             
   7E+07        0.423803     0             7E+07        0.423803      7E+07        3.5831        7E+07        182.4         1.32E+09     63425.8       2.085        0             
   7.1E+07      0.425041     0             7.1E+07      0.425041      7.1E+07      3.58456       7.1E+07      184.961       1.321E+09    65138.5       2.115        0             
   7.2E+07      0.425058     0             7.2E+07      0.425058      7.2E+07      3.58563       7.2E+07      187.526       1.322E+09    64206.8       2.145        0             
   7.3E+07      0.424838     0             7.3E+07      0.424838      7.3E+07      3.58384       7.3E+07      190.067       1.323E+09    65169.5       2.175        0             
   7.4E+07      0.424184     0             7.4E+07      0.424184      7.4E+07      3.58655       7.4E+07      192.653       1.324E+09    66705.4       2.205        0             
   7.5E+07      0.424849     0             7.5E+07      0.424849      7.5E+07      3.58749       7.5E+07      195.226       1.325E+09    67382.1       2.235        0             
   7.6E+07      0.424394     0             7.6E+07      0.424394      7.6E+07      3.58979       7.6E+07      197.822       1.326E+09    69130.8       2.265        0             
   7.7E+07      0.424535     0             7.7E+07      0.424535      7.7E+07      3.5906        7.7E+07      200.412       1.327E+09    69126.4       2.295        0             
   7.8E+07      0.42336      0             7.8E+07      0.42336       7.8E+07      3.59115       7.8E+07      203.005       1.328E+09    70785.6       2.325        0             
   7.9E+07      0.424609     0             7.9E+07      0.424609      7.9E+07      3.59272       7.9E+07      205.537       1.329E+09    71655.1       2.355        0             
   8E+07        0.424309     0             8E+07        0.424309      8E+07        3.59237       8E+07        208.133       1.33E+09     73373.5       2.385        0             
   8.1E+07      0.424198     0             8.1E+07      0.424198      8.1E+07      3.59374       8.1E+07      210.723       1.331E+09    75141.2       2.415        0             
   8.2E+07      0.424828     0             8.2E+07      0.424828      8.2E+07      3.59523       8.2E+07      213.286       1.332E+09    76905.9       2.445        0             
   8.3E+07      0.424817     0             8.3E+07      0.424817      8.3E+07      3.59554       8.3E+07      215.869       1.333E+09    78710.6       2.475        0             
   8.4E+07      0.424595     0             8.4E+07      0.424595      8.4E+07      3.59757       8.4E+07      218.458       1.334E+09    77737.7       2.505        0             
   8.5E+07      0.424589     0             8.5E+07      0.424589      8.5E+07      3.59843       8.5E+07      221.063       1.335E+09    79433.9       2.535        0             
   8.6E+07      0.425042     0             8.6E+07      0.425042      8.6E+07      3.60004       8.6E+07      223.671       1.336E+09    80963.1       2.565        0             
   8.7E+07      0.423876     0             8.7E+07      0.423876      8.7E+07      3.60092       8.7E+07      226.279       1.337E+09    82525.2       2.595        0             
   8.8E+07      0.423822     0             8.8E+07      0.423822      8.8E+07      3.60281       8.8E+07      228.881       1.338E+09    84343.4       2.625        0             
   8.9E+07      0.424211     0             8.9E+07      0.424211      8.9E+07      3.60567       8.9E+07      231.48        1.339E+09    86169.3       2.655        0             
   9E+07        0.423784     0             9E+07        0.423784      9E+07        3.60515       9E+07        234.089       1.34E+09     87326.5       2.685        0             
   9.1E+07      0.424527     0             9.1E+07      0.424527      9.1E+07      3.60613       9.1E+07      236.703       1.341E+09    88346.1       2.715        0             
   9.2E+07      0.423675     0             9.2E+07      0.423675      9.2E+07      3.60762       9.2E+07      239.292       1.342E+09    90008.3       2.745        0             
   9.3E+07      0.424727     0             9.3E+07      0.424727      9.3E+07      3.6081        9.3E+07      241.9         1.343E+09    91620.2       2.775        0             
   9.4E+07      0.423912     0             9.4E+07      0.423912      9.4E+07      3.6085        9.4E+07      244.479       1.344E+09    90251.7       2.805        0             
   9.5E+07      0.42484      0             9.5E+07      0.42484       9.5E+07      3.6096        9.5E+07      247.089       1.345E+09    88397.7       2.835        0             
   9.6E+07      0.424526     0             9.6E+07      0.424526      9.6E+07      3.61029       9.6E+07      249.674       1.346E+09    88171.2       2.865        0             
   9.7E+07      0.424012     0             9.7E+07      0.424012      9.7E+07      3.61028       9.7E+07      252.275       1.347E+09    89808.2       2.895        0             
   9.8E+07      0.424981     0             9.8E+07      0.424981      9.8E+07      3.60914       9.8E+07      254.886       1.348E+09    91520.4       2.925        0             
   9.9E+07      0.424358     0             9.9E+07      0.424358      9.9E+07      3.60996       9.9E+07      257.48        1.349E+09    93259         2.955        0             
   1E+08        0.425151     0             1E+08        0.425151      1E+08        3.61018       1E+08        260.09        1.35E+09     93556.8       2.985        0             
   1.01E+08     0.42425      0             1.01E+08     0.42425       1.01E+08     3.61042       1.01E+08     262.701       1.351E+09    95314.1       3.015        0             
   1.02E+08     0.424878     0             1.02E+08     0.424878      1.02E+08     3.61031       1.02E+08     265.283       1.352E+09    92768.1       3.045        0             
   1.03E+08     0.424763     0             1.03E+08     0.424763      1.03E+08     3.6105        1.03E+08     267.893       1.353E+09    91241         3.075        0             
   1.04E+08     0.424206     0             1.04E+08     0.424206      1.04E+08     3.61021       1.04E+08     270.503       1.354E+09    92902.6       3.105        0             
   1.05E+08     0.424757     0             1.05E+08     0.424757      1.05E+08     3.61166       1.05E+08     273.113       1.355E+09    94610.8       3.135        0             
   1.06E+08     0.423782     0             1.06E+08     0.423782      1.06E+08     3.61261       1.06E+08     275.728       1.356E+09    96335.5       3.165        0             
   1.07E+08     0.424606     0             1.07E+08     0.424606      1.07E+08     3.61413       1.07E+08     278.32        1.357E+09    98038.9       3.195        0             
   1.08E+08     0.424452     0             1.08E+08     0.424452      1.08E+08     3.61519       1.08E+08     280.914       1.358E+09    99305.6       3.225        0             
   1.09E+08     0.424574     0             1.09E+08     0.424574      1.09E+08     3.61586       1.09E+08     283.524       1.359E+09    97448.6       3.255        0             
   1.1E+08      0.424232     0             1.1E+08      0.424232      1.1E+08      3.61537       1.1E+08      286.105       1.36E+09     98069         3.285        0             
   1.11E+08     0.424272     0             1.11E+08     0.424272      1.11E+08     3.61662       1.11E+08     288.706       1.361E+09    99056.9       3.315        0             
   1.12E+08     0.424087     0             1.12E+08     0.424087      1.12E+08     3.61787       1.12E+08     291.311       1.362E+09    98489         3.345        0             
   1.13E+08     0.423129     0             1.13E+08     0.423129      1.13E+08     3.61778       1.13E+08     293.893       1.363E+09    99820.7       3.375        0             
   1.14E+08     0.424476     0             1.14E+08     0.424476      1.14E+08     3.6184        1.14E+08     296.501       1.364E+09    99588         3.405        0             
   1.15E+08     0.42438      0             1.15E+08     0.42438       1.15E+08     3.61849       1.15E+08     299.106       1.365E+09    100971        3.435        0             
   1.16E+08     0.424137     0             1.16E+08     0.424137      1.16E+08     3.61885       1.16E+08     301.705       1.366E+09    102211        3.465        0             
   1.17E+08     0.424919     0             1.17E+08     0.424919      1.17E+08     3.61765       1.17E+08     304.313       1.367E+09    103166        3.495        0             
   1.18E+08     0.424089     0             1.18E+08     0.424089      1.18E+08     3.61864       1.18E+08     306.916       1.368E+09    104813        3.525        0             
   1.19E+08     0.424271     0             1.19E+08     0.424271      1.19E+08     3.62006       1.19E+08     309.501       1.369E+09    103884        3.555        0             
   1.2E+08      0.424536     0             1.2E+08      0.424536      1.2E+08      3.62031       1.2E+08      312.108       1.37E+09     104389        3.585        0             
   1.21E+08     0.424113     0             1.21E+08     0.424113      1.21E+08     3.62101       1.21E+08     314.735       1.371E+09    106006        3.615        0             
   1.22E+08     0.424725     0             1.22E+08     0.424725      1.22E+08     3.62102       1.22E+08     317.364       1.372E+09    106927        3.645        0             
   1.23E+08     0.424266     0             1.23E+08     0.424266      1.23E+08     3.62247       1.23E+08     319.992       1.373E+09    108162        3.675        0             
   1.24E+08     0.424306     0             1.24E+08     0.424306      1.24E+08     3.62429       1.24E+08     322.62        1.374E+09    104692        3.705        0             
   1.25E+08     0.424319     0             1.25E+08     0.424319      1.25E+08     3.6267        1.25E+08     325.207       1.375E+09    106308        3.735        0             
   1.26E+08     0.424965     0             1.26E+08     0.424965      1.26E+08     3.62842       1.26E+08     327.798       1.376E+09    107931        3.765        0             
   1.27E+08     0.424494     0             1.27E+08     0.424494      1.27E+08     3.63067       1.27E+08     330.409       1.377E+09    109267        3.795        0             
   1.28E+08     0.423248     0             1.28E+08     0.423248      1.28E+08     3.63183       1.28E+08     333.015       1.378E+09    110914        3.825        0             
   1.29E+08     0.423601     0             1.29E+08     0.423601      1.29E+08     3.63201       1.29E+08     335.622       1.379E+09    112550        3.855        0             
   1.3E+08      0.424376     0             1.3E+08      0.424376      1.3E+08      3.63177       1.3E+08      338.218       1.38E+09     112631        3.885        0             
   1.31E+08     0.42354      0             1.31E+08     0.42354       1.31E+08     3.63213       1.31E+08     340.824       1.381E+09    113863        3.915        0             
   1.32E+08     0.423492     0             1.32E+08     0.423492      1.32E+08     3.63326       1.32E+08     343.432       1.382E+09    112420        3.945        0             
   1.33E+08     0.424574     0             1.33E+08     0.424574      1.33E+08     3.63404       1.33E+08     346.042       1.383E+09    112488        3.975        0             
   1.34E+08     0.424076     0             1.34E+08     0.424076      1.34E+08     3.63624       1.34E+08     348.653       1.384E+09    114097        4.005        0             
   1.35E+08     0.423163     0             1.35E+08     0.423163      1.35E+08     3.63728       1.35E+08     351.258       1.385E+09    113308        4.035        0             
   1.36E+08     0.425149     0             1.36E+08     0.425149      1.36E+08     3.63852       1.36E+08     353.85        1.386E+09    114911        4.065        0             
   1.37E+08     0.425064     0             1.37E+08     0.425064      1.37E+08     3.63833       1.37E+08     356.468       1.387E+09    116515        4.095        0             
   1.38E+08     0.425328     0             1.38E+08     0.425328      1.38E+08     3.63983       1.38E+08     359.064       1.388E+09    118083        4.125        0             
   1.39E+08     0.424674     0             1.39E+08     0.424674      1.39E+08     3.63922       1.39E+08     361.672       1.389E+09    119700        4.155        0             
   1.4E+08      0.424795     0             1.4E+08      0.424795      1.4E+08      3.63933       1.4E+08      364.276       1.39E+09     119109        4.185        0             
   1.41E+08     0.423973     0             1.41E+08     0.423973      1.41E+08     3.64036       1.41E+08     366.883       1.391E+09    119324        4.215        0             
   1.42E+08     0.424115     0             1.42E+08     0.424115      1.42E+08     3.64179       1.42E+08     369.474       1.392E+09    118491        4.245        0             
   1.43E+08     0.424103     0             1.43E+08     0.424103      1.43E+08     3.64344       1.43E+08     372.072       1.393E+09    117707        4.275        0             
   1.44E+08     0.424418     0             1.44E+08     0.424418      1.44E+08     3.64313       1.44E+08     374.685       1.394E+09    116851        4.305        0             
   1.45E+08     0.425353     0             1.45E+08     0.425353      1.45E+08     3.64405       1.45E+08     377.302       1.395E+09    115707        4.335        0             
   1.46E+08     0.424376     0             1.46E+08     0.424376      1.46E+08     3.64409       1.46E+08     379.913       1.396E+09    117146        4.365        0             
   1.47E+08     0.42425      0             1.47E+08     0.42425       1.47E+08     3.64394       1.47E+08     382.527       1.397E+09    118413        4.395        0             
